Site,comid,BFIWs,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,MTBS_1986Ws,MTBS_1987Ws,MTBS_1988Ws,MTBS_1989Ws,MTBS_1990Ws,MTBS_1991Ws,MTBS_1992Ws,MTBS_1993Ws,MTBS_1994Ws,MTBS_1995Ws,MTBS_1996Ws,MTBS_1997Ws,MTBS_1998Ws,MTBS_1999Ws,MTBS_2000Ws,MTBS_2001Ws,MTBS_2002Ws,MTBS_2003Ws,MTBS_2004Ws,MTBS_2005Ws,MTBS_2006Ws,MTBS_2007Ws,MTBS_2008Ws,MTBS_2009Ws,MTBS_2010Ws,MTBS_2011Ws,MTBS_2012Ws,MTBS_2013Ws,MTBS_2014Ws,MTBS_2015Ws,MTBS_2016Ws,MTBS_2017Ws,Precip9120Ws,Tmax9120Ws,Tmean9120Ws,Tmin9120Ws,PctFire2000Ws,PctFire2001Ws,PctFire2002Ws,PctFire2003Ws,PctFire2004Ws,PctFire2005Ws,PctFire2006Ws,PctFire2007Ws,PctFire2008Ws,PctFire2009Ws,PctFire2010Ws,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs,MAST_2008,MAST_2009,MAST_2013,MAST_2014,MSST_2008,MSST_2009,MSST_2013,MSST_2014,MWST_2008,MWST_2009,MWST_2013,MWST_2014,NO3_2008Ws,InorgNWetDep_2008Ws,NH4_2008Ws,RunoffWs,WtDepWs,OmWs,PermWs,RckDepWs,PctLow Burn SeverityWs_1984,PctModerate Burn SeverityWs_1984,PctHigh Burn SeverityWs_1984,PctLow Burn SeverityWs_1985,PctModerate Burn SeverityWs_1985,PctHigh Burn SeverityWs_1985,PctLow Burn SeverityWs_1986,PctModerate Burn SeverityWs_1986,PctHigh Burn SeverityWs_1986,PctLow Burn SeverityWs_1987,PctModerate Burn SeverityWs_1987,PctHigh Burn SeverityWs_1987,PctLow Burn SeverityWs_1988,PctModerate Burn SeverityWs_1988,PctHigh Burn SeverityWs_1988,PctLow Burn SeverityWs_1989,PctModerate Burn SeverityWs_1989,PctHigh Burn SeverityWs_1989,PctLow Burn SeverityWs_1990,PctModerate Burn SeverityWs_1990,PctHigh Burn SeverityWs_1990,PctLow Burn SeverityWs_1991,PctModerate Burn SeverityWs_1991,PctHigh Burn SeverityWs_1991,PctLow Burn SeverityWs_1992,PctModerate Burn SeverityWs_1992,PctHigh Burn SeverityWs_1992,PctLow Burn SeverityWs_1993,PctModerate Burn SeverityWs_1993,PctHigh Burn SeverityWs_1993,PctLow Burn SeverityWs_1994,PctModerate Burn SeverityWs_1994,PctHigh Burn SeverityWs_1994,PctLow Burn SeverityWs_1995,PctModerate Burn SeverityWs_1995,PctHigh Burn SeverityWs_1995,PctLow Burn SeverityWs_2002,PctModerate Burn SeverityWs_2002,PctHigh Burn SeverityWs_2002,PctLow Burn SeverityWs_2003,PctModerate Burn SeverityWs_2003,PctHigh Burn SeverityWs_2003,PctLow Burn SeverityWs_2004,PctModerate Burn SeverityWs_2004,PctHigh Burn SeverityWs_2004,PctLow Burn SeverityWs_2005,PctModerate Burn SeverityWs_2005,PctHigh Burn SeverityWs_2005,PctLow Burn SeverityWs_2006,PctModerate Burn SeverityWs_2006,PctHigh Burn SeverityWs_2006,PctLow Burn SeverityWs_2007,PctModerate Burn SeverityWs_2007,PctHigh Burn SeverityWs_2007,PctLow Burn SeverityWs_2008,PctModerate Burn SeverityWs_2008,PctHigh Burn SeverityWs_2008,PctLow Burn SeverityWs_2009,PctModerate Burn SeverityWs_2009,PctHigh Burn SeverityWs_2009,PctLow Burn SeverityWs_2010,PctModerate Burn SeverityWs_2010,PctHigh Burn SeverityWs_2010,PctLow Burn SeverityWs_2011,PctModerate Burn SeverityWs_2011,PctHigh Burn SeverityWs_2011,PctLow Burn SeverityWs_2012,PctModerate Burn SeverityWs_2012,PctHigh Burn SeverityWs_2012,PctLow Burn SeverityWs_2013,PctModerate Burn SeverityWs_2013,PctHigh Burn SeverityWs_2013,PctLow Burn SeverityWs_2014,PctModerate Burn SeverityWs_2014,PctHigh Burn SeverityWs_2014,PctLow Burn SeverityWs_2015,PctModerate Burn SeverityWs_2015,PctHigh Burn SeverityWs_2015,PctLow Burn SeverityWs_2016,PctModerate Burn SeverityWs_2016,PctHigh Burn SeverityWs_2016,PctLow Burn SeverityWs_2017,PctModerate Burn SeverityWs_2017,PctHigh Burn SeverityWs_2017,PctLow Burn SeverityWs_2018,PctModerate Burn SeverityWs_2018,PctHigh Burn SeverityWs_2018,geometry
Site 3,8943613,67.4107,130.7673,3,-9998,190790,191496,190790,0,0.00686103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7889,0,0,0,0,0,0,0,0,0,0,1329.993858325441,12.184283649541443,5.641431656609854,-0.901328880118408,0,0,0.9,0,0,0,0,6.890000000000001,0,0,0,0,0,0,69.97,0,0,0,0,30.03,0,0,0,0,0,0,0,0,0,7.59252148153,7.736368057319999,7.75701276355,7.98849270394,16.4274309237,15.8219947536,15.9998862389,16.4414094784,0.545253335292,1.01625838882,0.622428853749,2.2515762754099997,2.4917,1.7365000000000002,1.5148,544.5417,172.37730000000002,2.0924,22.708,98.2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,1.71,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-120.009019, 38.873743)"
Reference,15032969,29.6645,16.5357,2,-9998,6151,15180,6151,0,0.05750955,0,0,99.7333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0648,0,0,797.877511188483,21.34927526334567,15.08651405482774,8.822992165735046,0,0,2.96,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.955755886,13.9293081337,13.9730255199,14.9657092384,20.0735120675,20.0568335068,20.0338558527,20.0589711397,7.459403238729999,7.95296458217,7.460523363239999,8.59248460862,1.734,0.9244,0.6871,304.1241,182.88,0.59,3.37,48.76,0,0,0,0.37,0.07,0,0,0,0,0,0,0,23.25,37.07,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8100000000000005,12,45.44,0,0,0,0,0,0,0,0,0,"c(-122.10013, 38.499918)"
Payson,10350360,74.6735,70.5753,3,-9998,156372,163694,156372,0,0.03599803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.3220566701506,13.29808599169253,7.164412105008829,1.0309884947460108,0,0,0,0,0,0,0,0,0,0,0,18.81,56.7,0,17.13,0,0,0,0,0,0,0,0,0,0,7.37,0,0,0,7.30979894103,7.34929781609,7.197514280159999,7.870265445939999,15.9557899034,15.9151224027,15.9522127329,15.8615789455,2.06355705321,2.94186848835,1.81284085715,3.16921427144,5.575200000000001,2.8864,2.101,248,182.88,1.6187,3.8166,121.5415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,21.11,16.91,"c(-111.697245, 39.98249)"
Dry Creek,10329181,75.0911,45.6336,2,-9998,136741,137637,137637,0,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.1571033330329,18.256177425793428,11.234466065660104,4.2127508460639795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,9.36005071996,9.18262251653,8.982622392309999,9.84180820791,18.3598714778,17.991938416700002,18.3163830526,18.0122879961,2.5370628639499997,2.86414213557,1.9723887767,3.1096707280599998,2.7914000000000003,1.4748000000000001,1.0902,237.8079,148.0868,0.8557,6.9016,152.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-111.669222, 40.175336)"
San Onofre,17594757,28.1444,5.3586,1,-9998,578,52417,578,0,0.13779638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.9419,0,0,0,0,0,0,0,0,0,0,0,0,0,660.5254679383607,21.52905833854552,16.317102083070207,11.105421805970776,0,0,0,0,99.48,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1045030462,14.0646044729,14.0920319011,15.0854442897,15.4598209054,15.4254430958,15.4088409052,16.249242509200002,8.625190726469999,8.69683756659,8.530197593839999,9.56971750567,2.6543,1.3233,0.9347,123.9785,182.88,2.5925,2.7641,48.4945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.38,28.3,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-120.186808, 34.500005)"
Gaviota,17594763,28.799100000000003,52.1721,3,-9998,236,5464,236,0,0.01765023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.969,0,0,0,0,0,0,0,0,0,0,0,0,0,599.6517063520921,21.66554481947431,15.89228102583386,10.1185429053703,0.04,0,0,0,12.64,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2817528595,14.2484358211,14.2484358211,14.688217643000002,15.9711319421,15.8844899351,15.8968275678,16.6439392801,8.54270689981,8.6570540654,8.30583900555,9.48832919605,2.3306,1.1602,0.8184,117.1945,182.88,1.9036,3.1836,64.2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,2.26,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-120.226251, 34.491409)"
Arroyo Hondo,17594741,28,11.2635,2,-9998,645,2708,645,0,0.0195175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4842,0,0,0,0,0,0,0,0,0,0,0,0,0,676.0143690363325,21.510584849884136,16.3413555077491,11.171746947187213,0.06,0,0,0,95.99,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5547409788,13.3818578955,13.4488458486,13.8558039836,14.9769731608,14.7740717752,14.7860079921,15.3165591126,8.39020946705,8.523239425489999,8.13238494999,8.99817973916,2.7811000000000003,1.3873,0.9804,127.9431,182.88,2.5408,2.5067,52.3797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91,2.65,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-120.140724, 34.482489)"
Rattlesnake,14937281,63.8588,503.5878,4,-9998,23793,30167,23822,0,0.02923963,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5184,0,0,0,0,0,0,0,0,0,0,9.9203,0,559.539684361667,20.48844696162417,13.76209667548625,7.036085341149429,0,0,0,0.07,0,1.46,0,0,0,0,0,0,0.43,0,95.64,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,12.8970360252,12.8944541615,12.9118716157,13.1034105701,20.6067062965,20.4922656326,20.5967069575,20.5608235849,6.02447495834,6.0742555734099994,5.944387262759999,6.41996477977,2.2098,1.1253,0.8089000000000001,133.5426,182.2981,0.6875,6.3312,88.97630000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,1.75,5.17,0,0,0,0,0,0,"c(-118.842146, 35.527417)"
Crow Creek,12794143,71.5651,49.9266,2,-9998,203780,221765,203780,1,0.06455491,0,0,9.1827,0,0,0,0,0,0,0,0,0,0,0,11.1422,0,0,5.4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.0706867783106,7.136861702489274,0.7173463621877456,-5.702278748671088,0,0,0,1.99,0,0,0,0,0,0,0,0,5.71,0,94.2,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,NA,NA,5.95575211376,5.95575211376,10.4786559864,9.63692928729,10.9061847734,9.9549238961,1.60488053467,1.70884555514,1.73051967955,1.675148295,4.0021,2.133,1.587,378.2222,162.3196,0.402,8.636000000000001,118.8131,0,0,0,0,0,0,0,0,0,0,0,0,2.18,1.9,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.52,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-110.000742, 44.513227)"
Jones Creek,12794005,72.5856,64.9602,1,-9998,208560,214565,208560,1,0.03628398,0,0,96.1969,0,0,0,0,0,0,0,0,0,0,0,0.0388,0,0,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884.6754914604173,6.952116369558592,0.4710590694609161,-6.01025392370667,0,0,0,0.07,0,0,0,0,0,0,0,0,6.8500000000000005,0,92.73,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,NA,NA,NA,NA,10.8231826035,9.94127926556,11.060140632,9.98426971865,1.37773460829,1.47089865564,1.52138919755,1.39938310102,4.2701,2.2863,1.7068,379.5934,163.4907,0.5162,9.5731,114.4377,0,0,0,0,0,0,0,0,0,0,0,0,13.1,15.31,43.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-110.000742, 44.557677)"
