Study_ID,Pair,Site,Sampling_Date,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Climate,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes,Area_watershed_km,DOC_mg_C_L,NO3_mg_N_L,DOC_uM_C,NO3_uM_N,Days_Between_Samples,Large_Gap_Flag,DOC_Interp,NO3_Interp,year,month,day
Burd et al 2018,Site_1,Notawohka Creek,2016-04-29,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,17.8042328,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,17.8042328,NA,1482.4506908935919,NA,NA,FALSE,17.8042328,NA,2016,4,29
Burd et al 2018,Site_1,Notawohka Creek,2016-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,17.645502642,NA,2016,4,30
Burd et al 2018,Site_1,Notawohka Creek,2016-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,17.486772484,NA,2016,5,1
Burd et al 2018,Site_1,Notawohka Creek,2016-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,17.328042326000002,NA,2016,5,2
Burd et al 2018,Site_1,Notawohka Creek,2016-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,17.169312168,NA,2016,5,3
Burd et al 2018,Site_1,Notawohka Creek,2016-05-04,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,17.01058201,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,17.01058201,NA,1416.368193816619,NA,5,FALSE,17.01058201,NA,2016,5,4
Burd et al 2018,Site_1,Notawohka Creek,2016-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,16.878306877500002,NA,2016,5,5
Burd et al 2018,Site_1,Notawohka Creek,2016-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,16.746031745,NA,2016,5,6
Burd et al 2018,Site_1,Notawohka Creek,2016-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,16.613756612499998,NA,2016,5,7
Burd et al 2018,Site_1,Notawohka Creek,2016-05-08,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,16.48148148,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,16.48148148,NA,1372.3131954877572,NA,4,FALSE,16.48148148,NA,2016,5,8
Burd et al 2018,Site_1,Notawohka Creek,2016-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,16.128747793333332,NA,2016,5,9
Burd et al 2018,Site_1,Notawohka Creek,2016-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,15.776014106666667,NA,2016,5,10
