variable,PC,contribution
precip8110ws,Dim.1,8.680101383183608
runoffws,Dim.1,7.791059055591474
pctsilicicws,Dim.1,7.414212636388434
pctnoncarbresidws,Dim.1,7.203592416857907
pctbl2019ws,Dim.1,6.975899760833576
streamorde,Dim.1,6.88106247511023
permws,Dim.1,6.664943275045361
pctgrs2019ws,Dim.1,5.893926934829072
pctice2019ws,Dim.1,4.913742662316126
pctcarbresidws,Dim.1,4.875734505042482
Area_watershed_km,Dim.10,21.169538121645694
lengthkm,Dim.10,14.890370488927454
qa_ma,Dim.10,11.045148594864953
burn_binary,Dim.10,10.252710442659168
slope,Dim.10,9.837592340820908
omws,Dim.10,6.812463232074517
pctow2019ws,Dim.10,3.6632722295856075
pctalluvcoastws,Dim.10,3.11183786863635
Time_Since_Fire,Dim.10,3.0138530813327593
permws,Dim.10,2.6005365775067197
pct_urban,Dim.2,12.79015692555672
pct_wetland,Dim.2,10.508522939482704
kffactws,Dim.2,9.36378138347767
pct_ag,Dim.2,8.276268084678001
totma,Dim.2,7.0747140888027
wtdepws,Dim.2,5.9880059227766775
rckdepws,Dim.2,5.5866365781331675
pctshrb2019ws,Dim.2,5.1402284558524896
slope,Dim.2,4.805873131997995
bfiws,Dim.2,4.65556446709324
pctglactilcrsws,Dim.3,11.209236472046676
pct_forest,Dim.3,10.964370804641367
pctshrb2019ws,Dim.3,10.895360111722196
omws,Dim.3,6.7168422583197245
streamorde,Dim.3,4.655934947698651
pctalluvcoastws,Dim.3,4.438027755987588
Area_watershed_km,Dim.3,4.413934990128097
pctgrs2019ws,Dim.3,4.094462286001127
hydrlcondws,Dim.3,3.8873601191923437
pct_wetland,Dim.3,3.763946636563647
tmin8110ws,Dim.4,17.06107455330106
bfiws,Dim.4,11.876174084464928
omws,Dim.4,8.637796477919817
pctbl2019ws,Dim.4,6.804118877273201
pctice2019ws,Dim.4,6.793632633860501
permws,Dim.4,6.317718554710561
pctow2019ws,Dim.4,5.8935209406334685
Time_Since_Fire,Dim.4,5.103554900599076
pctnoncarbresidws,Dim.4,4.995618678984461
pctcarbresidws,Dim.4,3.2068190279943587
hydrlcondws,Dim.5,16.73245419412243
pctalluvcoastws,Dim.5,13.799645737995117
pctglactilcrsws,Dim.5,9.482516530102107
tmin8110ws,Dim.5,7.926982548946494
Area_watershed_km,Dim.5,6.21675860264993
bfiws,Dim.5,4.938682815822276
burn_percent_fire_year,Dim.5,4.6392963306456325
qa_ma,Dim.5,4.452205873543398
rckdepws,Dim.5,4.397415034259047
burn_binary,Dim.5,2.9504009776638958
burn_binary,Dim.6,17.690237286498377
burn_percent_fire_year,Dim.6,9.522869753641682
pct_forest,Dim.6,9.506206789466093
pctgrs2019ws,Dim.6,9.34929299614982
pctcarbresidws,Dim.6,5.972281134043755
Time_Since_Fire,Dim.6,4.8947295472602255
kffactws,Dim.6,4.681447465804751
pctice2019ws,Dim.6,4.657663452640541
Area_watershed_km,Dim.6,3.926424248311988
pct_ag,Dim.6,3.3400763767104507
omws,Dim.7,13.941589629834287
rckdepws,Dim.7,8.350579701644445
slope,Dim.7,7.555820924012692
kffactws,Dim.7,7.166107880101329
permws,Dim.7,6.99371168254066
hydrlcondws,Dim.7,6.5824491266927
bfiws,Dim.7,6.353299282964915
qa_ma,Dim.7,6.265408147243952
lengthkm,Dim.7,4.801895020040243
pctcarbresidws,Dim.7,4.582251790533502
qa_ma,Dim.8,29.224558509040204
pctnoncarbresidws,Dim.8,7.886396467526276
slope,Dim.8,6.542820547298075
Area_watershed_km,Dim.8,5.931391049831077
Time_Since_Fire,Dim.8,5.30805574602852
burn_binary,Dim.8,5.259559836234836
pctsilicicws,Dim.8,4.872794474483079
pctalluvcoastws,Dim.8,4.521934764971835
pctow2019ws,Dim.8,4.084743860759613
lengthkm,Dim.8,3.5413255188345447
lengthkm,Dim.9,39.276727259501634
totma,Dim.9,7.882632589004681
slope,Dim.9,6.956299872737814
pctglactilcrsws,Dim.9,6.484248831989483
pctice2019ws,Dim.9,4.859864501409754
pctshrb2019ws,Dim.9,4.036587504384294
pctalluvcoastws,Dim.9,3.5599105250209204
pctow2019ws,Dim.9,3.4319971591569383
pct_forest,Dim.9,3.3770128509272967
pctcarbresidws,Dim.9,3.283282646680873
