Site,comid,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs
Site_3,8943613,0,0,0,69.97,0,0,0,0,30.03,0,0,0,0,0,0,0,0,0
Reference,15032969,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payson,10350360,18.81,56.7,0,17.13,0,0,0,0,0,0,0,0,0,0,7.37,0,0,0
Dry_Creek,10329181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
San_Onofre,17594757,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaviota,17594763,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arroyo_Hondo,17594741,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattlesnake,14937281,0,0.43,0,95.64,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0
Crow_Creek,12794143,0,5.71,0,94.2,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0
Jones_Creek,12794005,0,6.8500000000000005,0,92.73,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
Red_Bench_Creek,22950879,0,21.26,0,0,0,0,0,0,78.74,0,0,0,0,0,0,0,0,0
Wally_Creek,22950913,0,91.61,0,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0,0
Red_Meadow_Creek,22949989,0,66.95,0,0,0,0,0,0,32.85,0,0,0,0,0,0,0.2,0,0
Coal_Creek,22950067,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logging_Creek,22949389,6.21,93.19,0,0,0,0,0,0.6000000000000001,0,0,0,0,0,0,0,0,0,0
Akokala_Creek,22949619,1.58,74.79,0,0,0,0,0,0,16.63,0,0,0,0,0,0,7,0,0
Bowman_Creek,22949571,22.37,72.01,0,0,0,0,0,0,5.5600000000000005,0,0,0,0,0,0,0.06,0,0
Quartz_Creek,22949475,9.120000000000001,76.26,0,0,0,0,0,0,14.450000000000001,0,0,0,0,0,0,0.17,0,0
Trout_Creek,8944501,0,0,0,85.29,0,0,0,0,14.71,0,0,0,0,0,0,0,0,0
Cold_Creek,8944471,0,0,0,98.33,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0
