Study_ID,Comparison_ID,Pair,Site,Sampling_Date,latitude,longitude,comid,Burn_Unburn,Climate,DOC_Interp_mg_C_L,NO3_Interp_mg_N_L,Area_watershed_km,maxelevsmo,slope,tmax8110ws,tmean8110ws,tmin8110ws,forest_cover,urban_cover,grassland_cover,wetland_cover,ag_cover,omws,rckdepws,pctcarbresidws,pctnoncarbresidws,pctsilicicws,glacial_till,pctsallakews,bfiws,permws,runoffws,burn_percent_fire_year,burn_sev_high,burn_sev_mod,burn_sev_low,Time_Since_Fire
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-27,34.475086,-120.14228,17594741,Burn,BSk,NA,2.395198176588,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-27,34.475086,-120.14228,17594741,Burn,BSk,NA,2.3406392895774,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-27,34.475086,-120.14228,17594741,Burn,BSk,NA,2.4681373459470004,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-27,34.475086,-120.14228,17594741,Burn,BSk,NA,2.2861288990029003,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-27,34.475086,-120.14228,17594741,Burn,BSk,NA,2.049483971871,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,2.1223455452514,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.9585330947588002,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,2.0496294611793,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.703769767154,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.5946131951435,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.5855685446783,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.7495022383621999,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.6767716038185,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.1397957660364801,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,0.74840243647113,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.4765962613661001,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.4493750141444,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.522226889078,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.6497055471533,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.6679500386402,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.5041472865944,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
