Study_ID,response_var,Climate,Biome,Effect_size,Effect_size_pair,Time_Since_Fire,Site,comid,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,year,burn_percentage,grouped_percentage,burn_percentage_group
"Coombs & Melack, 2013",NO3_Interp,BSk,Arid,-2.0473966314124756,lnR2,0,Gaviota,17594763,52.1721,3,-9998,236,5464,236,0,0.01765023,MTBS_2004Ws,12.969,2,11-20
"Coombs & Melack, 2013",NO3_Interp,BSk,Arid,-1.8565999926447945,lnR2,1,Gaviota,17594763,52.1721,3,-9998,236,5464,236,0,0.01765023,MTBS_2004Ws,12.969,2,11-20
"Mast & Clow, 2008",NO3_Interp,Dfc,Cold,0.9217624797354468,lnR1,1,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
"Mast & Clow, 2008",NO3_Interp,Dfc,Cold,0.6938414248359014,lnR1,2,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
"Mast & Clow, 2008",NO3_Interp,Dfc,Cold,0.6238798035979927,lnR1,3,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
"Mast & Clow, 2008",NO3_Interp,Dfc,Cold,0.4513944740791651,lnR1,4,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,1.2334337255408905,lnR1,1,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,0.8906940242456102,lnR2,1,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,-0.05699676485766621,lnR3,1,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,0.2945684815767112,lnR1,2,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
