Study_ID,Fire_name,Fire_year,Site,comid,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,number_of_burn,State,group,latitude,longitude
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,55.8481,Dfc,Cold,2,DOC_Interp,-0.05485661026893528,NA,NA,NA,48.418961,-113.696178
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,55.8481,Dfc,Cold,3,DOC_Interp,-0.33386212088645906,NA,NA,NA,48.418961,-113.696178
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,55.8481,Dfc,Cold,4,DOC_Interp,-0.06876044186758228,NA,NA,NA,48.418961,-113.696178
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,55.8481,Dfc,Cold,1,NO3_Interp,0.9217624797354468,NA,NA,NA,48.418961,-113.696178
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,55.8481,Dfc,Cold,2,NO3_Interp,0.6938414248359014,NA,NA,NA,48.418961,-113.696178
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,55.8481,Dfc,Cold,3,NO3_Interp,0.6238798035979927,NA,NA,NA,48.418961,-113.696178
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,55.8481,Dfc,Cold,4,NO3_Interp,0.4513944740791651,NA,NA,NA,48.418961,-113.696178
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,1,DOC_Interp,-0.02209144774333893,3,Colorado,5,40.039046,-105.393878
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,1,DOC_Interp,-0.09143869394625465,3,Colorado,5,40.041668,-105.364823
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,1,DOC_Interp,-0.4759788799445507,3,Colorado,5,40.0155,-105.324566
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,2,DOC_Interp,-0.30682413734353803,3,Colorado,5,40.039046,-105.393878
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,2,DOC_Interp,-0.35352180878763056,3,Colorado,5,40.041668,-105.364823
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,2,DOC_Interp,-0.41287873547224674,3,Colorado,5,40.0155,-105.324566
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,3,DOC_Interp,-0.3312863465111103,3,Colorado,5,40.039046,-105.393878
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,3,DOC_Interp,-0.4227882497149223,3,Colorado,5,40.041668,-105.364823
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,3,DOC_Interp,-0.5499098148014181,3,Colorado,5,40.0155,-105.324566
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,1,NO3_Interp,1.2334337255408905,3,Colorado,5,40.039046,-105.393878
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,1,NO3_Interp,0.8906940242456102,3,Colorado,5,40.041668,-105.364823
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,1,NO3_Interp,-0.05699676485766621,3,Colorado,5,40.0155,-105.324566
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,2,NO3_Interp,0.2945684815767112,3,Colorado,5,40.039046,-105.393878
