Study_ID,Fire_name,Fire_year,Site,comid,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size
Gluns & Toews; 1989,Matt fire,1985,Middle Fork,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.8,Dfc,Cold,1,NO3_Interp,1.7902711083086134
Gluns & Toews; 1989,Matt fire,1985,East Fork,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.1,Dfc,Cold,2,NO3_Interp,2.4793176404333854
Gluns & Toews; 1989,Matt fire,1985,Middle Fork,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.8,Dfc,Cold,2,NO3_Interp,2.175364252047078
Gluns & Toews; 1989,Matt fire,1985,East Fork,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.1,Dfc,Cold,3,NO3_Interp,1.8413502470540644
Gluns & Toews; 1989,Matt fire,1985,Middle Fork,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.8,Dfc,Cold,3,NO3_Interp,1.8853069011924857
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,1,DOC_Interp,-0.05198944083147036
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,1,DOC_Interp,-0.23267430480315815
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,2,DOC_Interp,-0.05485661026893528
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,3,DOC_Interp,-0.33386212088645906
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,4,DOC_Interp,-0.06876044186758228
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,1,NO3_Interp,0.9217624797354468
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,2,NO3_Interp,0.6938414248359014
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,3,NO3_Interp,0.6238798035979927
Mast & Clow; 2008,Rampage Fire_Others in Glacier NP,2003,Coal,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,Dfc,Cold,4,NO3_Interp,0.4513944740791651
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,1,DOC_Interp,-0.02209144774333893
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,1,DOC_Interp,-0.09143869394625465
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,1,DOC_Interp,-0.4759788799445507
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,2,DOC_Interp,-0.30682413734353803
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,2,DOC_Interp,-0.35352180878763056
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,2,DOC_Interp,-0.41287873547224674
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,3,DOC_Interp,-0.3312863465111103
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,3,DOC_Interp,-0.4227882497149223
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,3,DOC_Interp,-0.5499098148014181
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,1,NO3_Interp,1.2334337255408905
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,1,NO3_Interp,0.8906940242456102
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,1,NO3_Interp,-0.05699676485766621
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,2,NO3_Interp,0.2945684815767112
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,2,NO3_Interp,1.6229567188536114
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,2,NO3_Interp,2.1167271828264864
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,3,NO3_Interp,1.1134630802037473
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,3,NO3_Interp,2.138023384509159
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,3,NO3_Interp,1.1987594531267192
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,0,DOC_Interp,-0.19586948633799223
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,0,DOC_Interp,-0.02058262147733873
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,1,DOC_Interp,-0.09253034556904192
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,1,DOC_Interp,-0.2794571534661146
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,1,DOC_Interp,-0.5290874956151702
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,2,DOC_Interp,-0.4059504771372809
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,2,DOC_Interp,-0.42051599123248457
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,2,DOC_Interp,-0.504700788827816
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,3,DOC_Interp,-0.4838929792642086
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,3,DOC_Interp,-0.5412446599785048
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,3,DOC_Interp,-0.6939952120636859
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,4,DOC_Interp,-0.3881077782646473
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,4,DOC_Interp,-0.5762560227751916
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,4,DOC_Interp,-0.7185013536732262
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,5,DOC_Interp,-0.3676420649753068
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,5,DOC_Interp,-0.5510697334216398
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,5,DOC_Interp,-0.7218292413374722
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,0,NO3_Interp,-0.9251679798500448
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,0,NO3_Interp,-0.5401482686656407
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,1,NO3_Interp,0.34874637041195555
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,1,NO3_Interp,0.4924902954548207
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,1,NO3_Interp,-0.5324776921953114
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,2,NO3_Interp,0.4896719200329616
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,2,NO3_Interp,1.0609399607508578
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,2,NO3_Interp,0.6606550881027107
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,3,NO3_Interp,0.5260874760635659
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,3,NO3_Interp,0.9631628551436824
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,3,NO3_Interp,0.5319120776509874
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,4,NO3_Interp,0.10679525211943049
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,4,NO3_Interp,0.3707771777527453
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,4,NO3_Interp,-0.04505357676425826
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,5,NO3_Interp,0.27085562181965056
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,5,NO3_Interp,0.5277273450124165
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,5,NO3_Interp,0.13000465508024311
Neary & Currier; 1982,Jumping Branch Wildfire,1978,Wash Branch,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.3,Cfa,Temperate,0,NO3_Interp,1.5739271177981005
Neary & Currier; 1982,Jumping Branch Wildfire,1978,Wash Branch,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.3,Cfa,Temperate,1,NO3_Interp,0.7765290563903371
Oliver et al. 2012,Angora Fire,2007,Site 2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,76.4673,Csb,Temperate,1,NO3_Interp,0.7146311795090584
Oliver et al. 2012,Angora Fire,2007,Site 3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41,Csb,Temperate,1,NO3_Interp,0.1083671999910158
Oliver et al. 2012,Angora Fire,2007,Site 4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56,Csb,Temperate,1,NO3_Interp,-1.2564969709571707
Oliver et al. 2012,Angora Fire,2007,Site 2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,76.4673,Csb,Temperate,2,NO3_Interp,-0.5396214946346434
Oliver et al. 2012,Angora Fire,2007,Site 3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41,Csb,Temperate,2,NO3_Interp,-1.76671099295381
Oliver et al. 2012,Angora Fire,2007,Site 4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56,Csb,Temperate,2,NO3_Interp,-2.169919002561115
Rhea et al. 2021,Hayman Fire_High Park Fire,2002_2012,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Dfc,Cold,>10,DOC_Interp,0.4142753540035392
Rhea et al. 2021,Hayman Fire_High Park Fire,2002_2012,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Dfc,Cold,>10,NO3_Interp,3.3673554612544394
Tiedemann; 1973,Safety Harbor Fire,1970,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Dsb,Cold,0,NO3_Interp,0.700384479651557
Tiedemann; 1973,Safety Harbor Fire,1970,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Dsb,Cold,1,NO3_Interp,2.032749426158762
Tiedemann; 1973,Safety Harbor Fire,1970,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Dsb,Cold,2,NO3_Interp,3.4497656138466612
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Rocky Fire,8009327,2390.2362,6,-9998,16987,19233,17017,0,0.00517515,12.8141,Csa,Temperate,1,DOC_Interp,-3.5873302571008643
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,-9998,6151,15180,6151,0,0.05750955,70.0648,Csa,Temperate,1,DOC_Interp,-2.781397262801667
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Rocky Fire,8009327,2390.2362,6,-9998,16987,19233,17017,0,0.00517515,12.8141,Csa,Temperate,2,DOC_Interp,-3.488635457510704
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,-9998,6151,15180,6151,0,0.05750955,70.0648,Csa,Temperate,2,DOC_Interp,-2.8617192837255008
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Rocky Fire,8009327,2390.2362,6,-9998,16987,19233,17017,0,0.00517515,12.8141,Csa,Temperate,1,NO3_Interp,-2.343905190475006
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,-9998,6151,15180,6151,0,0.05750955,70.0648,Csa,Temperate,1,NO3_Interp,-1.4038784576475674
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Rocky Fire,8009327,2390.2362,6,-9998,16987,19233,17017,0,0.00517515,12.8141,Csa,Temperate,2,NO3_Interp,-2.523624055603431
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,-9998,6151,15180,6151,0,0.05750955,70.0648,Csa,Temperate,2,NO3_Interp,-1.9038360329879964
Wagner et al. 2015,High Park Fire,2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,1,DOC_Interp,-0.4217573948728868
Wagner et al. 2015,High Park Fire,2012,PNF,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.7187,Dfb,Cold,1,DOC_Interp,-0.6091057775083416
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PNF,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.7187,Dfb,Cold,0,DOC_Interp,-0.3651480585147016
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,0,DOC_Interp,-0.4623748929438658
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PNF,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.7187,Dfb,Cold,1,DOC_Interp,-0.619805853304341
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,1,DOC_Interp,-0.3994634277186648
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PNF,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.7187,Dfb,Cold,0,NO3_Interp,-0.22445633786858216
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,0,NO3_Interp,-0.1726924417168119
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PNF,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.7187,Dfb,Cold,1,NO3_Interp,-0.73752899074672
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,1,NO3_Interp,0.6342845717183738
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.6,Dfc,Cold,1,NO3_Interp,1.911426272610421
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.087,Dfc,Cold,1,NO3_Interp,1.872308461156119
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.9,Dfc,Cold,1,NO3_Interp,2.332128722301076
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.4,Dfc,Cold,1,NO3_Interp,2.4314632577693227
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.6,Dfc,Cold,2,NO3_Interp,0.9052735213660048
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.087,Dfc,Cold,2,NO3_Interp,1.7931305712867058
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.9,Dfc,Cold,2,NO3_Interp,2.2632756340805606
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.4,Dfc,Cold,2,NO3_Interp,2.1956752619491127
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.6,Dfc,Cold,3,NO3_Interp,0.5730656823751883
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.087,Dfc,Cold,3,NO3_Interp,2.123237518978183
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.9,Dfc,Cold,3,NO3_Interp,1.1968588798283115
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.3,Dfc,Cold,3,NO3_Interp,1.2844252245417789
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.4,Dfc,Cold,3,NO3_Interp,1.4865638267876355
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.6,Dfc,Cold,4,NO3_Interp,0.6206869330306183
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.087,Dfc,Cold,4,NO3_Interp,2.355939128240543
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.9,Dfc,Cold,4,NO3_Interp,1.144040408000032
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.3,Dfc,Cold,4,NO3_Interp,0.5376175802346618
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.6,Dfc,Cold,5,NO3_Interp,0.16719947859094442
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.087,Dfc,Cold,5,NO3_Interp,2.4331464456086973
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.9,Dfc,Cold,5,NO3_Interp,1.464134057717891
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.3,Dfc,Cold,5,NO3_Interp,0.8274961058239492
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Csb,Temperate,0,DOC_Interp,0.6030917563718091
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Csb,Temperate,1,DOC_Interp,-0.00482902444212002
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Csb,Temperate,1,DOC_Interp,0.2765406443670772
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Csb,Temperate,0,NO3_Interp,0.5604775611436323
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,N/A,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Csb,Temperate,1,NO3_Interp,0.4248453259394459
