predictor,n,n_missing,proportion_missing,n_unique,minimum,median,maximum
post_fire_year,120,0,0,7,0,2,15
burn_percent_fire_year,120,18,0.15,24,1.5243,27.1121,100
burn_sev_high,120,18,0.15,25,0.19,9.23,64.15
Area_watershed_km,120,0,0,34,1.83,63.1,3017
runoffws,120,1,0.008333333333333333,27,39.1054,248,968.0682
bfiws,120,1,0.008333333333333333,31,28,68.2947,74.5288
permws,120,1,0.008333333333333333,30,2.4213029989029153,9.57308279531159,26.69
forest_cover,120,1,0.008333333333333333,31,3.5999999999999996,59.86000000000001,94.67
grassland_cover,120,1,0.008333333333333333,30,0,13.07,65.3
wetland_cover,120,1,0.008333333333333333,23,0,0.72,3.77
ag_cover,120,1,0.008333333333333333,12,0,0,34.730000000000004
urban_cover,120,1,0.008333333333333333,29,0,1.56,14.19
omws,120,1,0.008333333333333333,30,0.19,0.7733302811359897,2.5924974146845914
clayws,120,1,0.008333333333333333,30,4.306314835023752,12.658438667029143,26.80751668661552
rckdepws,120,1,0.008333333333333333,30,48.49447382063246,109.2732020696984,151.201887971435
glacial_till,120,1,0.008333333333333333,14,0,0,78.74
precip8110ws,120,1,0.008333333333333333,31,502.32296909,723.394409686,1790.14124474
tmean8110ws,120,1,0.008333333333333333,31,0.55106015658788,5.4318975716999995,16.3194393942
slope,120,22,0.18333333333333332,23,1e-5,0.018583864999999998,0.13779638
maxelevsmo,120,22,0.18333333333333332,25,2708,160639,252026
