predictor_1,predictor_2,rho
burn_percent_fire_year,burn_sev_high,0.9211697312997166
maxelevsmo,permws,0.771662470934143
precip8110ws,runoffws,0.7663581229888607
grassland_cover,precip8110ws,-0.7207912912532386
tmean8110ws,urban_cover,0.7133832724093371
glacial_till,grassland_cover,-0.702815572872449
maxelevsmo,wetland_cover,0.6595281025570351
bfiws,rckdepws,0.6326693853710285
maxelevsmo,precip8110ws,-0.615450149130694
maxelevsmo,omws,-0.6111484776857492
maxelevsmo,runoffws,-0.5914000805675246
glacial_till,precip8110ws,0.5731631577009902
clayws,permws,-0.5688299445075311
ag_cover,burn_sev_high,-0.5482305511637396
grassland_cover,runoffws,-0.5425256942676825
burn_percent_fire_year,forest_cover,-0.5232366069644138
glacial_till,rckdepws,0.5218161154897268
burn_percent_fire_year,slope,0.5120463567163975
omws,slope,-0.5113188539270785
Area_watershed_km,clayws,0.5111790339123559
runoffws,wetland_cover,-0.5044479128545724
rckdepws,tmean8110ws,-0.4965969390812319
permws,runoffws,-0.49442887290413484
ag_cover,maxelevsmo,-0.49159613890747894
burn_sev_high,slope,0.47228036686276853
maxelevsmo,slope,0.47223371411408405
grassland_cover,rckdepws,-0.46447476366655066
grassland_cover,tmean8110ws,0.4639029263020362
glacial_till,tmean8110ws,-0.4570087598861683
omws,permws,-0.45451688699390796
ag_cover,burn_percent_fire_year,-0.4544813769775399
ag_cover,Area_watershed_km,0.45275190223034745
permws,wetland_cover,0.4525466566100459
burn_sev_high,forest_cover,-0.4507328336498539
ag_cover,slope,-0.4410596661340046
grassland_cover,maxelevsmo,0.4338742599537302
rckdepws,runoffws,0.4291289823304119
precip8110ws,urban_cover,-0.4190951575184648
clayws,tmean8110ws,0.41753022765130815
ag_cover,permws,-0.41489596841511983
maxelevsmo,post_fire_year,0.41404040151258636
precip8110ws,tmean8110ws,-0.40681173807160254
burn_percent_fire_year,wetland_cover,-0.406169789372168
burn_sev_high,clayws,-0.4019737737304383
permws,precip8110ws,-0.40194685087052107
burn_sev_high,post_fire_year,0.3971181308970332
Area_watershed_km,burn_sev_high,-0.393188146457712
forest_cover,permws,0.3833853493795653
omws,runoffws,0.3833320115920269
clayws,maxelevsmo,-0.3763924387134795
precip8110ws,rckdepws,0.3756008027750474
Area_watershed_km,burn_percent_fire_year,-0.3748885798034353
glacial_till,runoffws,0.3744038627094045
burn_sev_high,maxelevsmo,0.36734645391847315
omws,tmean8110ws,0.35507531016827293
clayws,post_fire_year,-0.3531945029805648
bfiws,tmean8110ws,-0.3529848667718875
grassland_cover,urban_cover,0.34560634655192646
Area_watershed_km,slope,-0.3441146855467818
slope,urban_cover,-0.3440653708154004
post_fire_year,slope,0.33779916264572685
precip8110ws,wetland_cover,-0.33388186391776
burn_percent_fire_year,clayws,-0.33064008093368424
urban_cover,wetland_cover,0.3280922592249619
burn_sev_high,wetland_cover,-0.3260614645415686
forest_cover,runoffws,-0.31976130639292466
ag_cover,post_fire_year,-0.3171694641123998
ag_cover,clayws,0.3166508434870595
ag_cover,omws,0.31228728805439127
burn_percent_fire_year,urban_cover,-0.30920716285534766
bfiws,clayws,-0.3072610537304318
ag_cover,rckdepws,0.30387767469255117
Area_watershed_km,permws,-0.2959032871028875
omws,post_fire_year,-0.2914387558909042
glacial_till,urban_cover,-0.2904494715206904
omws,precip8110ws,0.2887495447406059
burn_percent_fire_year,post_fire_year,0.2846346851896187
burn_sev_high,urban_cover,-0.2830033699054027
bfiws,slope,-0.2818859802567471
glacial_till,maxelevsmo,-0.28066362178974824
rckdepws,urban_cover,-0.2797296206632236
post_fire_year,urban_cover,-0.2776903985340521
forest_cover,slope,-0.268098393891119
grassland_cover,omws,-0.265627765721627
bfiws,grassland_cover,-0.26077324163388776
burn_percent_fire_year,maxelevsmo,0.2558156188200589
omws,urban_cover,0.2547828686875459
permws,tmean8110ws,-0.24764142524005117
clayws,grassland_cover,0.2377464016734362
runoffws,urban_cover,-0.2303283848957879
burn_sev_high,runoffws,0.229114428889827
forest_cover,tmean8110ws,-0.22907665169293617
bfiws,runoffws,0.22572994380069722
ag_cover,precip8110ws,0.22425586677197187
clayws,rckdepws,-0.22072004513673146
Area_watershed_km,post_fire_year,-0.21918225700194663
post_fire_year,tmean8110ws,-0.21675209556526603
Area_watershed_km,maxelevsmo,-0.21429898686467885
bfiws,forest_cover,0.20014569035087093
burn_percent_fire_year,runoffws,0.1982462606412124
omws,wetland_cover,-0.19650985083400097
runoffws,slope,-0.19567754759438957
Area_watershed_km,glacial_till,0.192144339457712
glacial_till,omws,0.19167652651118064
Area_watershed_km,precip8110ws,0.1857241823097985
permws,post_fire_year,0.1851691932170344
clayws,urban_cover,0.18210878724070476
maxelevsmo,rckdepws,-0.17795671028947352
Area_watershed_km,bfiws,-0.17623410432564984
precip8110ws,slope,-0.1761425307634984
Area_watershed_km,wetland_cover,0.15183578672464407
forest_cover,grassland_cover,-0.150537182836803
maxelevsmo,urban_cover,0.14815623410414558
Area_watershed_km,tmean8110ws,-0.1474425359042147
clayws,runoffws,-0.14549135033193492
Area_watershed_km,grassland_cover,0.14344297451350996
rckdepws,slope,-0.14056360311204905
burn_sev_high,omws,-0.14044372911424924
grassland_cover,permws,0.13784712371477867
permws,slope,0.13683017407852846
clayws,forest_cover,-0.13466551447228275
burn_sev_high,glacial_till,-0.13138083631365186
Area_watershed_km,forest_cover,-0.12647010622818414
burn_percent_fire_year,glacial_till,-0.12619163490829838
permws,urban_cover,0.12505189441425854
glacial_till,wetland_cover,0.1232790282080887
grassland_cover,slope,0.12326714562720921
permws,rckdepws,-0.12124068876366778
runoffws,tmean8110ws,-0.1140879335437331
clayws,precip8110ws,-0.11211889646268386
tmean8110ws,wetland_cover,-0.10979601468523738
ag_cover,bfiws,0.10677532757037729
ag_cover,glacial_till,0.10504130629490721
bfiws,urban_cover,-0.09815203870749983
ag_cover,runoffws,0.09792867180937152
ag_cover,tmean8110ws,-0.09484084829177306
