predictor,Post-fire year,Burned watershed area (%),High-severity burn (%),Watershed area (km),Mean annual runoff,Baseflow index,Soil permeability,Forest cover (%),Grassland cover (%),Wetland cover (%),Agricultural cover (%),Urban cover (%),Soil organic matter,Soil clay content,Depth to bedrock,Glacial till (%),1981-2010 precipitation,1981-2010 mean temperature,Watershed slope,Maximum smoothed elevation
Post-fire year,0.9999999999999998,0.2846346851896187,0.3971181308970332,-0.21918225700194663,-0.0053240791677038185,0.04046784755950551,0.1851691932170344,-0.08559109538563757,0.04852903078277516,-0.04959972885423988,-0.3171694641123998,-0.2776903985340521,-0.2914387558909042,-0.3531945029805648,-0.08670352919632705,-0.04967953961320774,-0.09221469139681292,-0.21675209556526603,0.33779916264572685,0.41404040151258636
Burned watershed area (%),0.2846346851896187,1,0.9211697312997166,-0.3748885798034353,0.1982462606412124,0.03557740932828761,-0.09034800398091743,-0.5232366069644138,0.06703018999406757,-0.406169789372168,-0.4544813769775399,-0.30920716285534766,-0.037327034827209095,-0.33064008093368424,0.0262095516827498,-0.12619163490829838,-0.0905049321246257,0.07444797177026927,0.5120463567163975,0.2558156188200589
High-severity burn (%),0.3971181308970332,0.9211697312997166,1,-0.393188146457712,0.229114428889827,0.0633656238287593,-0.016692922562144427,-0.4507328336498539,0.061787745221184374,-0.3260614645415686,-0.5482305511637396,-0.2830033699054027,-0.14044372911424924,-0.4019737737304383,-0.00547700938089459,-0.13138083631365186,-0.04621762212415705,0.014768232543737792,0.47228036686276853,0.36734645391847315
Watershed area (km),-0.21918225700194663,-0.3748885798034353,-0.393188146457712,1,0.020190659551153456,-0.17623410432564984,-0.2959032871028875,-0.12647010622818414,0.14344297451350996,0.15183578672464407,0.45275190223034745,-0.09335379096578318,-0.010047201239291537,0.5111790339123559,-0.011882404308586437,0.192144339457712,0.1857241823097985,-0.1474425359042147,-0.3441146855467818,-0.21429898686467885
Mean annual runoff,-0.0053240791677038185,0.1982462606412124,0.229114428889827,0.020190659551153456,1,0.22572994380069722,-0.49442887290413484,-0.31976130639292466,-0.5425256942676825,-0.5044479128545724,0.09792867180937152,-0.2303283848957879,0.3833320115920269,-0.14549135033193492,0.4291289823304119,0.3744038627094045,0.7663581229888607,-0.1140879335437331,-0.19567754759438957,-0.5914000805675246
Baseflow index,0.04046784755950551,0.03557740932828761,0.0633656238287593,-0.17623410432564984,0.22572994380069722,1,-0.024360631622027815,0.20014569035087093,-0.26077324163388776,-0.04482003443287076,0.10677532757037729,-0.09815203870749983,0.019961291522593884,-0.3072610537304318,0.6326693853710285,0.026080405330562925,0.048713425651500115,-0.3529848667718875,-0.2818859802567471,0.0030554399010766027
Soil permeability,0.1851691932170344,-0.09034800398091743,-0.016692922562144427,-0.2959032871028875,-0.49442887290413484,-0.024360631622027815,1,0.3833853493795653,0.13784712371477867,0.4525466566100459,-0.41489596841511983,0.12505189441425854,-0.45451688699390796,-0.5688299445075311,-0.12124068876366778,-0.023624960730782293,-0.40194685087052107,-0.24764142524005117,0.13683017407852846,0.771662470934143
Forest cover (%),-0.08559109538563757,-0.5232366069644138,-0.4507328336498539,-0.12647010622818414,-0.31976130639292466,0.20014569035087093,0.3833853493795653,1,-0.150537182836803,0.05339947059977644,-0.005788141041669584,0.07102520154113484,-0.03800858443049898,-0.13466551447228275,-0.06449032645761102,-0.025928965437714398,0.01176949501153382,-0.22907665169293617,-0.268098393891119,-0.08762130483611498
Grassland cover (%),0.04852903078277516,0.06703018999406757,0.061787745221184374,0.14344297451350996,-0.5425256942676825,-0.26077324163388776,0.13784712371477867,-0.150537182836803,1,0.016271281764845984,0.001076515337739386,0.34560634655192646,-0.265627765721627,0.2377464016734362,-0.46447476366655066,-0.702815572872449,-0.7207912912532386,0.4639029263020362,0.12326714562720921,0.4338742599537302
Wetland cover (%),-0.04959972885423988,-0.406169789372168,-0.3260614645415686,0.15183578672464407,-0.5044479128545724,-0.04482003443287076,0.4525466566100459,0.05339947059977644,0.016271281764845984,0.9999999999999998,-0.00822462047819457,0.3280922592249619,-0.19650985083400097,-0.05754320054852303,-0.05955202043077079,0.1232790282080887,-0.33388186391776,-0.10979601468523738,0.028795915556606082,0.6595281025570351
Agricultural cover (%),-0.3171694641123998,-0.4544813769775399,-0.5482305511637396,0.45275190223034745,0.09792867180937152,0.10677532757037729,-0.41489596841511983,-0.005788141041669584,0.001076515337739386,-0.00822462047819457,0.9999999999999999,-0.08020415112766541,0.31228728805439127,0.3166508434870595,0.30387767469255117,0.10504130629490721,0.22425586677197187,-0.09484084829177306,-0.4410596661340046,-0.49159613890747894
Urban cover (%),-0.2776903985340521,-0.30920716285534766,-0.2830033699054027,-0.09335379096578318,-0.2303283848957879,-0.09815203870749983,0.12505189441425854,0.07102520154113484,0.34560634655192646,0.3280922592249619,-0.08020415112766541,1,0.2547828686875459,0.18210878724070476,-0.2797296206632236,-0.2904494715206904,-0.4190951575184648,0.7133832724093371,-0.3440653708154004,0.14815623410414558
Soil organic matter,-0.2914387558909042,-0.037327034827209095,-0.14044372911424924,-0.010047201239291537,0.3833320115920269,0.019961291522593884,-0.45451688699390796,-0.03800858443049898,-0.265627765721627,-0.19650985083400097,0.31228728805439127,0.2547828686875459,1,0.04936472907248302,0.08226740656625173,0.19167652651118064,0.2887495447406059,0.35507531016827293,-0.5113188539270785,-0.6111484776857492
Soil clay content,-0.3531945029805648,-0.33064008093368424,-0.4019737737304383,0.5111790339123559,-0.14549135033193492,-0.3072610537304318,-0.5688299445075311,-0.13466551447228275,0.2377464016734362,-0.05754320054852303,0.3166508434870595,0.18210878724070476,0.04936472907248302,1,-0.22072004513673146,-0.05998742627691359,-0.11211889646268386,0.41753022765130815,-0.0540639145733434,-0.3763924387134795
Depth to bedrock,-0.08670352919632705,0.0262095516827498,-0.00547700938089459,-0.011882404308586437,0.4291289823304119,0.6326693853710285,-0.12124068876366778,-0.06449032645761102,-0.46447476366655066,-0.05955202043077079,0.30387767469255117,-0.2797296206632236,0.08226740656625173,-0.22072004513673146,1,0.5218161154897268,0.3756008027750474,-0.4965969390812319,-0.14056360311204905,-0.17795671028947352
Glacial till (%),-0.04967953961320774,-0.12619163490829838,-0.13138083631365186,0.192144339457712,0.3744038627094045,0.026080405330562925,-0.023624960730782293,-0.025928965437714398,-0.702815572872449,0.1232790282080887,0.10504130629490721,-0.2904494715206904,0.19167652651118064,-0.05998742627691359,0.5218161154897268,1,0.5731631577009902,-0.4570087598861683,-0.08676315799766722,-0.28066362178974824
1981-2010 precipitation,-0.09221469139681292,-0.0905049321246257,-0.04621762212415705,0.1857241823097985,0.7663581229888607,0.048713425651500115,-0.40194685087052107,0.01176949501153382,-0.7207912912532386,-0.33388186391776,0.22425586677197187,-0.4190951575184648,0.2887495447406059,-0.11211889646268386,0.3756008027750474,0.5731631577009902,1,-0.40681173807160254,-0.1761425307634984,-0.615450149130694
1981-2010 mean temperature,-0.21675209556526603,0.07444797177026927,0.014768232543737792,-0.1474425359042147,-0.1140879335437331,-0.3529848667718875,-0.24764142524005117,-0.22907665169293617,0.4639029263020362,-0.10979601468523738,-0.09484084829177306,0.7133832724093371,0.35507531016827293,0.41753022765130815,-0.4965969390812319,-0.4570087598861683,-0.40681173807160254,1,-0.06921471344052249,-0.011715722387985548
Watershed slope,0.33779916264572685,0.5120463567163975,0.47228036686276853,-0.3441146855467818,-0.19567754759438957,-0.2818859802567471,0.13683017407852846,-0.268098393891119,0.12326714562720921,0.028795915556606082,-0.4410596661340046,-0.3440653708154004,-0.5113188539270785,-0.0540639145733434,-0.14056360311204905,-0.08676315799766722,-0.1761425307634984,-0.06921471344052249,1,0.47223371411408405
Maximum smoothed elevation,0.41404040151258636,0.2558156188200589,0.36734645391847315,-0.21429898686467885,-0.5914000805675246,0.0030554399010766027,0.771662470934143,-0.08762130483611498,0.4338742599537302,0.6595281025570351,-0.49159613890747894,0.14815623410414558,-0.6111484776857492,-0.3763924387134795,-0.17795671028947352,-0.28066362178974824,-0.615450149130694,-0.011715722387985548,0.47223371411408405,0.9999999999999999
