"","Study_ID","Site","Sampling_Date","Latitude","Longitude","Area_watershed_km","Pair","Climate","Burn_Unburn","Time_Since_Fire","DOC_uM_C","NO3_uM_N","NO3_Interp","DOC_Interp"
"38","Rhea et al. 2021","B1",2017-07-22,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.132845527654471,234.179850085424
"39","Rhea et al. 2021","B1",2017-07-23,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.120033014908943,231.424793025007
"40","Rhea et al. 2021","B1",2017-07-24,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.107220502163414,228.669735964591
"41","Rhea et al. 2021","B1",2017-07-25,NA,NA,3.25,"Site_1","Dfc","Burn",5,225.914678904175,0.0944079894178853,0.0944079894178853,225.914678904175
"42","Rhea et al. 2021","B1",2017-07-26,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.106931498143902,231.424793022628
"43","Rhea et al. 2021","B1",2017-07-27,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.119455006869918,236.934907141082
"44","Rhea et al. 2021","B1",2017-07-28,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.131978515595934,242.445021259535
"45","Rhea et al. 2021","B1",2017-07-29,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.144502024321951,247.955135377989
"46","Rhea et al. 2021","B1",2017-07-30,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.157025533047967,253.465249496443
"47","Rhea et al. 2021","B1",2017-07-31,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.169549041773984,258.975363614896
"48","Rhea et al. 2021","B1",2017-08-01,NA,NA,3.25,"Site_1","Dfc","Burn",5,264.48547773335,0.1820725505,0.1820725505,264.48547773335
"49","Rhea et al. 2021","B1",2017-08-02,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.183196455222628,259.2814810646
"50","Rhea et al. 2021","B1",2017-08-03,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.184320359945257,254.07748439585
"51","Rhea et al. 2021","B1",2017-08-04,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.185444264667885,248.8734877271
"52","Rhea et al. 2021","B1",2017-08-05,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.186568169390514,243.66949105835
"53","Rhea et al. 2021","B1",2017-08-06,NA,NA,3.25,"Site_1","Dfc","Burn",5,NA,NA,0.187692074113142,238.4654943896
"54","Rhea et al. 2021","B1",2017-08-07,NA,NA,3.25,"Site_1","Dfc","Burn",5,233.26149772085,0.18881597883577,0.18881597883577,233.26149772085
"55","Rhea et al. 2021","B2",2017-06-25,NA,NA,6.02,"Site_2","Dfc","Burn",15,80.8150070666871,1.73306095848369,1.73306095848369,80.8150070666871
"56","Rhea et al. 2021","B2",2017-06-26,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.69765796154162,84.0292403024517
"57","Rhea et al. 2021","B2",2017-06-27,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.66225496459955,87.2434735382162
"58","Rhea et al. 2021","B2",2017-06-28,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.62685196765748,90.4577067739808
"59","Rhea et al. 2021","B2",2017-06-29,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.59144897071541,93.6719400097454
"60","Rhea et al. 2021","B2",2017-06-30,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.55604597377334,96.8861732455099
"61","Rhea et al. 2021","B2",2017-07-01,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.52064297683127,100.100406481275
"62","Rhea et al. 2021","B2",2017-07-02,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.4852399798892,103.314639717039
"63","Rhea et al. 2021","B2",2017-07-03,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.44983698294713,106.528872952804
"64","Rhea et al. 2021","B2",2017-07-04,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.41443398600506,109.743106188568
"65","Rhea et al. 2021","B2",2017-07-05,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.37903098906299,112.957339424333
"66","Rhea et al. 2021","B2",2017-07-06,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.34362799212092,116.171572660097
"67","Rhea et al. 2021","B2",2017-07-07,NA,NA,6.02,"Site_2","Dfc","Burn",15,119.385805895862,1.30822499517885,1.30822499517885,119.385805895862
"68","Rhea et al. 2021","B2",2017-07-08,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.29398886990604,119.69192334887
"69","Rhea et al. 2021","B2",2017-07-09,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.27975274463323,119.998040801877
"70","Rhea et al. 2021","B2",2017-07-10,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.26551661936042,120.304158254885
"71","Rhea et al. 2021","B2",2017-07-11,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.25128049408761,120.610275707893
"72","Rhea et al. 2021","B2",2017-07-12,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.2370443688148,120.9163931609
"73","Rhea et al. 2021","B2",2017-07-13,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.22280824354199,121.222510613908
"74","Rhea et al. 2021","B2",2017-07-14,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.20857211826919,121.528628066916
"75","Rhea et al. 2021","B2",2017-07-15,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.19433599299638,121.834745519923
"76","Rhea et al. 2021","B2",2017-07-16,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.18009986772357,122.140862972931
"77","Rhea et al. 2021","B2",2017-07-17,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.16586374245076,122.446980425939
"78","Rhea et al. 2021","B2",2017-07-18,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.15162761717795,122.753097878946
"79","Rhea et al. 2021","B2",2017-07-19,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.13739149190514,123.059215331954
"80","Rhea et al. 2021","B2",2017-07-20,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.12315536663233,123.365332784962
"81","Rhea et al. 2021","B2",2017-07-21,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.10891924135952,123.671450237969
"82","Rhea et al. 2021","B2",2017-07-22,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.09468311608671,123.977567690977
"83","Rhea et al. 2021","B2",2017-07-23,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.0804469908139,124.283685143985
"84","Rhea et al. 2021","B2",2017-07-24,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.06621086554109,124.589802596992
"85","Rhea et al. 2021","B2",2017-07-25,NA,NA,6.02,"Site_2","Dfc","Burn",15,124.89592005,1.05197474026828,1.05197474026828,124.89592005
"86","Rhea et al. 2021","B2",2017-07-26,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.07531737401406,124.189495160579
"87","Rhea et al. 2021","B2",2017-07-27,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.09866000775984,123.483070271158
"88","Rhea et al. 2021","B2",2017-07-28,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.12200264150562,122.776645381736
"89","Rhea et al. 2021","B2",2017-07-29,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.14534527525141,122.070220492315
"90","Rhea et al. 2021","B2",2017-07-30,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.16868790899719,121.363795602894
"91","Rhea et al. 2021","B2",2017-07-31,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.19203054274297,120.657370713473
"92","Rhea et al. 2021","B2",2017-08-01,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.21537317648875,119.950945824052
"93","Rhea et al. 2021","B2",2017-08-02,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.23871581023453,119.24452093463
"94","Rhea et al. 2021","B2",2017-08-03,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.26205844398032,118.538096045209
"95","Rhea et al. 2021","B2",2017-08-04,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.2854010777261,117.831671155788
"96","Rhea et al. 2021","B2",2017-08-05,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.30874371147188,117.125246266367
"97","Rhea et al. 2021","B2",2017-08-06,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.33208634521766,116.418821376946
"98","Rhea et al. 2021","B2",2017-08-07,NA,NA,6.02,"Site_2","Dfc","Burn",15,115.712396487524,1.35542897896344,1.35542897896344,115.712396487524
"99","Rhea et al. 2021","B2",2017-08-08,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.33772748049241,112.268575162004
"100","Rhea et al. 2021","B2",2017-08-09,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.32002598202137,108.824753836484
"101","Rhea et al. 2021","B2",2017-08-10,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.30232448355034,105.380932510964
"102","Rhea et al. 2021","B2",2017-08-11,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.2846229850793,101.937111185443
"103","Rhea et al. 2021","B2",2017-08-12,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.26692148660827,98.4932898599229
"104","Rhea et al. 2021","B2",2017-08-13,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.24921998813723,95.0494685344026
"105","Rhea et al. 2021","B2",2017-08-14,NA,NA,6.02,"Site_2","Dfc","Burn",15,NA,NA,1.2315184896662,91.6056472088822
"106","Rhea et al. 2021","B2",2017-08-15,NA,NA,6.02,"Site_2","Dfc","Burn",15,88.1618258833619,1.21381699119516,1.21381699119516,88.1618258833619
"107","Rhea et al. 2021","B3",2017-06-25,NA,NA,8.33,"Site_3","Dfc","Burn",15,108.36557767085,1.47681068900731,1.47681068900731,108.36557767085
"108","Rhea et al. 2021","B3",2017-06-26,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.46894335655582,107.75334276946
"109","Rhea et al. 2021","B3",2017-06-27,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.46107602410433,107.141107868071
"110","Rhea et al. 2021","B3",2017-06-28,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.45320869165284,106.528872966681
"111","Rhea et al. 2021","B3",2017-06-29,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.44534135920135,105.916638065291
"112","Rhea et al. 2021","B3",2017-06-30,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.43747402674986,105.304403163902
"113","Rhea et al. 2021","B3",2017-07-01,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.42960669429837,104.692168262512
"114","Rhea et al. 2021","B3",2017-07-02,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.42173936184688,104.079933361123
"115","Rhea et al. 2021","B3",2017-07-03,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.41387202939539,103.467698459733
"116","Rhea et al. 2021","B3",2017-07-04,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.4060046969439,102.855463558344
"117","Rhea et al. 2021","B3",2017-07-05,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.39813736449241,102.243228656954
"118","Rhea et al. 2021","B3",2017-07-06,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.39027003204092,101.630993755564
"119","Rhea et al. 2021","B3",2017-07-07,NA,NA,8.33,"Site_3","Dfc","Burn",15,101.018758854175,1.38240269958943,1.38240269958943,101.018758854175
"120","Rhea et al. 2021","B3",2017-07-08,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.26354978473028,100.789170771358
"121","Rhea et al. 2021","B3",2017-07-09,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.14469686987113,100.559582688541
"122","Rhea et al. 2021","B3",2017-07-10,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.02584395501199,100.329994605724
"123","Rhea et al. 2021","B3",2017-07-11,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.90699104015284,100.100406522906
"124","Rhea et al. 2021","B3",2017-07-12,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.788138125293694,99.8708184400894
"125","Rhea et al. 2021","B3",2017-07-13,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.669285210434547,99.6412303572723
"126","Rhea et al. 2021","B3",2017-07-14,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.550432295575401,99.4116422744552
