Study_ID,Fire_name,Fire_year,site,comid,totdasqkm,streamorde,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size
"Gluns & Toews, 1989",Matt fire,1985,NA,NA,NA,NA,NA,Dfc,Cold,3,NO3_Interp,1.8413502470540644
"Gluns & Toews, 1989",Matt fire,1985,NA,NA,NA,NA,NA,Dfc,Cold,3,NO3_Interp,1.8853069011924857
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,0,DOC_Interp,-0.05198944083147036
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,1,DOC_Interp,-0.23267430480315815
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,2,DOC_Interp,-0.05485661026893528
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,3,DOC_Interp,-0.33386212088645906
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,4,DOC_Interp,-0.06876044186758228
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,1,NO3_Interp,0.9217624797354468
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,2,NO3_Interp,0.6938414248359014
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,3,NO3_Interp,0.6238798035979927
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,4,NO3_Interp,0.4513944740791651
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,1,DOC_Interp,-0.02209144774333893
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,1,DOC_Interp,-0.09143869394625465
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,1,DOC_Interp,-0.4759788799445507
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,2,DOC_Interp,-0.30682413734353803
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,2,DOC_Interp,-0.35352180878763056
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,2,DOC_Interp,-0.41287873547224674
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,3,DOC_Interp,-0.3312863465111103
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,3,DOC_Interp,-0.4227882497149223
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,3,DOC_Interp,-0.5499098148014181
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,1,NO3_Interp,1.2334337255408905
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,1,NO3_Interp,0.8906940242456102
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,1,NO3_Interp,-0.05699676485766621
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,2,NO3_Interp,0.2945684815767112
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,2,NO3_Interp,1.6229567188536114
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,2,NO3_Interp,2.1167271828264864
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,3,NO3_Interp,1.1134630802037473
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,3,NO3_Interp,2.138023384509159
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,3,NO3_Interp,1.1987594531267192
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,0,DOC_Interp,-0.19586948633799223
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,0,DOC_Interp,-0.02058262147733873
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,1,DOC_Interp,-0.09253034556904192
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,1,DOC_Interp,-0.2794571534661146
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,1,DOC_Interp,-0.5290874956151702
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,2,DOC_Interp,-0.4059504771372809
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,2,DOC_Interp,-0.42051599123248457
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,2,DOC_Interp,-0.504700788827816
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,3,DOC_Interp,-0.4838929792642086
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,3,DOC_Interp,-0.5412446599785048
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,3,DOC_Interp,-0.6939952120636859
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,4,DOC_Interp,-0.3881077782646473
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,4,DOC_Interp,-0.5762560227751916
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,4,DOC_Interp,-0.7185013536732262
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,5,DOC_Interp,-0.3676420649753068
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,5,DOC_Interp,-0.5510697334216398
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,5,DOC_Interp,-0.7218292413374722
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,0,NO3_Interp,-0.9251679798500448
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,0,NO3_Interp,-0.5401482686656407
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,1,NO3_Interp,0.34874637041195555
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,1,NO3_Interp,0.4924902954548207
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,1,NO3_Interp,-0.5324776921953114
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,2,NO3_Interp,0.4896719200329616
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,2,NO3_Interp,1.0609399607508578
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,2,NO3_Interp,0.6606550881027107
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,3,NO3_Interp,0.5260874760635659
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,3,NO3_Interp,0.9631628551436824
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,3,NO3_Interp,0.5319120776509874
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,4,NO3_Interp,0.10679525211943049
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,4,NO3_Interp,0.3707771777527453
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,4,NO3_Interp,-0.04505357676425826
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,5,NO3_Interp,0.27085562181965056
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,5,NO3_Interp,0.5277273450124165
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,5,NO3_Interp,0.13000465508024311
"Neary & Currier, 1982",Jumping Branch Wildfire,NA,NA,NA,NA,NA,NA,Cfa,Temperate,0,NO3_Interp,1.5739271177981005
"Neary & Currier, 1982",Jumping Branch Wildfire,NA,NA,NA,NA,NA,NA,Cfa,Temperate,1,NO3_Interp,0.7765290563903371
Oliver et al. 2012,Angora Fire,2007,Site 2,8943617,8.0658,2,76.4673,Csb,Temperate,1,NO3_Interp,0.7146311795090584
Oliver et al. 2012,Angora Fire,2007,Site 3,8943613,130.7673,3,6.7889,Csb,Temperate,1,NO3_Interp,0.1083671999910158
Oliver et al. 2012,Angora Fire,2007,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,-1.2564969709571707
Oliver et al. 2012,Angora Fire,2007,Site 2,8943617,8.0658,2,76.4673,Csb,Temperate,2,NO3_Interp,-0.5396214946346434
Oliver et al. 2012,Angora Fire,2007,Site 3,8943613,130.7673,3,6.7889,Csb,Temperate,2,NO3_Interp,-1.76671099295381
Oliver et al. 2012,Angora Fire,2007,NA,NA,NA,NA,NA,Csb,Temperate,2,NO3_Interp,-2.169919002561115
"Tiedemann, 1997",NA,NA,NA,NA,NA,NA,NA,Dsb,Cold,0,NO3_Interp,0.700384479651557
"Tiedemann, 1997",NA,NA,NA,NA,NA,NA,NA,Dsb,Cold,1,NO3_Interp,2.032749426158762
"Tiedemann, 1997",NA,NA,NA,NA,NA,NA,NA,Dsb,Cold,2,NO3_Interp,3.4497656138466612
