Study_ID,Fire_name,Fire_year,site,comid,totdasqkm,streamorde,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,Lat,Long,number_of_burn,State,group
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,3,NO3_Interp,0.6238798035979927,48.418961,-113.696178,NA,NA,NA
"Mast & Clow, 2008",Rampage Fire,2003,Coal,22957705,96.5538,3,55.8481,Dfc,Cold,4,NO3_Interp,0.4513944740791651,48.418961,-113.696178,NA,NA,NA
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,1,DOC_Interp,-0.02209144774333893,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,1,DOC_Interp,-0.09143869394625465,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,1,DOC_Interp,-0.4759788799445507,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,2,DOC_Interp,-0.30682413734353803,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,2,DOC_Interp,-0.35352180878763056,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,2,DOC_Interp,-0.41287873547224674,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,3,DOC_Interp,-0.3312863465111103,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,3,DOC_Interp,-0.4227882497149223,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,3,DOC_Interp,-0.5499098148014181,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,1,NO3_Interp,1.2334337255408905,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,1,NO3_Interp,0.8906940242456102,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,1,NO3_Interp,-0.05699676485766621,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,2,NO3_Interp,0.2945684815767112,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,2,NO3_Interp,1.6229567188536114,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,2,NO3_Interp,2.1167271828264864,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,3,NO3_Interp,1.1134630802037473,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,3,NO3_Interp,2.138023384509159,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,3,NO3_Interp,1.1987594531267192,40.03333,-105.4167,3,Colorado,5
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,0,DOC_Interp,-0.19586948633799223,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,0,DOC_Interp,-0.02058262147733873,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,0,DOC_Interp,-0.09253034556904192,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,0,DOC_Interp,-0.2794571534661146,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,0,DOC_Interp,-0.5290874956151702,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,2,DOC_Interp,-0.4059504771372809,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,2,DOC_Interp,-0.42051599123248457,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,2,DOC_Interp,-0.504700788827816,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,3,DOC_Interp,-0.4838929792642086,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,3,DOC_Interp,-0.5412446599785048,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,3,DOC_Interp,-0.6939952120636859,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,4,DOC_Interp,-0.3881077782646473,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,4,DOC_Interp,-0.5762560227751916,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,4,DOC_Interp,-0.7185013536732262,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,5,DOC_Interp,-0.3676420649753068,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,5,DOC_Interp,-0.5510697334216398,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,5,DOC_Interp,-0.7218292413374722,40.03333,-105.4167,NA,NA,NA
