Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID
"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta","McEachern, P; Prepas, EE; Gibson, JJ; Dinsmore, WP",NA,NA,NA,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2000,2000,57,NA,NA,2,NA,73,81,NA,10.1139/cjfas-57-S2-73,NA,NA,83,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The role of precipitation type, intensity, and spatial distribution in source water quality after wildfire","Murphy, Sheila F.; Writer, Jeffrey H.; McCleskey, R. Blaine; Martin, Deborah A.",NA,NA,NA,ENVIRONMENTAL RESEARCH LETTERS,AUG 2015,2015,10,8,NA,NA,NA,NA,NA,84007,10.1088/1748-9326/10/8/084007,NA,NA,82,9.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insights into the complete and partial photooxidation of black carbon in surface waters,"Ward, Collin P.; Sleighter, Rachel L.; Hatcher, Patrick G.; Cory, Rose M.",NA,NA,NA,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,2014,2014,16,4,NA,NA,NA,721,731,NA,10.1039/c3em00597f,NA,NA,81,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assessing anthropogenic impacts on riverine ecosystems using nested partial least squares regression,"Ferreira, A. R. L.; Sanches Fernandes, L. F.; Cortes, R. M. V.; Pacheco, F. A. L.",NA,NA,NA,SCIENCE OF THE TOTAL ENVIRONMENT,APR 1 2017,2017,583,NA,NA,NA,NA,466,477,NA,10.1016/j.scitotenv.2017.01.106,NA,NA,78,11.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Release of polycyclic aromatic compounds into a Mediterranean creek (Catalonia, NE Spain) after a forest fire","Vila-Escale, M.; Vegas-Vilarrubia, T.; Prat, N.",NA,NA,NA,WATER RESEARCH,MAY 2007,2007,41,10,NA,NA,NA,2171,2179,NA,10.1016/j.watres.2006.07.029,NA,NA,78,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence and source apportionment of novel and legacy poly/perfluoroalkyl substances in Hai River basin in China using receptor models and isomeric fingerprints,"Li, Yao; Feng, Xuemin; Zhou, Jian; Zhu, Lingyan",NA,NA,NA,WATER RESEARCH,JAN 1 2020,2020,168,NA,NA,NA,NA,NA,NA,115145,10.1016/j.watres.2019.115145,NA,NA,77,19.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wildfires Alter Forest Watersheds and Threaten Drinking Water Quality,"Hohner, Amanda K.; Rhoades, Charles C.; Wilkerson, Paul; Rosario-Ortiz, Fernando L.",NA,NA,NA,ACCOUNTS OF CHEMICAL RESEARCH,MAY 2019,2019,52,5,NA,NA,NA,1234,1244,NA,10.1021/acs.accounts.8b00670,NA,NA,71,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impact of wildfire and clear-cutting in the boreal forest on methyl mercury in zooplankton,"Garcia, E; Carignan, R",NA,NA,NA,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,FEB 1999,1999,56,2,NA,NA,NA,339,345,NA,10.1139/cjfas-56-2-339,NA,NA,71,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phosphorus and nitrogen dynamics in streams associated with wildfire: A study of immediate and longterm effects,"Hauer, FR; Spencer, CN",NA,NA,NA,INTERNATIONAL JOURNAL OF WILDLAND FIRE,DEC 1998,1998,8,4,NA,NA,NA,183,198,NA,10.1071/WF9980183,NA,NA,71,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFFECTS OF FOREST-FIRE AND DROUGHT ON ACIDITY OF A BASE-POOR BOREAL FOREST STREAM - SIMILARITIES BETWEEN CLIMATIC WARMING AND ACIDIC PRECIPITATION,"BAYLEY, SE; SCHINDLER, DW; PARKER, BR; STAINTON, MP; BEATY, KG",NA,NA,NA,BIOGEOCHEMISTRY,1992,1992,17,3,NA,NA,NA,191,204,NA,10.1007/BF00004041,NA,NA,71,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Projections of air pollutant emissions and its impacts on regional air quality in China in 2020,"Xing, J.; Wang, S. X.; Chatani, S.; Zhang, C. Y.; Wei, W.; Hao, J. M.; Klimont, Z.; Cofala, J.; Amann, M.",NA,NA,NA,ATMOSPHERIC CHEMISTRY AND PHYSICS,2011,2011,11,7,NA,NA,NA,3119,3136,NA,10.5194/acp-11-3119-2011,NA,NA,70,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phosphorus and nitrogen exports from SE Australian forests following wildfire,"Lane, Patrick N. J.; Sheridan, Gary J.; Noske, Philip J.; Sherwin, Christopher B.",NA,NA,NA,JOURNAL OF HYDROLOGY,OCT 30 2008,2008,361,1-2,NA,NA,NA,186,198,NA,10.1016/j.jhydrol.2008.07.041,NA,NA,70,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wildfire impacts on nitrogen concentration and production from headwater streams in southern Alberta's Rocky Mountains,"Bladon, Kevin D.; Silins, Uldis; Wagner, Michael J.; Stone, Micheal; Emelko, Monica B.; Mendoza, Carl A.; Devito, Kevin J.; Boon, Sarah",NA,NA,NA,CANADIAN JOURNAL OF FOREST RESEARCH,SEP 2008,2008,38,9,NA,NA,NA,2359,2371,NA,10.1139/X08-071,NA,NA,70,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
