Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID
"Effects of fire on the hydrology, biogeochemistry, and ecology of peatland river systems","Brown, Lee E.; Holden, Joseph; Palmer, Sheila M.; Johnston, Kerrylyn; Ramchunder, Sorain J.; Grayson, Richard",NA,NA,NA,FRESHWATER SCIENCE,DEC 2015,2015,34,4,NA,NA,NA,1406,1425,NA,10.1086/683426,NA,NA,38,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Predicting and understanding ecosystem responses to climate change at continental scales,"Marshall, John D.; Blair, John M.; Peters, Debra P. C.; Okin, Greg; Rango, Albert; Williams, Mark",NA,NA,NA,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,JUN 2008,2008,6,5,NA,NA,NA,273,280,NA,10.1890/070165,NA,NA,38,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seasonal and inter-annual variations in methyl mercury concentrations in zooplankton from boreal lakes impacted by deforestation or natural forest fires,"Garcia, Edenise; Carignan, Richard; Lean, David R. S.",NA,NA,NA,ENVIRONMENTAL MONITORING AND ASSESSMENT,AUG 2007,2007,131,1-3,NA,NA,NA,1,11,NA,10.1007/s10661-006-9442-z,NA,NA,38,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissolved black carbon in boreal forest and glacial rivers of central Alaska: assessment of biomass burning versus anthropogenic sources,"Ding, Yan; Yamashita, Youhei; Jones, Jeremy; Jaffe, Rudolf",NA,NA,NA,BIOGEOCHEMISTRY,MAR 2015,2015,123,1-2,NA,NA,NA,15,25,NA,10.1007/s10533-014-0050-7,NA,NA,37,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-quality response to a high-elevation wildfire in the Colorado Front Range,"Mast, M. Alisa; Murphy, Sheila F.; Clow, David W.; Penn, Colin A.; Sexstone, Graham A.",NA,NA,NA,HYDROLOGICAL PROCESSES,JUN 15 2016,2016,30,12,NA,NA,NA,1811,1823,NA,10.1002/hyp.10755,NA,NA,35,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biomass burning influence on high-latitude tropospheric ozone and reactive nitrogen in summer 2008: a multi-model analysis based on POLMIP simulations,"Arnold, S. R.; Emmons, L. K.; Monks, S. A.; Law, K. S.; Ridley, D. A.; Turquety, S.; Tilmes, S.; Thomas, J. L.; Bouarar, I.; Flemming, J.; Huijnen, V.; Mao, J.; Duncan, B. N.; Steenrod, S.; Yoshida, Y.; Langner, J.; Long, Y.",NA,NA,NA,ATMOSPHERIC CHEMISTRY AND PHYSICS,2015,2015,15,11,NA,NA,NA,6047,6068,NA,10.5194/acp-15-6047-2015,NA,NA,35,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sources and fate of terrestrial dissolved organic carbon in lakes of a Boreal Plains region recently affected by wildfire,"Olefeldt, D.; Devito, K. J.; Turetsky, M. R.",NA,NA,NA,BIOGEOSCIENCES,2013,2013,10,10,NA,NA,NA,6247,6265,NA,10.5194/bg-10-6247-2013,NA,NA,35,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seasonal shifts in export of DOC and nutrients from burned and unburned peatland-rich catchments, Northwest Territories, Canada","Burd, Katheryn; Tank, Suzanne E.; Dion, Nicole; Quinton, William L.; Spence, Christopher; Tanentzap, Andrew J.; Olefeldt, David",NA,NA,NA,HYDROLOGY AND EARTH SYSTEM SCIENCES,AUG 22 2018,2018,22,8,NA,NA,NA,4455,4472,NA,10.5194/hess-22-4455-2018,NA,NA,34,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impacts of power generation on air quality in China-Part II: Future scenarios,"Hu, Jianlin; Huang, Lin; Chen, Mindong; He, Gang; Zhang, Hongliang",NA,NA,NA,RESOURCES CONSERVATION AND RECYCLING,JUN 2017,2017,121,NA,NA,NA,NA,115,127,NA,10.1016/j.resconrec.2016.04.011,NA,NA,33,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impact of wildfire on source water contributions in Devil Creek, CA: evidence from end-member mixing analysis","Jung, Helen Y.; Hogue, Terri S.; Rademacher, Laura K.; Meixner, Tom",NA,NA,NA,HYDROLOGICAL PROCESSES,JAN 15 2009,2009,23,2,NA,NA,NA,183,200,NA,10.1002/hyp.7132,NA,NA,33,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wildfires lead to decreased carbon and increased nitrogen concentrations in upland arctic streams,"Rodriguez-Cardona, B. M.; Coble, A. A.; Wymore, A. S.; Kolosov, R.; Podgorski, D. C.; Zito, P.; Spencer, R. G. M.; Prokushkin, A. S.; McDowell, W. H.",NA,NA,NA,SCIENTIFIC REPORTS,MAY 26 2020,2020,10,1,NA,NA,NA,NA,NA,8722,10.1038/s41598-020-65520-0,NA,NA,32,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Characteristics and source apportionment of PM2.5 in Jiaxing, China","Zhao, Zhipeng; Lv, Sheng; Zhang, Yihua; Zhao, Qianbiao; Shen, Lin; Xu, Shi; Yu, Jianqiang; Hou, Jingwen; Jin, Chengyu",NA,NA,NA,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,MAR 2019,2019,26,8,NA,NA,NA,7497,7511,NA,10.1007/s11356-019-04205-2,NA,NA,32,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Updated emission inventories of power plants in simulating air quality during haze periods over East China,"Zhang, Lei; Zhao, Tianliang; Gong, Sunling; Kong, Shaofei; Tang, Lili; Liu, Duanyang; Wang, Yongwei; Jin, Lianji; Shan, Yunpeng; Tan, Chenghao; Zhang, Yingjie; Guo, Xiaomei",NA,NA,NA,ATMOSPHERIC CHEMISTRY AND PHYSICS,FEB 13 2018,2018,18,3,NA,NA,NA,2065,2079,NA,10.5194/acp-18-2065-2018,NA,NA,32,5.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fire, Flood, and Drought: Extreme Climate Events Alter Flow Paths and Stream Chemistry","Murphy, Sheila F.; McCleskey, R. Blaine; Martin, Deborah A.; Writer, Jeffrey H.; Ebel, Brian A.",NA,NA,NA,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,AUG 2018,2018,123,8,NA,NA,NA,2513,2526,NA,10.1029/2017JG004349,NA,NA,31,5.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acute toxicity of fire-control chemicals, nitrogenous chemicals, and surfactants to rainbow trout","Buhl, KJ; Hamilton, SJ",NA,NA,NA,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,MAR 2000,2000,129,2,NA,NA,NA,408,418,NA,10.1577/1548-8659(2000)129<0408:ATOFCC>2.0.CO;2,NA,NA,31,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and nutrient outflow following the ecological restoration of a ponderosa pine-bunchgrass ecosystem,"Kaye, JP; Hart, SC; Cobb, RC; Stone, JE",NA,NA,NA,RESTORATION ECOLOGY,SEP 1999,1999,7,3,NA,NA,NA,252,261,NA,10.1046/j.1526-100X.1999.72018.x,NA,NA,30,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solute and sediment export from Amazon forest and soybean headwater streams,"Riskin, Shelby H.; Neill, Christopher; Jankowski, KathiJo; Krusche, Alex V.; McHorney, Richard; Elsenbeer, Helmut; Macedo, Marcia N.; Nunes, Darlisson; Porder, Stephen",NA,NA,NA,ECOLOGICAL APPLICATIONS,JAN 2017,2017,27,1,NA,NA,NA,193,207,NA,10.1002/eap.1428,NA,NA,29,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissolved black carbon in the global cryosphere: Concentrations and chemical signatures,"Khan, Alia L.; Wagner, Sasha; Jaffe, Rudolf; Xian, Peng; Williams, Mark; Armstrong, Richard; McKnight, Diane",NA,NA,NA,GEOPHYSICAL RESEARCH LETTERS,JUN 28 2017,2017,44,12,NA,NA,NA,6226,6234,NA,10.1002/2017GL073485,NA,NA,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thermal alteration of water extractable organic matter in climosequence soils from the Sierra Nevada, California","Santos, Fernanda; Russell, David; Berhe, Asmeret Asefaw",NA,NA,NA,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,NOV 2016,2016,121,11,NA,NA,NA,2877,2885,NA,10.1002/2016JG003597,NA,NA,28,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutrient uptake along a fire gradient in boreal streams of Central Siberia,"Diemer, Laura A.; McDowell, William H.; Wymore, Adam S.; Prokushkin, Anatoly S.",NA,NA,NA,FRESHWATER SCIENCE,DEC 2015,2015,34,4,NA,NA,NA,1443,1456,NA,10.1086/683481,NA,NA,28,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N saturation symptoms in chaparral catchments are not reversed by prescribed fire,"Meixner, T; Fenn, ME; Wohlgemuth, P; Oxford, M; Riggan, P",NA,NA,NA,ENVIRONMENTAL SCIENCE & TECHNOLOGY,MAY 1 2006,2006,40,9,NA,NA,NA,2887,2894,NA,10.1021/es051268z,NA,NA,28,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distribution and Sources of Dissolved Black Carbonin Surface Waters of the Chukchi Sea, Bering Sea, and the North Pacific Ocean","Nakane, Motohiro; Ajioka, Taku; Yamashita, Youhei",NA,NA,NA,FRONTIERS IN EARTH SCIENCE,MAY 16 2017,2017,5,NA,NA,NA,NA,NA,NA,34,10.3389/feart.2017.00034,NA,NA,27,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linking soils and streams: Response of soil solution chemistry to simulated hurricane disturbance mirrors stream chemistry following a severe hurricane,"McDowell, William H.; Liptzin, Daniel",NA,NA,NA,FOREST ECOLOGY AND MANAGEMENT,NOV 15 2014,2014,332,NA,NA,NA,NA,56,63,NA,10.1016/j.foreco.2014.06.001,NA,NA,27,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Effects of prescribed fire in mixed oak forests of the southern Appalachians: forest floor, soil, and soil solution nitrogen responses","Knoepp, Jennifer D.; Elliott, Katherine J.; Clinton, Barton D.; Vose, James M.",NA,NA,NA,JOURNAL OF THE TORREY BOTANICAL SOCIETY,JUL-SEP 2009,2009,136,3,NA,NA,NA,380,391,NA,10.3159/08-RA-052.1,NA,NA,27,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Initial effects of prescribed fire on quality of soil solution and streamwater in the southern Appalachian mountains,"Elliott, KJ; Vose, JM",NA,NA,NA,SOUTHERN JOURNAL OF APPLIED FORESTRY,FEB 2005,2005,29,1,NA,NA,NA,5,15,NA,10.1093/sjaf/29.1.5,NA,NA,27,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Two years of post-wildfire impacts on dissolved organic matter, nitrogen, and precursors of disinfection by-products in California stream waters","Uzun, Habibullah; Dahlgren, Randy A.; Olivares, Christopher; Erdem, Cagri Utku; Karanfil, Tanju; Chow, Alex T.",NA,NA,NA,WATER RESEARCH,AUG 15 2020,2020,181,NA,NA,NA,NA,NA,NA,115891,10.1016/j.watres.2020.115891,NA,NA,26,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Permafrost and fire as regulators of stream chemistry in basins of the Central Siberian Plateau,"Parham, Lucy M.; Prokushkin, Anatoly S.; Pokrovsky, Oleg. S.; Titov, Sergey V.; Grekova, Ekaterina; Shirokova, Liudmila S.; McDowell, William H.",NA,NA,NA,BIOGEOCHEMISTRY,DEC 2013,2013,116,1-3,NA,NA,NA,55,68,NA,10.1007/s10533-013-9922-5,NA,NA,26,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rotational vegetation burning effects on peatland stream ecosystems,"Ramchunder, Sorain J.; Brown, Lee E.; Holden, Joseph",NA,NA,NA,JOURNAL OF APPLIED ECOLOGY,JUN 2013,2013,50,3,NA,NA,NA,636,648,NA,10.1111/1365-2664.12082,NA,NA,26,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Water quality response to the Angora Fire, Lake Tahoe, California","Oliver, Allison A.; Reuter, John E.; Heyvaert, Alan C.; Dahlgren, Randy A.",NA,NA,NA,BIOGEOCHEMISTRY,NOV 2012,2012,111,1-3,NA,NA,NA,361,376,NA,10.1007/s10533-011-9657-0,NA,NA,26,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solid phase extraction method for the study of black carbon cycling in dissolved organic carbon using radiocarbon,"Coppola, Alysha I.; Walker, Brett D.; Druffel, Ellen R. M.",NA,NA,NA,MARINE CHEMISTRY,DEC 20 2015,2015,177,NA,5,NA,NA,697,705,NA,10.1016/j.marchem.2015.10.010,NA,NA,25,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrestrial pyrogenic carbon export to fluvial ecosystems: Lessons learned from the White Nile watershed of East Africa,"Gueerena, David T.; Lehmann, Johannes; Walter, Todd; Enders, Akio; Neufeldt, Henry; Odiwour, Holiance; Biwott, Henry; Recha, John; Shepherd, Keith; Barrios, Edmundo; Wurster, Chris",NA,NA,NA,GLOBAL BIOGEOCHEMICAL CYCLES,NOV 2015,2015,29,11,NA,NA,NA,1911,1928,NA,10.1002/2015GB005095,NA,NA,25,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minimum ignition energy for micro and nano flash powders,"Azhagurajan, A.; Selvakumar, N.; Yasin, M. Mohammed",NA,NA,NA,PROCESS SAFETY PROGRESS,MAR 2012,2012,31,1,NA,NA,NA,19,23,NA,10.1002/prs.10503,NA,NA,25,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simulation of DOM fluxes in a seasonal floodplain of the Okavango Delta, Botswana","Mladenov, N.; McKnight, D. M.; Wolski, P.; Murray-Hudson, M.",NA,NA,NA,ECOLOGICAL MODELLING,JUL 10 2007,2007,205,1-2,NA,NA,NA,181,195,NA,10.1016/j.ecolmodel.2007.02.015,NA,NA,25,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Controls over pathways of carbon efflux from soils along climate and black spruce productivity gradients in interior Alaska,"Kane, E. S.; Valentine, D. W.; Michaelson, G. J.; Fox, J. D.; Ping, C-L.",NA,NA,NA,SOIL BIOLOGY & BIOCHEMISTRY,JUN 2006,2006,38,6,NA,NA,NA,1438,1450,NA,10.1016/j.soilbio.2005.11.004,NA,NA,25,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evaluating the factors responsible for post-fire water quality response in forests of the western USA,"Rust, Ashley J.; Saxe, Samuel; McCray, John; Rhoades, Charles C.; Hogue, Terri S.",NA,NA,NA,INTERNATIONAL JOURNAL OF WILDLAND FIRE,2019,2019,28,10,NA,NA,SI,769,784,NA,10.1071/WF18191,NA,NA,24,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIRE AND THE CHEMISTRY OF A SOUTH-AFRICAN MOUNTAIN STREAM,"BRITTON, DL",NA,NA,NA,HYDROBIOLOGIA,JUL 19 1991,1991,218,3,NA,NA,NA,177,192,NA,10.1007/BF00038834,NA,NA,24,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Projecting impacts of wildfire and climate change on streamflow, sediment, and organic carbon yields in a forested watershed","Loiselle, Danielle; Du, Xinzhong; Alessi, Daniel S.; Bladon, Kevin D.; Faramarzi, Monireh",NA,NA,NA,JOURNAL OF HYDROLOGY,NOV 2020,2020,590,NA,NA,NA,NA,NA,NA,125403,10.1016/j.jhydrol.2020.125403,NA,NA,23,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fire effects on gross inorganic N transformation in riparian soils in coniferous forests of central Idaho, USA: wildfires v. prescribed fires","Koyama, Akihiro; Stephan, Kirsten; Kavanagh, Kathleen L.",NA,NA,NA,INTERNATIONAL JOURNAL OF WILDLAND FIRE,2012,2012,21,1,NA,NA,NA,69,78,NA,10.1071/WF10132,NA,NA,23,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assessing the adequacy of SWAT model to simulate postfire effects on the watershed hydrological regime and water quality,"Basso, Marta; Vieira, Diana C. S.; Ramos, Tiago B.; Mateus, Marcos",NA,NA,NA,LAND DEGRADATION & DEVELOPMENT,MAR 2020,2020,31,5,NA,NA,NA,619,631,NA,10.1002/ldr.3476,NA,NA,22,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A Decade of Streamwater Nitrogen and Forest Dynamics after a Mountain Pine Beetle Outbreak at the Fraser Experimental Forest, Colorado","Rhoades, Charles C.; Hubbard, Robert M.; Elder, Kelly",NA,NA,NA,ECOSYSTEMS,MAR 2017,2017,20,2,NA,NA,NA,380,392,NA,10.1007/s10021-016-0027-6,NA,NA,22,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stormwater and Fire as Sources of Black Carbon Nanoparticles to Lake Tahoe,"Bisiaux, Marion M.; Edwards, Ross; Heyvaert, Alan C.; Thomas, James M.; Fitzgerald, Brian; Susfalk, Richard B.; Schladow, S. Geoffrey; Thaw, Melissa",NA,NA,NA,ENVIRONMENTAL SCIENCE & TECHNOLOGY,MAR 15 2011,2011,45,6,NA,NA,NA,2065,2071,NA,10.1021/es103819v,NA,NA,22,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHORT-TERM EFFECTS OF WILDFIRE ON MONTANE STREAM ECOSYSTEMS IN THE SOUTHERN ROCKY MOUNTAINS: ONE AND TWO YEARS POST-BURN,"Hall, Sharon J.; Lombardozzi, Danica",NA,NA,NA,WESTERN NORTH AMERICAN NATURALIST,DEC 2008,2008,68,4,NA,NA,NA,453,462,NA,10.3398/1527-0904-68.4.453,NA,NA,22,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physical and chemical limnology of northern boreal lakes, Wood Buffalo National Park, northern Alberta and the Northwest Territories, Canada","Moser, KA; Smol, JP; Lean, DRS; MacDonald, GM",NA,NA,NA,HYDROBIOLOGIA,1998,1998,377,NA,NA,NA,NA,25,43,NA,10.1023/A:1003225527053,NA,NA,22,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water treatment process evaluation of wildfire-affected sediment leachates,"Hohner, Amanda K.; Terry, Leigh G.; Townsend, Eli B.; Summers, R. Scott; Rosario-Ortiz, Fernando L.",NA,NA,NA,ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY,MAR 1 2017,2017,3,2,NA,NA,NA,352,365,NA,10.1039/c6ew00247a,NA,NA,21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impacts of wildfire and salvage harvesting on water quality and nutrient exports from radiata pine and eucalypt forest catchments in south-eastern Australia,"Smith, Hugh G.; Hopmans, Peter; Sheridan, Gary J.; Lane, Patrick N. J.; Noske, Philip J.; Bren, Leon J.",NA,NA,NA,FOREST ECOLOGY AND MANAGEMENT,JAN 1 2012,2012,263,NA,NA,NA,NA,160,169,NA,10.1016/j.foreco.2011.09.002,NA,NA,20,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluvial CO2 and CH4 patterns across wildfire-disturbed ecozones of subarctic Canada: Current status and implications for future change,"Hutchins, Ryan H. S.; Tank, Suzanne E.; Olefeldt, David; Quinton, William L.; Spence, Christopher; Dion, Nicole; Estop-Aragones, Cristian; Mengistu, Samson G.",NA,NA,NA,GLOBAL CHANGE BIOLOGY,APR 2020,2020,26,4,NA,NA,NA,2304,2319,NA,10.1111/gcb.14960,NA,NA,19,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fire severity, time since fire, and site- eve characteristics influence streamwater chemistry at baseflow conditions in catchments of the Sierra Nevada, California, USA","Santos, Fernanda; Wymore, Adam S.; Jackson, Breeanne K.; Sullivan, S. Mazeika P.; McDowell, William H.; Berne, Asmeret Asefaw",NA,NA,NA,FIRE ECOLOGY,MAR 14 2019,2019,15,NA,NA,NA,NA,NA,NA,3,10.1186/s42408-018-0022-8,NA,NA,19,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Water quality of two streams near Yellowstone Park, Wyoming, following the 1988 Clover-Mist wildfire","Gerla, PJ; Galloway, JM",NA,NA,NA,ENVIRONMENTAL GEOLOGY,NOV 1998,1998,36,1-2,NA,NA,NA,127,136,NA,10.1007/s002540050328,NA,NA,19,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tundra wildfire triggers sustained lateral nutrient loss in Alaskan Arctic,"Abbott, Benjamin W.; Rocha, Adrian V.; Shogren, Arial; Zarnetske, Jay P.; Iannucci, Frances; Bowden, William B.; Bratsman, Samuel P.; Patch, Leika; Watts, Rachel; Fulweber, Randy; Frei, Rebecca J.; Huebner, Amanda M.; Ludwig, Sarah M.; Carling, Gregory T.; O'Donnell, Jonathan A.",NA,NA,NA,GLOBAL CHANGE BIOLOGY,APR 2021,2021,27,7,NA,NA,NA,1408,1430,NA,10.1111/gcb.15507,NA,NA,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assessing inter-annual and seasonal patterns of DOC and DOM quality across a complex alpine watershed underlain by discontinuous permafrost in Yukon, Canada","Shatilla, Nadine J.; Carey, Sean K.",NA,NA,NA,HYDROLOGY AND EARTH SYSTEM SCIENCES,SEP 4 2019,2019,23,9,NA,NA,NA,3571,3591,NA,10.5194/hess-23-3571-2019,NA,NA,18,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Short-term nitrogen losses by overland flow in a recently burnt forest area in north-central Portugal: A study at micro-plot scale,"Ferreira, R. V.; Serpa, D.; Machado, A. I.; Rodriguez-Blanco, M. L.; Santos, L. F.; Taboada-Castro, M. T.; Cerqueira, M. A.; Keizer, J. J.",NA,NA,NA,SCIENCE OF THE TOTAL ENVIRONMENT,DEC 1 2016,2016,572,NA,NA,NA,NA,1281,1288,NA,10.1016/j.scitotenv.2015.12.042,NA,NA,18,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Major losses of nutrients following a severe drought in a boreal forest,"Houle, Daniel; Lajoie, Genevieve; Duchesne, Louis",NA,NA,NA,NATURE PLANTS,DEC 2016,2016,2,12,NA,NA,NA,NA,NA,16187,10.1038/NPLANTS.2016.187,NA,NA,18,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combined effects of anthropogenic fires and land-use change on soil properties and processes in Patagonia, Chile","Fajardo, Alex; Gundale, Michael J.",NA,NA,NA,FOREST ECOLOGY AND MANAGEMENT,DEC 1 2015,2015,357,NA,NA,NA,NA,60,67,NA,10.1016/j.foreco.2015.08.012,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comparing the Influence of Wildfire and Prescribed Burns on Watershed Nitrogen Biogeochemistry Using N-15 Natural Abundance in Terrestrial and Aquatic Ecosystem Components,"Stephan, Kirsten; Kavanagh, Kathleen L.; Koyama, Akihiro",NA,NA,NA,PLOS ONE,APR 17 2015,2015,10,4,NA,NA,NA,NA,NA,e0119560,10.1371/journal.pone.0119560,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Interactive Effects of N Deposition, Land Management and Weather Patterns on Soil Solution Chemistry in a Scottish Alpine Heath","Helliwell, R. C.; Britton, A. J.; Gibbs, S.; Fisher, J. M.; Potts, J. M.",NA,NA,NA,ECOSYSTEMS,AUG 2010,2010,13,5,NA,NA,NA,696,711,NA,10.1007/s10021-010-9348-z,NA,NA,18,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impact of Peat Fire on the Soil and Export of Dissolved Organic Carbon in Tropical Peat Soil, Central Kalimantan, Indonesia","Sazawa, Kazuto; Wakimoto, Takatoshi; Fukushima, Masami; Yustiawati, Yustiawati; Syawal, M. Suhaemi; Hata, Noriko; Taguchi, Shigeru; Tanaka, Shunitz; Tanaka, Daisuke; Kuramitz, Hideki",NA,NA,NA,ACS EARTH AND SPACE CHEMISTRY,JUL 2018,2018,2,7,NA,NA,NA,692,701,NA,10.1021/acsearthspacechem.8b00018,NA,NA,17,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source and Fate of Dissolved Black Carbon in the Western South China Sea During the Southwest Monsoon Prevailing Season,"Fang, Ziming; Yang, Weifeng; Chen, Min; Ma, Haoyang",NA,NA,NA,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,NOV 2017,2017,122,11,NA,NA,NA,2817,2830,NA,10.1002/2017JG004014,NA,NA,17,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Response of Dissolved Carbon and Nitrogen Concentrations to Moderate Nutrient Additions in a Tropical Montane Forest of South Ecuador,"Velescu, Andre; Valarezo, Carlos; Wilcke, Wolfgang",NA,NA,NA,FRONTIERS IN EARTH SCIENCE,MAY 23 2016,2016,4,NA,NA,NA,NA,NA,NA,58,10.3389/feart.2016.00058,NA,NA,17,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Effects of spring prescribed burning and wildfires on watershed nitrogen dynamics of central Idaho headwater areas,"Stephan, Kirsten; Kavanagh, Kathleen L.; Koyama, Akihiro",NA,NA,NA,FOREST ECOLOGY AND MANAGEMENT,JAN 1 2012,2012,263,NA,NA,NA,NA,240,252,NA,10.1016/j.foreco.2011.09.013,NA,NA,17,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
