Sample number,Location,Collection Date/Time (MDT),Water level (m),Discharge method,Q (m3/s),SC (uS/cm),pH (lab),pH (field),T (field),Ca (mg/L),K (mg/L),Mg (mg/L),Na (mg/L),SiO2 (mg/L),Cl (mg/L),SO4 (mg/L),Alkalinity (mg HCO3/L),NO3 (mg NO3/L),NH4 (mg NH4/L),DOC (mg/L),SUVA (L/mg/m),TSS (mg/L)
12FS186,DS2,7/16/12 21:28,--,U,0.24,211,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,341
12FS187,DS2,7/16/12 21:48,--,U,0.25,200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,364
12FS188,DS2,7/16/12 22:08,--,U,0.24,199,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,516
12FS189,DS2,7/16/12 22:28,--,U,0.27,197,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,399
12FS190,DS2,7/16/12 22:48,--,U,0.34,195,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,341
12FS191,DS2,7/16/12 23:08,--,U,0.28,194,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,306
12FS192,DS2,7/16/12 23:28,--,U,0.31,190,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,283
12FS193,DS2,7/16/12 23:48,--,U,0.34,194,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,259
12FS194,DS2,7/17/12 0:08,--,U,0.37,193,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,248
12FS195,DS2,7/17/12 0:28,--,U,0.42,187,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,248
12FS196,DS2,7/17/12 0:48,--,U,0.4,188,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,248
12FW265,DS2,7/17/12 1:08,--,U,0.37,180,--,7.78,--,16.8,1.3,6.98,5.42,12.4,8.06,32.4,46.9,0.44,<0.05,3.34,2.28,93
12FS197,DS2,7/17/12 1:08,--,U,0.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW259,DS2,7/18/12 11:30,--,U,0.17,207,--,8.19,15.8,19.2,1.38,7.62,5.99,13,7.9,39.6,52,0.42,<0.05,2.83,2.07,20
12FW272,DS2,7/25/12 14:25,--,U,0.12,215,--,8.09,18.8,20,1.51,7.87,6.5,13.2,7.61,39.5,56.3,0.11,<0.05,2.53,2.23,10
12FS198,DS2,7/30/12 15:45,--,U,0.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW275,DS2,7/30/12 16:05,--,U,3.1,649,--,--,--,75.8,10.1,24.2,13,7.95,65.2,138,76.3,6.28,0.36,15,3.11,"76,280"
12FS199,DS2,7/30/12 16:05,--,U,3.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW276,DS2,7/30/12 20:25,--,U,0.079,280,--,--,--,28.2,4.28,9.82,7.59,11,19,54.4,58.1,2.26,0.08,7.5,2.46,"8,737"
12FS201,DS2,7/30/12 20:25,--,U,0.079,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS202,DS2,7/30/12 20:45,--,U,0.057,278,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,114"
12FS203,DS2,7/30/12 21:05,--,U,0.042,280,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,339"
12FS204,DS2,7/30/12 21:25,--,U,0.042,267,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,860"
12FS205,DS2,7/30/12 21:45,--,U,0.051,260,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,973"
12FS206,DS2,7/30/12 22:05,--,U,0.093,254,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,268"
12FS207,DS2,7/30/12 22:25,--,U,0.13,229,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,973"
12FS208,DS2,7/30/12 22:45,--,U,0.13,219,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,973"
12FS209,DS2,7/30/12 23:05,--,U,0.13,211,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,529"
12FW277,DS2,7/30/12 23:25,--,U,0.13,192,--,--,--,19.4,2.49,7.01,5.87,11.7,9.75,35.4,51.4,0.58,<0.05,3.63,2.59,"2,208"
12FS210,DS2,7/30/12 23:25,--,U,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW283,DS2,7/31/12 10:03,--,U,0.079,227,--,8.02,15.3,21,2.01,8.13,6.44,12.6,8.65,43.6,56.6,0.38,0.05,3.42,2.65,248
12FW290,DS2,8/15/12 9:25,--,U,0.009,311,--,8.07,13.9,31.6,2,12.5,8.67,14.1,11.8,74.2,76.6,0.19,0.06,2.02,2.12,8
12FW296,DS2,9/20/12 9:55,--,U,0.017,399,--,8.29,10.8,41.2,2.56,16.7,11.8,13.7,14.6,104,94.7,<0.02,0.05,1.78,2.01,<6
12FW301,DS2,11/1/12 10:30,--,E,0.028,356,--,7.96,5.4,36.8,2.2,15.1,10.4,13.8,11.1005,72.2,84.8,0.187,<0.05,1.65,1.68,<6
13FW004,DS2,1/24/13 11:38,--,E,0.014,392,--,7.46,1,41.5,2.2,16.8,12.9,12.3,16.3,109,78.8,0.75,<0.03,1.15,1.88,<6
13FW010,DS2,3/21/13 12:45,--,E,0.019,405,--,7.76,5.1,40.1,2.13,16.4,12.9,11.7,17.5,107,69.3,0.72,<0.03,1.19,1.65,<6
13FW016,DS2,4/8/13 13:45,--,U,0.13,347,--,7.7,7.5,34.8,2.12,14.1,10.9,12.1,16.1,91.3,61.3,0.99,<0.03,1.69,1.82,10
13FW022,DS2,4/22/13 13:58,--,U,0.4,349,--,7.52,2.1,36.7,2.28,14.5,9.86,13.5,17.1,91.6,55.4,4.97,<0.03,3.28,2.1,437
13FW028,DS2,4/29/13 14:00,--,U,0.59,260,--,8.24,8.4,25,1.94,10.4,7.63,13.8,13.7,57.4,45.7,3.63,<0.03,4.98,2.34,152
13FW038,DS2,5/6/13 11:14,--,U,0.74,245,--,7.95,6.1,23,1.8,9.49,6.84,13.9,12.7,51.6,46.5,3.48,<0.03,4.91,2.35,42
13FW044,DS2,5/10/13 12:00,--,U,2.7,212,--,7.92,7.2,19.8,2.04,7.97,6.85,13.7,9.6,43.2,43.6,3.3,<0.03,7.28,2.54,387
13FW052,DS2,5/15/13 12:19,--,U,1.5,157,--,7.7,9.2,14.6,1.49,6.02,5.47,11.6,7.1,31.2,35.3,1.5,<0.03,5.82,2.61,35
13FW058,DS2,5/22/13 11:50,--,U,0.62,181,--,8.02,8.7,15.9,1.36,6.58,5.55,11.3,6.1,36.6,39.6,1,<0.03,4.08,2.34,11
13FW064,DS2,5/29/13 14:15,--,U,0.68,132.2,--,7.97,9.5,12,1.05,4.96,4.49,9.8,4.3,25.8,34,0.4,<0.03,3.39,2.34,11
13FW070,DS2,6/5/13 12:30,--,U,0.42,163,--,7.98,7.7,14.7,1.18,6.16,5.09,10.3,4.6,32.9,41,0.3,<0.03,2.83,2.23,7
13FW076,DS2,6/11/13 13:10,--,U,0.37,131.8,--,7.97,13.4,11.9,0.989,4.98,4.28,9.2,3.2,26,36.6,0.1,<0.03,2.19,2.48,<6
13FW082,DS2,6/19/13 13:10,--,U,0.23,163.2,--,8.04,14,15.3,1.15,6.36,5.13,10.2,3.8,33.9,43.3,<0.03,<0.03,1.98,2.08,7
13FW088,DS2,6/26/13 13:10,--,U,0.13,204,--,8.12,15.6,19.2,1.41,8.02,6.33,10.9,4.7,44.7,52.5,<0.03,<0.03,1.93,2.04,<6
13FW094,DS2,7/1/13 9:25,--,U,0.11,242,--,8.09,12,22.5,1.55,9.34,7.28,11.6,5.5,53,60.1,0.1,<0.03,1.93,2.03,<6
13FW100,DS2,7/8/13 11:53,--,U,0.068,272,8.21,--,16.6,26.5,1.82,10.8,7.17,11.7,6.8,61.6,69.1,0.19,<0.03,1.99,1.81,<6
13FW108,DS2,7/13/13 10:22,--,U,0.082,243,--,8.21,20.7,25.1,1.77,10.3,6.77,12.1,7.6,57.9,67,0.32,<0.03,2.12,2.04,17
13FW115,DS2,7/14/13 23:49,--,U,0.18,286,--,8,21.4,26.1,1.83,10.7,7.06,12.2,7.4,64,69.9,0.37,0.03,2.14,2.06,163
13FS046,DS2,7/14/13 23:52,--,U,0.21,286,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,114
13FS047,DS2,7/15/13 0:00,--,U,0.22,291,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,145
13FS048,DS2,7/15/13 0:10,--,U,0.22,323,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,144
13FS049,DS2,7/15/13 0:30,--,U,0.22,564,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"13,908"
13FW116,DS2,7/15/13 0:32,--,U,0.21,524,--,7.84,21.4,50.7,3.39,19.9,18,9.99,60,115,70.4,1.7,0.06,4.79,2.19,"7,853"
13FS050,DS2,7/15/13 0:50,--,U,0.19,366,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"15,742"
13FS051,DS2,7/15/13 1:10,--,U,0.18,343,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"11,083"
13FS052,DS2,7/15/13 1:30,--,U,0.17,330,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"7,201"
13FS053,DS2,7/15/13 1:50,--,U,0.16,321,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,892"
13FS054,DS2,7/15/13 2:10,--,U,0.17,297,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,629"
13FS055,DS2,7/15/13 2:30,--,U,0.2,288,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,476"
13FS056,DS2,7/15/13 2:50,--,U,0.22,263,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,365"
13FW129,DS2,7/19/13 12:20,--,U,0.13,278,--,7.99,16.3,28.5,2.1,11.5,7.56,14.8,8.35,62.2,67,0.31,<0.03,2.4,1.98,25
13FS109,DS2,7/25/13 14:28,--,U,0.28,268,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,577"
13FW134,DS2,7/25/13 14:37,--,U,0.4,240,--,7.68,22.3,27.8,4.69,8.98,6.73,8.1,8.63,57.1,55.7,3.79,0.04,9.21,2.55,"4,856"
13FS110,DS2,7/25/13 14:47,--,U,0.28,259,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,904"
13FS111,DS2,7/25/13 14:57,--,U,0.27,246,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,092"
13FS112,DS2,7/25/13 15:07,--,U,0.22,248,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,579"
13FS113,DS2,7/25/13 15:17,--,U,0.2,238,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,830"
13FW135,DS2,7/25/13 15:19,--,U,0.2,252,--,7.42,22.3,27,3.52,9.36,6.62,10.2,7.61,46.9,68.4,2.28,0.05,7.11,2.66,"2,209"
13FS114,DS2,7/25/13 15:37,--,U,0.18,340,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,268"
13FW143,DS2,8/7/13 13:20,--,U,0.059,358,8.43,--,14,38.1,2.71,14.4,9.87,15.2,10.07,90,83.1,0.15,<0.03,1.9,2.04,<6
13FW153,DS2,8/21/13 11:23,--,U,0.045,372,--,8.23,15.6,39.7,2.85,15.1,10.8,15.1,11.36,90.8,87.5,0.14,<0.03,1.97,1.83,7
13FW163,DS2,9/19/13 11:30,--,E,2.5,282,--,8.02,10.7,28.7,2.8,11.5,6.94,15,6.3,63.8,62.6,1.39,0.03,5.9,2.44,75
13FW169,DS2,9/26/13 8:05,--,E,0.85,417,--,7.89,8.6,42.5,3.2,16.8,11.3,15.8,15.5,81.4,107,1.2,0.04,4.6,2.23,15
13FW175,DS2,10/17/13 12:00,--,E,0.25,388,--,8.13,6.4,40.8,2.9,16.3,9.15,14.1,7.8,91.4,92,0.52,0.04,3,2.03,65
13FW184,DS2,11/6/13 13:43,--,E,0.14,428,--,7.95,3.7,45.6,3.1,18,10.1,13.5,8.4,106.7,104,0.27,<0.03,2.7,1.62,39
13FW195,DS2,12/16/13 13:40,--,M,0.059,397,--,7.93,1.6,41.2,2.91,17.2,9.49,12.7,7.15,107,94.1,0.57,<0.03,2.1,1.65,9
14FW004,DS2,2/27/14 12:45,--,M,0.09,385,--,8.15,0.6,39.3,2.61,16.6,9.29,11.7,9.23,108,82,0.82,--,1.7,1.76,8
14FW010,DS2,4/11/14 14:00,--,E,0.31,237,--,8.21,7.9,21,1.86,8.95,6.49,11.3,8.31,45.5,61,0.77,<0.04,2.7,1.88,129
14FW016,DS2,4/21/14 15:10,--,E,0.96,149,--,8.02,7.5,13.9,1.45,5.64,4.92,11.2,6.03,23.4,44,0.61,<0.04,4.6,2.4,101
14FW022,DS2,5/1/14 13:05,--,E,0.51,154,--,8.06,6.2,14.5,1.39,5.57,4.74,11.2,4.61,25.7,46,0.46,<0.04,3.5,2.27,19
14FW028,DS2,5/14/14 11:50,--,E,0.54,176.3,--,8.33,5,16.4,1.52,6.72,5.09,11.2,5.38,31.1,49,0.6,<0.04,3.1,2.37,18
14FW034,DS2,5/23/14 12:50,--,E,1.3,120.5,--,8.1,9.8,11.1,1.2,4.44,3.8,10.6,3.24,19.1,38,0.37,<0.04,4,2.41,19
14FW040,DS2,5/29/14 15:00,--,E,1.78,125.1,--,8.05,10.6,11.7,1.31,4.68,3.8,10.9,2.94,20,40,0.47,<0.04,3.8,2.53,77
14FW050,DS2,6/12/14 13:18,--,M,0.65,137,--,8.18,10.9,13.2,1.28,5.17,3.81,10.4,2.64,23.3,44,0.26,<0.04,2.3,2.44,8
14FW056,DS2,6/20/14 14:06,--,E,0.45,155.7,--,8.1,14.7,14.5,1.43,5.9,4.13,10.5,2.73,26.5,48,0.15,<0.04,1.8,2.61,6
14FW062,DS2,7/3/14 11:30,--,M,0.24,180.1,--,8.31,15,16.9,1.63,6.89,4.54,11,2.65,29.9,57,0.18,<0.04,1.7,2.5,<6
14FW068,DS2,7/16/14 14:21,--,M,0.13,283,--,8.35,16,27,2.48,10.8,6.56,13.1,5.26,50.4,82,0.2,<0.04,2.1,2.3,7
14FW076,DS2,7/29/14 13:38,--,M,0.07,326,--,8.45,17,35,3.06,13.4,7.9,13.8,5.81,64,102,0.14,<0.04,2.3,2.12,<6
14FW082,DS2,7/30/14 10:40,--,E,0.34,308,--,8.02,16.4,30.9,2.99,13,7.4,11.9,16.2,55.1,81,0.62,<0.04,2.7,2.27,210
14FW099,DS2,8/19/14 10:00,--,M,0.06,369,--,8.13,14.3,39.9,3.21,15.2,8.82,14.2,8.29,76.5,112,0.12,<0.04,2.19,1.78,<6
14FW105,DS2,9/10/14 13:16,--,E,0.07,390,--,8.31,14.5,46,3.62,17.3,9.32,13.3,8.97,98.1,115,<0.03,<0.04,2.2,1.77,<6
14FW111,DS2,10/1/14 14:28,--,E,0.04,399,--,8.17,11.3,45.8,3.66,18,9.69,12.9,8.66,84.9,120,<0.03,<0.04,2.12,1.83,<6
14FW117,DS2,11/20/14 14:30,--,M,0.05,354,--,8.13,2.6,40.9,2.87,15.7,9.01,12.1,8.04,83.7,105,0.25,<0.04,1.7,1.71,<6
15FW004,DS2,1/30/15 12:13,--,E,0.04,363,--,8.29,2.5,38.7,2.65,15.2,9.35,11.6,8.58,91.4,89,0.76,<0.04,1.369,1.77,<6
15FW010,DS2,4/10/15 12:12,--,E,0.17,238,--,7.96,6.9,22.5,1.85,9.23,6.79,11.4,9.39,45.5,63.6,0.6,<0.04,2.12,1.91,7
15FW014,DS2,5/1/15 11:40,--,M,1.388,182,--,7.9,7.2,17.2,1.62,7.01,5.3,12.8,6.67,31.8,51.4,1.1,<0.04,4.32,2.6,30
15FW025,DS2,5/29/15 11:26,--,E,1.728,198,--,7.86,8.6,19.4,1.72,7.95,5.23,13.3,4.21,38.9,58.8,0.76,<0.04,4.127,2.36,11
15FW044,DS2,7/21/15 13:45,--,M,0.241,228,--,8.11,14.3,22.7,1.81,9.21,5.78,12.4,4.23,43.6,73.7,0.26,<0.04,2.63,2.23,223
15FW053,DS2,8/11/15 12:21,--,E,0.091,323,--,8.16,18.9,36.2,3.18,14,7.99,13.9,5,71.4,102,0.2,<0.04,2.07,2.23,<6
15FW059,DS2,9/1/15 14:20,--,E,0.042,377,--,8.19,18.4,39.1,3.24,15.6,8.91,11.7,6.6,89.4,115,0.11,<0.04,2.09,1.97,<6
15FW063,DS2,9/17/15 13:56,--,E,0.028,406,--,8.38,15.5,43.8,3.49,17.6,9.45,12.2,7,101,122,<0.03,<0.04,2.14,1.78,<6
15FW068,DS2,10/13/15 15:33,--,E,0.04,405,--,8.22,13,42,3.31,16.7,9.35,12.8,7,97.9,117,0.09,<0.04,2.06,1.83,<6
15FW074,DS2,11/3/15 13:25,--,E,0.034,367,--,8.44,7.9,39.3,2.94,16.2,9.44,12,8.7,93.7,106,0.11,<0.04,1.72,1.64,<6
11FW103,DS3,1/5/11 14:00,--,E,0.014,403,--,7.73,0.5,40.4,2.11,16.1,15.8,12.2,19.2,90.7,99,<0.02,--,0.9,3.17,--
11FW107,DS3,2/7/11 12:10,--,E,0.018,401,--,7.62,0.9,41.8,2.19,16.7,15.7,12,19.7,99.6,96.9,<0.02,--,1.9,--,--
11FW123,DS3,3/1/11 14:12,--,M,0.026,441,--,8.11,6,40.9,2.12,16.2,16.5,10.7,23.4,97.7,89.9,0.07,<0.09,1.7,1.62,--
11FW133,DS3,3/4/11 11:30,0.155,R,0.037,407,--,7.81,1.3,39.5,2.08,16,16.1,10.5,22,94.9,87.8,<0.02,<0.09,1.7,1.68,--
11FW124,DS3,3/7/11 12:30,0.155,R,0.037,408,--,8.18,0.1,40.4,2.09,16.3,16.4,10.5,22.7,98.4,89.4,0.07,<0.09,1.7,1.56,--
11FW115,DS3,3/9/11 12:08,--,E,0.031,412,--,7.98,0.6,41,2.12,16.3,16.4,10.7,22.8,99,90.5,<0.02,<0.09,1.7,1.55,--
11FW138,DS3,3/11/11 10:50,0.149,R,0.031,421,--,7.73,4.1,40.6,2.17,16.4,16.7,10.3,23,97.6,89.4,0.05,<0.09,1.7,1.73,--
11FW143,DS3,3/14/11 13:27,0.152,R,0.034,409,--,7.84,4,38.8,2.11,16,16.1,10.1,21.5,93.7,88.1,<0.02,<0.09,1.7,1.73,--
11FW150,DS3,3/16/11 11:54,0.149,R,0.031,402,--,7.87,3.7,38.6,2.09,15.4,15.9,10.1,21.1,93.6,83.3,0.03,<0.09,1.6,1.78,--
11FW156,DS3,3/18/11 12:48,0.162,R,0.044,399,--,7.81,7.9,36.3,2.07,14.5,15.1,9.76,19.2,87,82.7,0.05,<0.09,1.8,1.86,--
11FW161,DS3,3/21/11 12:14,--,M,0.054,369,--,7.67,7.3,34.4,1.96,13.8,14.3,9.85,18.1,84,80.1,0.07,<0.09,1.6,1.78,--
11FW171,DS3,3/24/11 11:15,0.165,R,0.047,359,--,7.83,3.5,34.3,1.94,13.5,14.3,10,17.8,82.8,79.5,0.04,<0.09,1.7,1.73,--
11FW177,DS3,3/28/11 11:11,0.158,R,0.04,369,--,7.9,4.3,34.9,1.99,13.7,14.6,10,18.9,84.9,80.5,0.05,<0.09,1.6,1.53,--
11FW183,DS3,3/31/11 10:50,0.155,R,0.037,382,--,7.81,6.4,35.6,2.05,14.1,15.1,10,19.3,86.4,83.1,0.04,<0.09,1.8,1.74,--
11FW189,DS3,4/4/11 12:38,--,U,0.059,340,--,7.78,6.3,30.9,1.93,12.3,13.5,10.1,16.8,75.8,72.9,<0.02,<0.09,1.9,1.55,--
11FW194,DS3,4/7/11 11:10,--,U,0.059,329,--,7.52,6.4,29.8,1.88,12.1,12.9,10.1,16.2,73.8,72.2,<0.02,<0.09,1.9,1.54,--
11FW201,DS3,4/11/11 9:10,--,U,0.065,297,--,7.56,2.3,27.2,1.71,10.9,11.8,9.9,14.6,65.3,68,<0.02,<0.09,1.8,1.58,--
11FW209,DS3,4/14/11 9:30,--,U,0.099,286,--,7.45,1.8,25.6,1.91,10.5,11.5,9.48,18.2,59.5,61.6,0.1,<0.09,2.4,2.04,9
11FW238,DS3,4/18/11 11:22,--,U,0.057,260,--,7.16,10.2,22.8,1.57,9.53,9.96,10,14.3,50.9,57.5,0.19,<0.09,2.1,1.83,--
11FW244,DS3,4/21/11 11:00,--,U,0.17,212,--,--,--,18.1,1.41,7.66,8.16,9.87,13,37.7,47.5,0.06,<0.09,2.5,2.16,17
11FW250,DS3,4/25/11 9:00,--,U,0.17,205,--,7.73,4.2,18.2,1.36,7.82,8.26,10,14,37,45.4,<0.02,<0.09,2.4,2.1,10
11FW257,DS3,4/28/11 13:20,--,U,0.14,203,--,8.17,9.7,18.2,1.29,7.67,8.13,10,13.6,36.9,46.8,<0.02,<0.09,2.4,2.04,<6
11FW263,DS3,5/2/11 11:15,--,U,0.13,211,--,8.06,5.5,18.7,1.31,7.88,8.25,10.1,13.3,37.6,49,<0.02,<0.09,2.4,1.99,<6
11FW269,DS3,5/9/11 10:21,--,U,0.15,190,--,7.82,10.7,16.6,1.33,6.98,7.47,10,11.2,30.9,47.2,<0.02,<0.09,2.5,2,8
11FW276,DS3,5/11/11 11:50,--,U,0.31,164,--,8.09,5.3,13.2,1.41,5.88,6.86,9.23,11.9,23.4,37.7,0.03,<0.09,4.9,1.68,76
11FW282,DS3,5/12/11 14:18,--,U,0.4,190,--,8.06,5.9,16.1,1.34,7.02,7.61,10.1,12.8,30.6,43,<0.02,<0.09,3,2.41,30
11FW290,DS3,5/13/11 12:40,--,U,0.27,186,--,7.92,9.7,15.5,1.26,6.62,7.2,10.3,11.7,30,41.5,0.04,<0.09,2.9,2.35,11
11FW295,DS3,5/16/11 12:36,--,U,0.31,184,--,7.92,7.6,15.8,1.21,6.79,7.02,10.4,12.5,31.4,42.9,<0.02,<0.09,2.8,2.32,11
11FS105,DS3,5/18/11 13:00,--,U,0.28,186,7.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15
11FS106,DS3,5/18/11 13:30,--,U,0.31,183,7.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30
11FW302,DS3,5/18/11 14:00,--,U,0.31,179,--,7.73,18.4,15.5,1.42,6.59,6.75,10,11.2,30.9,40.7,0.16,<0.09,3.4,2.2,24
11FS107,DS3,5/18/11 14:30,--,U,0.34,180,7.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37
11FW303,DS3,5/18/11 15:00,--,U,0.34,182,--,7.79,18.5,15.5,1.53,6.58,6.75,9.59,11.5,30.1,40.7,0.19,<0.09,3.5,2.37,53
11FS108,DS3,5/18/11 15:30,--,U,0.37,192,7.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,151
11FW304,DS3,5/18/11 16:00,--,U,0.37,189,--,7.79,19.2,17.2,1.6,7.43,7.38,9.9,14.7,31.6,43.5,0.22,<0.09,3.7,2.49,172
11FS109,DS3,5/18/11 16:30,--,U,0.4,206,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,391
11FS110,DS3,5/18/11 17:00,--,U,0.4,186,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,272
11FW324,DS3,5/18/11 17:30,--,U,0.4,205,--,--,--,17.5,1.63,7.63,7.84,9.51,16.6,32.8,45.1,0.26,<0.09,4.2,2.11,269
11FS111,DS3,5/18/11 18:00,--,U,0.42,191,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,321
11FS112,DS3,5/18/11 18:30,--,U,0.42,202,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,405
11FW325,DS3,5/18/11 19:00,--,U,0.48,201,--,--,--,18,1.82,7.87,8.17,9.46,17.7,33.9,45.8,0.28,<0.09,4.3,2.17,317
11FS113,DS3,5/18/11 19:30,--,U,0.48,188,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,363
11FS114,DS3,5/18/11 20:00,--,U,0.51,212,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,521
11FS115,DS3,5/18/11 20:30,--,U,0.57,210,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,454
11FW326,DS3,5/18/11 21:00,--,U,0.62,210,--,--,--,18.3,1.99,8.02,8.07,9.6,15.7,36,46.1,0.36,<0.09,5,2.05,422
11FS116,DS3,5/18/11 21:30,--,U,0.65,217,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,459
11FS117,DS3,5/18/11 22:00,--,U,0.71,211,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,421
11FS118,DS3,5/18/11 22:30,--,U,0.79,214,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,400
11FW327,DS3,5/18/11 23:00,--,U,0.82,233,--,--,--,20.2,2.08,8.66,9.16,9.59,17.7,38.3,52.1,0.45,<0.09,5.1,2.34,418
11FS119,DS3,5/18/11 23:30,--,U,0.82,229,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,371
11FS120,DS3,5/19/11 0:00,--,U,0.82,240,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,287
11FS121,DS3,5/19/11 0:30,--,U,0.82,237,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,272
11FS122,DS3,5/19/11 1:00,--,U,0.82,247,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,242
11FW328,DS3,5/19/11 1:30,--,U,0.82,233,--,--,--,21.5,2.03,9.17,9.83,10.1,20,42.1,55.5,0.63,<0.09,5.3,2.3,209
11FS123,DS3,5/19/11 2:00,--,U,0.79,247,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,159
11FS124,DS3,5/19/11 2:30,--,U,0.79,245,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,153
11FS125,DS3,5/19/11 3:00,--,U,0.79,249,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,132
11FS126,DS3,5/19/11 3:30,--,U,0.76,236,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,136
11FW329,DS3,5/19/11 4:00,--,U,0.59,247,--,--,--,22.5,1.92,9.36,9.56,11.2,18.5,45.4,55.1,0.75,<0.09,5.2,2.25,132
11FW337,DS3,5/24/11 14:22,--,U,1,182,--,7.72,7.9,16.3,1.39,6.75,5.79,11.7,9.53,34.1,39.4,0.64,<0.09,4.9,2.44,33
11FW342,DS3,5/27/11 9:15,--,U,0.74,180,--,7.62,7.7,15.9,1.35,6.59,6.04,11.4,9.64,33,40.1,0.37,<0.09,4.3,2.33,13
11FW348,DS3,6/1/11 11:30,--,U,0.59,152,--,8.04,8.9,13.3,1.16,5.46,5.21,10.6,7.42,26.2,36.8,0.22,<0.09,3.7,2.26,11
11FW355,DS3,6/6/11 13:03,--,U,0.74,99,--,7.86,12.3,8.64,0.87,3.46,3.59,9.34,4.01,15,27.2,0.11,<0.09,3.5,2.74,18
11FW363,DS3,6/9/11 11:00,--,U,0.74,88,--,7.62,8.9,7.52,0.78,3.01,3.16,8.87,3.48,13.1,24.3,0.2,<0.09,3.2,2.77,17
11FW369,DS3,6/13/11 13:30,--,U,0.57,90,--,7.91,11.4,7.63,0.73,3.03,3.15,8.85,3.15,12.7,24.6,0.02,<0.09,2.6,2.64,11
11FW379,DS3,6/20/11 3:59,--,U,0.74,120,--,--,--,8.99,1.26,4.98,3.65,7.79,12.2,12.4,26.5,<0.02,<0.09,5,1.9,175
11FS180,DS3,6/20/11 4:19,--,U,0.74,118,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,165
11FS181,DS3,6/20/11 4:39,--,U,0.79,124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,142
