Study_ID,DOI,Design_Control_Burn_Pre_Post,Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Control,Dfb,NW,1974,Unburn,Pre,Mean,,,,,4.787234043,u_eq_L,,,Figure 2c,Pre_post
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Control,Dfb,NW,1975,Unburn,Pre,Mean,,,,,3.191489362,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Control,Dfb,NW,1976,Unburn,Pre,Mean,,,,,3.191489362,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Control,Dfb,NW,1977,Unburn,Pre,Mean,,,,,6.382978723,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Control,Dfb,NW,1978,Unburn,Pre,Mean,,,,,3.191489362,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Control,Dfb,NW,1979,Unburn,Pre,Mean,,,,,3.191489362,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1980,Burn,0,Mean,,,,,7.978723404,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1981,Burn,1,Mean,,,,,20.74468085,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1982,Burn,2,Mean,,,,,6.382978723,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1983,Burn,3,Mean,,,,,4.787234043,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1984,Burn,4,Mean,,,,,4.787234043,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1985,Burn,5,Mean,,,,,4.787234043,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1986,Burn,6,Mean,,,,,4.787234043,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1987,Burn,7,Mean,,,,,4.787234043,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1988,Burn,8,Mean,,,,,4.787234043,u_eq_L,,,,
Bayley et al. 1992_effects,10.1007/BF00004041,Pre_Post,49.667,-93.733,56.4,ha,Site_1,Dfb,NW,1989,Burn,9,Mean,,,,,6.382978723,u_eq_L,,,,
