predictor,raw_fi,analyte,fi,fi100
climate,11.000377547756598,no3,0.1238278168204982,12.38278168204982
totdasqkm,4.1516759472180045,no3,0.046734120393442574,4.6734120393442575
maxelevsmo,12.014255531957746,no3,0.13524072485578645,13.524072485578644
slope,3.8743076138707173,no3,0.04361187163203172,4.361187163203172
tmean9120ws,9.170395158345238,no3,0.10322827620318725,10.322827620318725
om_ws,6.71776535077839,no3,0.07561978792890812,7.561978792890812
bfi_ws,15.658269021795423,no3,0.17626024740872534,17.626024740872534
perm_ws,11.940501827489559,no3,0.13441050242323163,13.441050242323163
burn_percentage,5.1011892021779985,no3,0.057422494759993246,5.742249475999325
mean_dnbr,4.516609133256491,no3,0.050842059372474276,5.084205937247428
time_since_fire,4.690731294848286,no3,0.052802098201721104,5.280209820172111
climate,0.10756933959004483,doc,0.006459287729874687,0.6459287729874686
totdasqkm,2.426490434906722,doc,0.14570508615729943,14.570508615729944
maxelevsmo,2.3986796664418573,doc,0.14403511443312506,14.403511443312505
slope,1.4331415777010914,doc,0.08605680618006341,8.60568061800634
tmean9120ws,2.393895504911714,doc,0.14374783670150407,14.374783670150407
om_ws,0.6472533759657909,doc,0.03886605426257278,3.886605426257278
bfi_ws,1.8732950680519904,doc,0.11248699577051986,11.248699577051987
perm_ws,2.167540757212454,doc,0.13015576251024427,13.015576251024427
burn_percentage,0.6168367700765784,doc,0.037039608084197186,3.7039608084197186
mean_dnbr,2.3003530711753086,doc,0.13813083192338702,13.813083192338702
time_since_fire,0.2883811732107181,doc,0.017316616247212212,1.7316616247212213
