Site,comid,RunoffWs
Site_3,8943613,544.5417
Reference,15032969,304.1241
Payson,10350360,248
Dry_Creek,10329181,237.80790000000002
San_Onofre,17594757,123.97850000000001
Gaviota,17594763,117.1945
Arroyo_Hondo,17594741,127.9431
Rattlesnake,14937281,133.5426
Crow_Creek,12794143,378.22220000000004
Jones_Creek,12794005,379.59340000000003
Red_Bench_Creek,22950879,664
Wally_Creek,22950913,664
Red_Meadow_Creek,22949989,662.4758
Coal_Creek,22950067,661.6415000000001
Logging_Creek,22949389,670.4269
Akokala_Creek,22949619,664
Bowman_Creek,22949571,670.8577
Quartz_Creek,22949475,666.995
Trout_Creek,8944501,536.5193
Cold_Creek,8944471,527.9625
Middle_Fork,14997923,767.7142
North_Fork,14997117,773.3198
Coal,22957705,881
Pinchot,22957733,881
Fish_Creek,22958009,871.6338000000001
Lower_MacDonald_Creek,22957903,879.1154
Upper_MacDonald_Creek,22957933,879.5435
DS1,2889268,91
DS2,2889346,91
DS3,2889356,91
US1,2889272,91
US2,2889272,91
Crane_Creek,11750409,1076.6185
Wash_Branch,11750421,968.0682
Control,8943655,539
Site_1,8943617,539
Site_2,8943617,539
Camas_Creek,23075361,777
Grade_Creek,23074473,762.8960000000001
Rocky_Fire,8009327,316.555
Wragg_Fire,15032969,304.1241
PBR,2899241,39.8932
PSF,2899449,39.784800000000004
PNF,2900989,39.4966
Benjamin_Slough,10349048,247.57760000000002
Hobble_Creek_Lower,10348934,246.6628
Hobble_Creek_Upper,10348934,246.6628
Mill_Race,10376606,122.034
Mitsubishi_Race,10329067,244.01690000000002
Provo_River,10376192,113.09020000000001
Spanish_Fork_Lower,10349108,246.17880000000002
Spanish_Fork_Upper,10349244,246.0235
