Site,comid,NO3_2008Ws,InorgNWetDep_2008Ws,NH4_2008Ws
Site_3,8943613,2.4917000000000002,1.7365000000000002,1.5148000000000001
Reference,15032969,1.734,0.9244,0.6871
Payson,10350360,5.575200000000001,2.8864,2.101
Dry_Creek,10329181,2.7914000000000003,1.4748000000000001,1.0902
San_Onofre,17594757,2.6543,1.3233000000000001,0.9347000000000001
Gaviota,17594763,2.3306,1.1602000000000001,0.8184
Arroyo_Hondo,17594741,2.7811000000000003,1.3873,0.9804
Rattlesnake,14937281,2.2098,1.1253,0.8089000000000001
Crow_Creek,12794143,4.0021,2.133,1.587
Jones_Creek,12794005,4.2701,2.2863,1.7068
Red_Bench_Creek,22950879,4.114,1.8778000000000001,1.2213
Wally_Creek,22950913,4.1142,1.8784,1.222
Red_Meadow_Creek,22949989,4.7588,2.1783,1.4207
Coal_Creek,22950067,4.377400000000001,1.9819,1.2786
Logging_Creek,22949389,5.6132,2.5319000000000003,1.6272
Akokala_Creek,22949619,5.0815,2.3204000000000002,1.5097
Bowman_Creek,22949571,6.6562,3.0364,1.9738
Quartz_Creek,22949475,6.117900000000001,2.7717,1.7894
Trout_Creek,8944501,1.9562000000000002,1.3788,1.2093
Cold_Creek,8944471,1.7537,1.2431,1.0931
Middle_Fork,14997923,2.9354,1.8747,1.5636
North_Fork,14997117,2.7591,1.7017,1.3916000000000002
Coal,22957705,5.3956,2.4437,1.5771000000000002
Pinchot,22957733,5.9322,2.674,1.7175
Fish_Creek,22958009,3.7800000000000002,1.6868,1.0722
Lower_MacDonald_Creek,22957903,6.0995,2.7461,1.7616
Upper_MacDonald_Creek,22957933,7.354100000000001,3.3192000000000004,2.1346000000000003
DS1,2889268,4.155,1.9783000000000002,1.3423
DS2,2889346,4.0251,1.9225,1.3082
DS3,2889356,4.0251,1.9225,1.3082
US1,2889272,4.2717,2.0179,1.3596000000000001
US2,2889272,4.2717,2.0179,1.3596000000000001
Crane_Creek,11750409,8.420200000000001,3.6361000000000003,2.2414
Wash_Branch,11750421,8.0747,3.4875000000000003,2.1503
Control,8943655,2.4437,1.6906,1.4695
Site_1,8943617,2.2021,1.5257,1.3271000000000002
Site_2,8943617,2.2021,1.5257,1.3271000000000002
Camas_Creek,23075361,0.718,0.375,0.27390000000000003
Grade_Creek,23074473,0.7089000000000001,0.3705,0.27080000000000004
Rocky_Fire,8009327,1.5344,0.804,0.59
Wragg_Fire,15032969,1.734,0.9244,0.6871
PBR,2899241,5.8541,2.5954,1.6415000000000002
PSF,2899449,5.5217,2.4544,1.5566
PNF,2900989,4.8283000000000005,2.1767000000000003,1.4007
Benjamin_Slough,10349048,3.8854,2.0295,1.4874
Hobble_Creek_Lower,10348934,6.0120000000000005,3.1772,2.3489
Hobble_Creek_Upper,10348934,6.0120000000000005,3.1772,2.3489
Mill_Race,10376606,4.4618,2.3865000000000003,1.7801
Mitsubishi_Race,10329067,5.0318000000000005,2.6709,1.9812
Provo_River,10376192,5.613,3.0397000000000003,2.2875
Spanish_Fork_Lower,10349108,5.2632,2.7143,1.9698
Spanish_Fork_Upper,10349244,5.1605,2.6455,1.911
