Site,comid,PctLow Burn SeverityWs_1984,PctModerate Burn SeverityWs_1984,PctHigh Burn SeverityWs_1984,PctLow Burn SeverityWs_1985,PctModerate Burn SeverityWs_1985,PctHigh Burn SeverityWs_1985,PctLow Burn SeverityWs_1986,PctModerate Burn SeverityWs_1986,PctHigh Burn SeverityWs_1986,PctLow Burn SeverityWs_1987,PctModerate Burn SeverityWs_1987,PctHigh Burn SeverityWs_1987,PctLow Burn SeverityWs_1988,PctModerate Burn SeverityWs_1988,PctHigh Burn SeverityWs_1988,PctLow Burn SeverityWs_1989,PctModerate Burn SeverityWs_1989,PctHigh Burn SeverityWs_1989
Site_3,8943613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reference,15032969,0,0,0,0.37,0.07,0,0,0,0,0,0,0,23.25,37.07,7.76,0,0,0
Payson,10350360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry_Creek,10329181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San_Onofre,17594757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaviota,17594763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arroyo_Hondo,17594741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattlesnake,14937281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crow_Creek,12794143,0,0,0,0,0,0,0,0,0,0,0,0,2.18,1.9000000000000001,1.32,0,0,0
Jones_Creek,12794005,0,0,0,0,0,0,0,0,0,0,0,0,13.100000000000001,15.31,43.67,0,0,0
Red_Bench_Creek,22950879,0,0,0,0,0,0,0,0,0,0,0,0,15.23,16.57,53.300000000000004,0,0,0
Wally_Creek,22950913,0,0,0,0,0,0,0,0,0,0,0,0,7.04,15.33,69.43,0,0,0
Red_Meadow_Creek,22949989,0,0,0,0,0,0,0,0,0,0,0,0,4.58,7.05,10.35,0,0,0
Coal_Creek,22950067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logging_Creek,22949389,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.51,0.07,0,0,0
Akokala_Creek,22949619,0,0,0,0,0,0,0,0,0,0,0,0,4.34,3.99,2.44,0,0,0
Bowman_Creek,22949571,0,0,0,0,0,0,0,0,0,0,0,0,1.19,1.77,2.17,0,0,0
Quartz_Creek,22949475,0,0,0,0,0,0,0,0,0,0,0,0,8.24,9.47,4.88,0,0,0
Trout_Creek,8944501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold_Creek,8944471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle_Fork,14997923,0,0,0,0,0,0,0,0,0,0.1,0.08,0.06,0,0,0,0,0,0
North_Fork,14997117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,22957705,0,3.0700000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinchot,22957733,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish_Creek,22958009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower_MacDonald_Creek,22957903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper_MacDonald_Creek,22957933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS1,2889268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0
DS2,2889346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0
DS3,2889356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0
US1,2889272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US2,2889272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crane_Creek,11750409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wash_Branch,11750421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,8943655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site_1,8943617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site_2,8943617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camas_Creek,23075361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade_Creek,23074473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky_Fire,8009327,0.1,0.05,0,0.06,0.02,0,0,0,0,0.09,0.04,0,0,0,0,0.39,0.14,0.03
Wragg_Fire,15032969,0,0,0,0.37,0.07,0,0,0,0,0,0,0,23.25,37.07,7.76,0,0,0
PBR,2899241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSF,2899449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNF,2900989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin_Slough,10349048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hobble_Creek_Lower,10348934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hobble_Creek_Upper,10348934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill_Race,10376606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsubishi_Race,10329067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provo_River,10376192,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.11,0.01,0,0,0
Spanish_Fork_Lower,10349108,0,0,0,0,0,0,0,0,0,0.05,0.1,0.02,0,0,0,0,0,0
Spanish_Fork_Upper,10349244,0,0,0,0,0,0,0,0,0,0.07,0.12,0.02,0,0,0,0,0,0
