Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,pair_key,response_var,year,lnRR_mean,lnRR_sd,lnRR_n,lnRR_area_mean,lnRR_area_sd,lnRR_area_n,lnRR_var,lnRR_area_var
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,2016,0.0634960942570269,0.12330123123185743,124,-0.8101052289220776,0.12330123123185745,124,1.226064001878385e-4,1.2260640018783855e-4
Coombs & Melack; 2013,Coombs_Melack_2013_C1,Site_1,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,NO3,2004,1.6413547247701965,0.19456485886664052,5,1.7286829083520532,0.1945648588666404,5,0.007571096861159149,0.007571096861159141
Coombs & Melack; 2013,Coombs_Melack_2013_C1,Site_1,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,NO3,2005,1.8620299825576918,0.4101347016309743,5,1.9493581661395485,0.4101347016309744,5,0.03364209469638567,0.033642094696385676
Coombs & Melack; 2013,Coombs_Melack_2013_C2,Site_2,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,NO3,2004,0.01022704586179528,0.3968979990243375,6,-2.1966296614251273,0.3968979990243375,6,0.026254670271587167,0.026254670271587167
Coombs & Melack; 2013,Coombs_Melack_2013_C2,Site_2,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,NO3,2005,0.5858263209295171,0.3964643661945609,5,-1.6210303863574052,0.3964643661945609,5,0.031436798732410974,0.031436798732410974
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,NO3,2004,0.4754831500823841,0.12180331771670938,5,-0.16122271957260936,0.12180331771670937,5,0.00296720964135953,0.002967209641359529
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,NO3,2005,1.0071823644981575,0.324931654240951,5,0.37047649484316414,0.324931654240951,5,0.021116115985552186,0.021116115985552186
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,DOC,2018,0.5555476065256095,0.9952542302373352,39,0.5149638992934483,0.963548588734365,39,0.025398230328341296,0.023805791867999655
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,NO3,2018,1.0975083119491864,2.1128499633329416,42,1.0505090481182087,2.0795363137902245,42,0.10628892779895269,0.10296360191362464
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,DOC,2018,0.8593167500153459,0.9449470574411422,29,-0.11397485386716569,1.6823278204210812,29,0.030790515219540456,0.09759403087457744
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,NO3,2018,-4.15558386727907,1.5978633379442335,53,-5.372906904125162,1.6961058868581493,53,0.04817296691974128,0.054278776970469234
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,DOC,2018,0.6533721793909826,0.4440048997053352,22,0.6861243168490804,0.4440048997053352,22,0.008960925043742943,0.008960925043742943
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,NO3,2018,0.32997546717003856,0.6630541840161758,24,0.36272760462813647,0.6630541840161758,24,0.018318368789223195,0.018318368789223195
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,DOC,2018,1.3838448742729266,0.7498784836797308,17,1.4534840015380854,0.7498784836797308,17,0.03307751413445954,0.03307751413445954
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,NO3,2018,-0.6965704876457572,1.3566730591590932,18,-0.6269313603805984,1.3566730591590932,18,0.10225343274711624,0.10225343274711624
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,-1.0698598048488752,1.1772685259237323,209,-1.331165934025306,1.1772685259237323,209,0.006631393215936065,0.006631393215936065
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1990,1.2920497232831936,1.7264804188034681,177,1.0307435941067626,1.7264804188034684,177,0.016840308680857622,0.016840308680857626
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1991,1.4389922147206464,1.3067346625830345,167,1.1776860855442153,1.3067346625830345,167,0.010224883104167647,0.010224883104167647
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1992,2.1267434839237955,0.6151249809600783,166,1.8654373547473644,0.6151249809600783,166,0.0022793900132598594,0.0022793900132598594
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1993,1.8053997625902403,0.8023089711978294,149,1.5440936334138093,0.8023089711978293,149,0.004320132115869259,0.004320132115869257
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1985,1.482217089339393,0.20171987115455325,59,2.0747770329941697,0.20171987115455325,59,6.896763799764333e-4,6.896763799764333e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,1.0734730477169836,0.8473707147809391,198,1.6660329913717606,0.8473707147809391,198,0.0036264501427694927,0.0036264501427694927
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,1.5806680753649678,1.067195552936144,217,2.1732280190197444,1.067195552936144,217,0.005248416351182868,0.005248416351182868
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,1.006024676511833,1.058635623387954,152,1.5985846201666098,1.0586356233879541,152,0.007373088046750012,0.007373088046750014
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1985,1.4767485125948303,0.3007135093566447,92,1.5680982911830583,0.30071350935664465,92,9.829197251042265e-4,9.82919725104226e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,1.2241910762403483,0.9289740284188026,227,1.315540854828576,0.9289740284188025,227,0.003801730156284838,0.003801730156284837
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,1.7403125674407716,0.9365726785975759,240,1.8316623460289994,0.9365726785975759,240,0.0036548682595643257,0.0036548682595643257
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,1.6162268949377576,0.7832334030501773,144,1.7075766735259854,0.7832334030501773,144,0.004260101136483066,0.004260101136483066
Hauer & Spencer 1998,Hauer_Spencer_1998_C1,Site_1,Control_1,Hauer & Spencer 1998 | Hauer_Spencer_1998_C1 | Site_1 | Control_1,NO3,1989,2.519831024407016,0.011969901236664247,24,2.7826155452370696,0.011969901236664249,24,5.9699389839790116e-06,5.969938983979013e-6
