Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,pair_key,response_var,year,month,lnRR_mean,lnRR_sd,lnRR_n,lnRR_area_mean,lnRR_area_sd,lnRR_area_n,lnRR_var,lnRR_area_var
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,2016,4,0.30476495378637664,0.005119030323215762,2,-0.5688363693927279,0.005119030323215762,2,1.3102235725001236e-5,1.3102235725001236e-5
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,2016,5,0.16016916996985042,0.078364990305755,31,-0.7134321532092541,0.07836499030575504,31,1.980990872780992e-4,1.980990872780994e-4
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,2016,6,-0.05103637478588433,0.05464414898626274,30,-0.9246376979649888,0.0546441489862628,30,9.953276728109598e-5,9.953276728109618e-5
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,2016,7,-0.0314098069080146,0.014812878825915067,31,-0.9050111300871191,0.014812878825915064,31,7.078109003588482e-6,7.0781090035884785e-6
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,2016,8,0.16011789229860668,0.08974984647929465,30,-0.7134834308804978,0.08974984647929467,30,2.685011647685653e-4,2.6850116476856537e-4
Coombs & Melack; 2013,Coombs_Melack_2013_C1,Site_1,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,NO3,2004,12,1.6413547247701965,0.19456485886664052,5,1.7286829083520532,0.1945648588666404,5,0.007571096861159149,0.007571096861159141
Coombs & Melack; 2013,Coombs_Melack_2013_C1,Site_1,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,NO3,2005,1,1.8620299825576918,0.4101347016309743,5,1.9493581661395485,0.4101347016309744,5,0.03364209469638567,0.033642094696385676
Coombs & Melack; 2013,Coombs_Melack_2013_C2,Site_2,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,NO3,2004,12,0.01022704586179528,0.3968979990243375,6,-2.1966296614251273,0.3968979990243375,6,0.026254670271587167,0.026254670271587167
Coombs & Melack; 2013,Coombs_Melack_2013_C2,Site_2,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,NO3,2005,1,0.5858263209295171,0.3964643661945609,5,-1.6210303863574052,0.3964643661945609,5,0.031436798732410974,0.031436798732410974
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,NO3,2004,12,0.4754831500823841,0.12180331771670938,5,-0.16122271957260936,0.12180331771670937,5,0.00296720964135953,0.002967209641359529
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,NO3,2005,1,1.0071823644981575,0.324931654240951,5,0.37047649484316414,0.324931654240951,5,0.021116115985552186,0.021116115985552186
