Study_ID,Comparison_ID,Sampling_Date,response_var,Pair_Burn,Site_Burn,concentration_Burn,Area_watershed_km_Burn,Pair_Unburn,Site_Unburn,concentration_Unburn,Area_watershed_km_Unburn,pair_key,lnRR,conc_norm_Burn,conc_norm_Unburn,lnRR_area
Burd et al 2018,Burd_et_al_2018_C1,2016-04-29,DOC,Site_1,Notawohka Creek,17.8042328,321,Control_1,Scotty Creek,13.17460317,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.3011452527317312,0.055464899688473526,0.0983179341044776,-0.5724560704473732
Burd et al 2018,Burd_et_al_2018_C1,2016-04-30,DOC,Site_1,Notawohka Creek,17.645502642,321,Control_1,Scotty Creek,12.96296296,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.30838465484102207,0.05497041321495327,0.09673852955223881,-0.5652166683380824
Burd et al 2018,Burd_et_al_2018_C1,2016-05-01,DOC,Site_1,Notawohka Creek,17.486772484,321,Control_1,Scotty Creek,12.75132275,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.31580972574627275,0.05447592674143302,0.095159125,-0.5577915974328317
Burd et al 2018,Burd_et_al_2018_C1,2016-05-02,DOC,Site_1,Notawohka Creek,17.328042326000002,321,Control_1,Scotty Creek,12.53968254,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.3234279137969965,0.05398144026791278,0.0935797204477612,-0.550173409382108
Burd et al 2018,Burd_et_al_2018_C1,2016-05-03,DOC,Site_1,Notawohka Creek,17.169312168,321,Control_1,Scotty Creek,12.32804233,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.33124708234322053,0.05348695379439253,0.09200031589552239,-0.5423542408358839
Burd et al 2018,Burd_et_al_2018_C1,2016-05-04,DOC,Site_1,Notawohka Creek,17.01058201,321,Control_1,Scotty Creek,12.11640212,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.33927553979227654,0.052992467320872275,0.09042091134328359,-0.534325783386828
Burd et al 2018,Burd_et_al_2018_C1,2016-05-05,DOC,Site_1,Notawohka Creek,16.878306877500002,321,Control_1,Scotty Creek,12.612433865,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.29134603861299496,0.05258039525700935,0.09412264078358208,-0.5822552845661093
Burd et al 2018,Burd_et_al_2018_C1,2016-05-06,DOC,Site_1,Notawohka Creek,16.746031745,321,Control_1,Scotty Creek,13.10846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.24490306819546862,0.05216832319314642,0.09782437022388059,-0.6286982549836357
Burd et al 2018,Burd_et_al_2018_C1,2016-05-07,DOC,Site_1,Notawohka Creek,16.613756612499998,321,Control_1,Scotty Creek,13.604497355,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.1998306378225481,0.05175625112928348,0.1015260996641791,-0.6737706853565564
Burd et al 2018,Burd_et_al_2018_C1,2016-05-08,DOC,Site_1,Notawohka Creek,16.48148148,321,Control_1,Scotty Creek,14.1005291,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.15602509456924452,0.05134417906542056,0.1052278291044776,-0.7175762286098599
Burd et al 2018,Burd_et_al_2018_C1,2016-05-09,DOC,Site_1,Notawohka Creek,16.128747793333332,321,Control_1,Scotty Creek,14.1005291,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.13439093546540262,0.050245320228452746,0.1052278291044776,-0.7392103877137018
Burd et al 2018,Burd_et_al_2018_C1,2016-05-10,DOC,Site_1,Notawohka Creek,15.776014106666668,321,Control_1,Scotty Creek,14.1005291,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11227837054236126,0.04914646139148495,0.1052278291044776,-0.7613229526367432
Burd et al 2018,Burd_et_al_2018_C1,2016-05-11,DOC,Site_1,Notawohka Creek,15.42328042,321,Control_1,Scotty Creek,14.1005291,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.08966576200947839,0.04804760255451713,0.1052278291044776,-0.7839355611696261
Burd et al 2018,Burd_et_al_2018_C1,2016-05-12,DOC,Site_1,Notawohka Creek,16.28306878,321,Control_1,Scotty Creek,14.53042328,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11388123420045458,0.05072607096573209,0.10843599462686568,-0.75972008897865
Burd et al 2018,Burd_et_al_2018_C1,2016-05-13,DOC,Site_1,Notawohka Creek,17.14285714,321,Control_1,Scotty Creek,14.96031746,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.13618040065065304,0.053404539376947044,0.11164416014925374,-0.7374209225284515
Burd et al 2018,Burd_et_al_2018_C1,2016-05-14,DOC,Site_1,Notawohka Creek,18.0026455,321,Control_1,Scotty Creek,15.39021164,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.1567870197759205,0.05608300778816199,0.11485232567164179,-0.716814303403184
Burd et al 2018,Burd_et_al_2018_C1,2016-05-15,DOC,Site_1,Notawohka Creek,18.86243386,321,Control_1,Scotty Creek,15.82010582,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.17589066634132086,0.058761476199376945,0.11806049119402985,-0.6977106568377837
