Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,pair_key,response_var,lnRR_mean,lnRR_sd,lnRR_n,lnRR_area_mean,lnRR_area_sd,lnRR_area_n,lnRR_var,lnRR_area_var
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,0.0634960942570269,0.12330123123185743,124,-0.8101052289220776,0.12330123123185745,124,1.226064001878385e-4,1.2260640018783855e-4
Coombs & Melack; 2013,Coombs_Melack_2013_C1,Site_1,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,NO3,1.7516923536639442,0.32420976656922457,10,1.8390205372458008,0.32420976656922457,10,0.010511197273887109,0.010511197273887109
Coombs & Melack; 2013,Coombs_Melack_2013_C2,Site_2,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,NO3,0.271863079983487,0.481659750469984,11,-1.9349936273034354,0.481659750469984,11,0.021090555929346114,0.021090555929346114
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,NO3,0.7413327572902708,0.3633832762408967,10,0.10462688763527733,0.3633832762408968,10,0.013204740545156784,0.01320474054515679
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,DOC,0.60094600264785,0.94769989613436445,39,0.5603622954156888,0.9125584524081768,39,0.02302910495213039,0.02135289561696427
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,NO3,1.1484226228133039,2.114680375040912,42,1.101423358982326,2.081134766677935,42,0.10647316877578981,0.10312195040656245
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,DOC,0.8593167500153459,0.9449470574411422,29,-0.11397485386716569,1.6823278204210812,29,0.030790515219540456,0.09759403087457744
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,NO3,-4.15558386727907,1.5978633379442335,53,-5.372906904125162,1.6961058868581493,53,0.04817296691974128,0.054278776970469234
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,DOC,0.6617742563698675,0.41353763020024725,22,0.6945263938279654,0.41353763020024725,22,0.007773335072347112,0.007773335072347112
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,NO3,0.32724520095297355,0.6666081055574222,24,0.3599973384110714,0.6666081055574223,24,0.018515265266452308,0.01851526526645231
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,DOC,1.1798279907975453,0.6513867306827622,17,1.2494671180627044,0.6513867306827622,17,0.02495909840644573,0.02495909840644573
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,NO3,-0.7060976982728983,1.3762583170588953,18,-0.6364585710077392,1.3762583170588953,18,0.10522705307076571,0.10522705307076571
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,0.9993638071697629,1.6994955327775876,868,0.738057677993332,1.6994955327775876,868,0.003327517357063337,0.003327517357063337
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1.2714364135830407,0.9805165390137952,626,1.8639963572378173,0.9805165390137952,626,0.001535803008433852,0.001535803008433852
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1.5137466949105345,0.8718637745617376,703,1.6050964734987623,0.8718637745617375,703,0.0010812893903172692,0.0010812893903172692
Hauer & Spencer 1998,Hauer_Spencer_1998_C1,Site_1,Control_1,Hauer & Spencer 1998 | Hauer_Spencer_1998_C1 | Site_1 | Control_1,NO3,0.16386924289817698,1.253206169103246,114,0.42665376372823055,1.253206169103246,114,0.013776541248056433,0.013776541248056433
Hauer & Spencer 1998,Hauer_Spencer_1998_C2,Site_2,Control_2,Hauer & Spencer 1998 | Hauer_Spencer_1998_C2 | Site_2 | Control_2,NO3,1.2254584688463617,0.31182692595916134,114,2.4212258253748873,0.31182692595916134,114,8.52947646957371e-4,8.52947646957371e-4
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,2.0528246661035126,0.8905848306804185,216,2.8621810206836233,0.8905848306804185,216,0.003671950651102174,0.003671950651102174
Hauer & Spencer 1998,Hauer_Spencer_1998_C4,Site_4,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C4 | Site_4 | Control_3_4_5,NO3,1.201048273852525,1.8596287727538758,91,1.8051210747085864,1.8596287727538758,91,0.038002408488506445,0.038002408488506445
Hauer & Spencer 1998,Hauer_Spencer_1998_C5,Site_5,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C5 | Site_5 | Control_3_4_5,NO3,2.5732954734685385,0.33643249896929567,93,3.1311172566738437,0.3364324989692956,93,0.0012170626490615607,0.00121706264906156
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,DOC,0.7906213914156167,0.16638024913375665,80,0.1765288445013663,0.16638024913375665,80,3.460298412726366e-4,3.460298412726366e-4
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,NO3,0.759694234359738,1.5210808963147875,64,0.14560168744548763,1.5210808963147877,64,0.036151360830215584,0.03615136083021559
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C2,Site_2,Control_2,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C2 | Site_2 | Control_2,DOC,0.8332892368696153,0.25623317796730466,4,0.25974572707899857,0.2562331779673047,4,0.016413860372806104,0.01641386037280611
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C2,Site_2,Control_2,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C2 | Site_2 | Control_2,NO3,-0.6608779199911599,1.8173100064290557,2,-1.2344214297817762,1.8173100064290555,2,1.6513078297335873,1.6513078297335868
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,0.5305787276017545,0.30431161583571353,716,-0.1814171785168583,0.30431161583571353,716,1.2933737364880294e-4,1.2933737364880294e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,NO3,1.2568259124046535,0.5175722486512376,929,0.5448300062860408,0.5175722486512377,929,2.883541793045194e-4,2.883541793045196e-4
Murphy et al. 2018,Murphy_et_al_2018_C1,Site_1,Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,DOC,0.005187429725166121,0.167669363195231,1162,-0.3514875142135663,0.16766936319523099,1162,2.4193644883213674e-5,2.4193644883213667e-5
Murphy et al. 2018,Murphy_et_al_2018_C1,Site_1,Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,NO3,0.6784312922280282,0.8683846488733061,1162,0.3217563482892958,0.8683846488733061,1162,6.489603256444193e-4,6.489603256444193e-4
Murphy et al. 2018,Murphy_et_al_2018_C2,Site_2,Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,DOC,0.1751886523761757,0.28572902262111133,1166,-0.48259138434647836,0.28572902262111133,1166,7.00180740720545e-5,7.00180740720545e-5
Murphy et al. 2018,Murphy_et_al_2018_C2,Site_2,Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,NO3,1.3877965429255352,1.249928172987004,1166,0.7300165062028812,1.249928172987004,1166,0.0013398974593710376,0.0013398974593710376
