Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,4/7/04,Unburn,1,Mean,,,,,46.81965896,ug_L,,,Figure_3,Don’t have exact coordinates because of: Control vs impact study design with 3 Burn sites and 2 reference sites. Values are mean daily for reference (n=2) and Burn (n=3)
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,4/16/04,Unburn,1,Mean,,,,,56.11238909,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,4/27/04,Unburn,1,Mean,,,,,27.87819038,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,5/9/04,Unburn,1,Mean,,,,,27.76864936,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,5/23/04,Unburn,1,Mean,,,,,46.39062329,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,5/27/04,Unburn,1,Mean,,,,,41.66666667,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,5/29/04,Unburn,1,Mean,,,,,18.21119509,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,6/10/04,Unburn,1,Mean,,,,,27.46741155,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,6/24/04,Unburn,1,Mean,,,,,92.96381495,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,6/30/04,Unburn,1,Mean,,,,,64.78438675,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,7/11/04,Unburn,1,Mean,,,,,64.68397415,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,7/22/04,Unburn,1,Mean,,,,,116.145434,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,8/14/04,Unburn,1,Mean,,,,,97.17658013,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,8/26/04,Unburn,1,Mean,,,,,143.9414686,ug_L,,,Figure_3,
Blandon et al. 2008,10.1139/X08-071,Control_Reference_vs_Impact,49.617,-114.667,Control,Dfc,Reference,10/8/04,Unburn,1,Mean,,,,,124.7900464,ug_L,,,Figure_3,
