Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Bayley et al. 1992,10.1139/f92-068,Pre_Post,49.667,-93.733,Pre_1,Dfb,Northwest,7/1/71,Unburn,Pre,,,,,,6.933061091,ug_N_L,,,Hampton,Northeast and East burned twice
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/72,Unburn,Pre,,,,,,9.916697821,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/73,Unburn,Pre,,,,,,13.87810466,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/74,Unburn,Pre,,,,,,13.96917148,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/75,Unburn,Pre,,,,,,14.0626348,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/76,Unburn,Pre,,,,,,88.34440514,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/77,Unburn,Pre,,,,,,5.591023687,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/78,Unburn,Pre,,,,,,24.94751675,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/79,Unburn,Pre,,,,,,33.71868979,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_1,Dfb,Northwest,7/1/80,Unburn,Pre,,,,,,376.7817943,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_1,Dfb,Northwest,7/1/81,Burn,Post,,,,,,66.67050106,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_1,Dfb,Northwest,7/1/82,Burn,Post,,,,,,37.86702327,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_1,Dfb,Northwest,7/1/83,Burn,Post,,,,,,41.81644763,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_1,Dfb,Northwest,7/1/84,Burn,Post,,,,,,25.52986513,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_1,Dfb,Northwest,7/1/85,Burn,Post,,,,,,22.74034452,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_1,Dfb,Northwest,7/1/86,Burn,Post,,,,,,49.81115617,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_1,Dfb,Northwest,7/1/87,Burn,Post,,,,,,147.2095208,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_2,Dfb,Northeast,7/1/71,Unburn,Pre,,,,,,3.084289535,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_2,Dfb,Northeast,7/1/72,Unburn,Pre,,,,,,7.994708538,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Pre_2,Dfb,Northeast,7/1/73,Unburn,Pre,,,,,,7.134366702,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_2,Dfb,Northeast,7/1/74,Burn,Post,,,,,,13.00817684,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_2,Dfb,Northeast,7/1/75,Burn,Post,,,,,,9.243282623,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_2,Dfb,Northeast,7/1/76,Burn,Post,,,,,,13.20229297,ug_N_L,,,,
Bayley et al. 1992,10.1139/f92-068,Pre_Post,,,Post_2,Dfb,Northeast,7/1/77,Burn,Post,,,,,,1.73745914,ug_N_L,,,,
