Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2003,Burn,0,,,,,,87.4,ug_L,,,Supplemental,"This is a maybe. There are 4 separate wildfires and then there are 3 separate prescribed burns. They are in different watersheds but could be compounding effects that would be difficult to disentangle. I deleted the data that was listed as prescribed burn in the supplemental. I even deleted the sites that were listed as prescribed burn sites from table 1 but listed as W in the supplemental. Again, this is a maybe study."
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2003,Burn,0,,,,,,89.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2003,Burn,0,,,,,,106.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2003,Unburn,0,,,,,,2.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2003,Unburn,0,,,,,,13.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2003,Unburn,0,,,,,,3.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2004,Burn,1,,,,,,140.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2004,Burn,1,,,,,,549.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2004,Unburn,1,,,,,,63.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2004,Unburn,1,,,,,,2.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2004,Unburn,1,,,,,,6.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2004,Unburn,1,,,,,,27.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2004,Unburn,1,,,,,,21.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2004,Unburn,1,,,,,,10.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2004,Burn,1,,,,,,54.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2004,Burn,1,,,,,,25.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2004,Burn,1,,,,,,34.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2004,Unburn,1,,,,,,1.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2004,Unburn,1,,,,,,2.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2004,Unburn,1,,,,,,1.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2004,Unburn,1,,,,,,,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2004,Unburn,1,,,,,,,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2004,Unburn,1,,,,,,,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2004,Burn,1,,,,,,47.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2004,Burn,1,,,,,,187,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2004,Burn,1,,,,,,9.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Control_3,Dsb,Ha,2004,Unburn,1,,,,,,53.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Control_3,Dsb,Ha,2004,Unburn,1,,,,,,1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Control_3,Dsb,Ha,2004,Unburn,1,,,,,,4.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Control_3,Dsb,Ha,2004,Unburn,1,,,,,,52.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Control_3,Dsb,Ha,2004,Unburn,1,,,,,,12.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,Site_4,Dsb,SF,2004,Burn,1,,,,,,236.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,Site_4,Dsb,SF,2004,Burn,1,,,,,,484.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,Site_4,Dsb,SF,2004,Burn,1,,,,,,124.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,Site_4,Dsb,SF,2004,Burn,1,,,,,,28.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,Site_4,Dsb,SF,2004,Burn,1,,,,,,268.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,Control_4,Dsb,SF,2004,Unburn,1,,,,,,1.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,Control_4,Dsb,SF,2004,Unburn,1,,,,,,66.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,Control_4,Dsb,SF,2004,Unburn,1,,,,,,1.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2005,Burn,2,,,,,,521.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2005,Burn,2,,,,,,208.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2005,Burn,2,,,,,,630,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2005,Burn,2,,,,,,209.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2005,Burn,2,,,,,,277.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2005,Burn,2,,,,,,150.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Site_1,Dsb,Ca,2005,Burn,2,,,,,,124.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2005,Unburn,2,,,,,,200.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2005,Unburn,2,,,,,,27.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2005,Unburn,2,,,,,,22.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2005,Unburn,2,,,,,,10.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2005,Unburn,2,,,,,,26.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2005,Unburn,2,,,,,,6.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2005,Unburn,2,,,,,,27.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,Control_1,Dsb,Ca,2005,Unburn,2,,,,,,4.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2005,Burn,2,,,,,,33.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2005,Burn,2,,,,,,33.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2005,Burn,2,,,,,,35.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2005,Burn,2,,,,,,49,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Site_2,Dsb,DC,2005,Burn,2,,,,,,83.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2005,Unburn,2,,,,,,1.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2005,Unburn,2,,,,,,3.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2005,Unburn,2,,,,,,2.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2005,Unburn,2,,,,,,3.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,Control_2,Dsb,DC,2005,Unburn,2,,,,,,3.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2005,Burn,2,,,,,,534.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2005,Burn,2,,,,,,446,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2005,Burn,2,,,,,,208.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2005,Burn,2,,,,,,142.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2005,Burn,2,,,,,,195.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,Site_3,Dsb,Ha,2005,Burn,2,,,,,,109.5,ug_L,,,Supplemental,
