Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,1/28/11,Burn,Pre,Individual,1.647425897,mg_C_L,,,0.164671533,mg_N_L,,,Figure_4,Talk with AMP about the pre_post and also the control_reference
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,2/10/11,Burn,Pre,Individual,2.190327613,mg_C_L,,,0.190948905,mg_N_L,,,Figure_4,
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,2/12/11,Burn,Pre,Individual,2.302652106,mg_C_L,,,0.168175182,mg_N_L,,,Figure_4,
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,2/27/11,Burn,Pre,Individual,2.658346334,mg_C_L,,,0.143649635,mg_N_L,,,Figure_4,
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,3/11/11,Burn,Pre,Individual,3.950078003,mg_C_L,,,0.159416058,mg_N_L,,,Figure_4,
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,3/19/11,Burn,Pre,Individual,4.15600624,mg_C_L,,,0.147153285,mg_N_L,,,Figure_4,
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,4/7/11,Burn,Pre,Individual,7.263650546,mg_C_L,,,0.085839416,mg_N_L,,,Figure_4,
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,4/9/11,Burn,Pre,Individual,8.330733229,mg_C_L,,,0.080583942,mg_N_L,,,Figure_4,
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,4/14/11,Burn,Pre,Individual,8.443057722,mg_C_L,,,0.078832117,mg_N_L,,,Figure_4,
Mast et al. 2016,10.1002/hyp.10755,Control_Reference_vs_Impact_Pre_Post,40.35388889,-105.5836111,,Dfc,Big Thompson River,4/24/11,Burn,Pre,Individual,13.16068643,mg_C_L,,,0.071824818,mg_N_L,,,Figure_4,
