Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.27027027,umol_L,,,0.004166667,umol_L,,,Figure_4,"Pre- and post-fire surface water samples were collected monthly from the outlet of each catchment during dry periods (i.e., pre-snowmelt and summer), and weekly to biweekly during snowmelt and summer monsoon wet seasons.  Don’t have the coordinates of the exact watersheds"
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.304054054,umol_L,,,0.004166667,umol_L,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.337837838,umol_L,,,0.005555556,umol_L,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.320945946,umol_L,,,,,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.287162162,umol_L,,,,,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.253378378,umol_L,,,,,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.168918919,umol_L,,,,,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.422297297,umol_L,,,,,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.287162162,umol_L,,,,,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.304054054,umol_L,,,,,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.337837838,umol_L,,,,,,,Figure_4,
Andres Sanchez et al. 2023,10.3389/frwa.2023.1148298,Pre_Post,35.8759,-106.5125,Site_1,Cfb,History_Grove,2011,Unburn,Pre,Individual,0.540540541,umol_L,,,,,,,Figure_4,
