Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-23,Burn,0,Individual,4.6,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-23,Burn,0,Individual,4.7,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-23,Burn,0,Individual,5,mg_L,,,0.02,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,19.1,mg_L,,,0.05,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,17.5,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,23.9,mg_L,,,0.03,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,14.2,mg_L,,,0.04,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,13,mg_L,,,0.02,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,13.7,mg_L,,,0.02,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,13.2,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,13.3,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,12.5,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-10-25,Burn,0,Individual,13.8,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-12-11,Burn,0,Individual,1.7,mg_L,,,0.31,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-12-21,Burn,0,Individual,2.5,mg_L,,,0,mg_L,,,Supplemental,
