Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/2/18,Burned,0,Individual,76.685,TOC_mg_L,,,0.058675237,mg_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/4/18,Burned,0,Individual,,TOC_mg_L,,,0.087160288,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.028416846,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/6/18,Burned,0,Individual,18.132,TOC_mg_L,,,11.93102626,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/7/18,Burned,0,Individual,10.759,TOC_mg_L,,,10.15183286,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/8/18,Burned,0,Individual,10.474,TOC_mg_L,,,12.01169464,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/10/18,Burned,0,Individual,10.237,TOC_mg_L,,,9.137916333,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/12/18,Burned,0,Individual,,TOC_mg_L,,,14.74718341,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/16/18,Burned,0,Individual,1.375,TOC_mg_L,,,0.399857199,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/16/18,Burned,0,Individual,5.811,TOC_mg_L,,,19.63127218,mg_L,,,,
