Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,response_var,year,lnRR_mean,lnRR_var,lnRR_n,lnRR_sd,pair_key,candidate_pair_id,shared_control_id,n_pairs_sharing_reference,Fire_ID_Analysis,Pairing_Type_Analysis,Include_Analysis,Analysis_Decision_Status,Coauthor_Confirmation,shared_reference,Composite_Reference_Candidate,Site_Burn,time_since_fire,Area_watershed_km,maxelevsmo,slope,tmean8110ws,precip8110ws,forest_cover,urban_cover,grassland_cover,wetland_cover,ag_cover,omws,rckdepws,clayws,glacial_till,bfiws,permws,runoffws,burn_percent_fire_year,burn_sev_high,burn_sev_mod,burn_sev_low,followup_year,post_fire_year,shared_control_year_id,reference_family_weight,effect_size_source,variance_status,pairing_confirmation_pending,matched_doc_no3
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,DOC,2016,0.0634960942570269,1.226064001878385e-4,124,0.12330123123185743,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,Burd et al 2018 | Control_1,1,Burd_et_al_2018_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Notawohka Creek,3,321,,,,,,,,,,,,,,,,,,,,,1,3,Burd et al 2018 | Control_1 | DOC | 2016,1,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,DOC,2018,0.60094600264785,0.02302910495213039,39,0.94769989613436445,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,Crandall et al. 2021 | Control_1,1,Crandall_et_al_2021_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Benjamin Slough,0,319,137637,1e-5,9.59039648985,527.81694779,17.720000000000002,14.190000000000001,16.31,3.42,34.730000000000004,1.148633617445975,135.1456180821655,21.986507967851075,0,74.5288,5.330080639135863,247.5776,13.8405,3.87,4.82,3.61,1,0,Crandall et al. 2021 | Control_1 | DOC | 2018,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,DOC,2018,0.8593167500153459,0.03079051521954045,29,0.9449470574411422,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,Crandall et al. 2021 | Control_2,1,Crandall_et_al_2021_C2,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Payson,0,54,143663,0.00302931,9.50152202028,533.1562009740001,33.35,6.21,17.07,1.44,12.72,1.5956663671758011,119.432832185285,22.771971648198065,0,74,5.011345712289109,248,20.2356,6.06,8.37,4.67,1,0,Crandall et al. 2021 | Control_2 | DOC | 2018,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,DOC,2018,0.6617742563698675,0.00777333507234711,22,0.41353763020024725,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,Crandall et al. 2021 | Control_3_4,2,Crandall_et_al_2021_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Spanish Fork Lower,0,1712,137637,0.00220679,6.807836152030001,618.348894465,51.449999999999996,2.8,23.97,0.26,2.48,1.081142788947946,126.3685992839426,25.552428182737145,1,71.9081,4.8090831570650545,246.1762,26.5655,4.4,9.42,8.03,1,0,Crandall et al. 2021 | Control_3_4 | DOC | 2018,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,DOC,2018,1.1798279907975453,0.02495909840644573,17,0.6513867306827622,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,Crandall et al. 2021 | Control_3_4,2,Crandall_et_al_2021_C4,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Spanish Fork Upper,0,1650,146394,0.01123244,6.63015159845,592.520823296,46.81,1.9300000000000002,29.33,0.17,1.06,1.1008208730287472,124.53089813963328,26.13503212593454,0,71.3404,4.0795669356067386,246.0235,32.6928,5.42,11.59,9.88,1,0,Crandall et al. 2021 | Control_3_4 | DOC | 2018,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,DOC,2022,0.7906213914156167,3.460298412726366e-4,80,0.16638024913375665,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,Hickenbottom et al. 2023 | Control_1,1,Hickenbottom_et_al_2023_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Trout_Creek,1,56.0808,191944,0.00256729,5.4318975716999995,874.494891299,75.43,2.31,0.06,0.8400000000000001,0,2.103174990371036,95.63473777121582,4.306314835023752,14.71,70.4345,25.21883168571061,536.5193,,,,,1,1,Hickenbottom et al. 2023 | Control_1 | DOC | 2022,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C2,Site_2,Control_2,DOC,2022,0.8332892368696153,0.0164138603728061,4,0.25623317796730466,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C2 | Site_2 | Control_2,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C2 | Site_2 | Control_2,Hickenbottom et al. 2023 | Control_2,1,Hickenbottom_et_al_2023_C2,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Middle_Fork_American,0,1520.7759,23204,0.00908719,10.4277479944,1502.14109638,63.46,1.0999999999999999,1.18,0.18,0,1.7231383587502158,106.18976397252182,16.160149520989748,3.04,61.8575,8.426582925225809,767.7142,,,,,1,0,Hickenbottom et al. 2023 | Control_2 | DOC | 2022,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,DOC,2004,0.37901817296152945,5.463928114089032e-4,139,0.2755877370019166,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Mast & Clow; 2008 | Control_1,1,Mast_Clow_2008_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Coal,1,96.4,115107,0.02580188,2.68800997056,1340.38651265,32.69,0,1.19,0.18,0.01,0.965669450606812,117.921326783617,11.568165023023436,3.14,66.6211,5.3971271974795405,881,55.8481,17.49,14.7,13.21,1,1,Mast & Clow; 2008 | Control_1 | DOC | 2004,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,DOC,2005,0.7242440442592493,3.9824151809349256e-4,221,0.29666711226332765,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Mast & Clow; 2008 | Control_1,1,Mast_Clow_2008_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Coal,2,96.4,115107,0.02580188,2.68800997056,1340.38651265,32.69,0,1.19,0.18,0.01,0.965669450606812,117.921326783617,11.568165023023436,3.14,66.6211,5.3971271974795405,881,55.8481,17.49,14.7,13.21,2,2,Mast & Clow; 2008 | Control_1 | DOC | 2005,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,DOC,2006,0.3530364581323629,2.392820212599995e-4,234,0.2366262727907446,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Mast & Clow; 2008 | Control_1,1,Mast_Clow_2008_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Coal,3,96.4,115107,0.02580188,2.68800997056,1340.38651265,32.69,0,1.19,0.18,0.01,0.965669450606812,117.921326783617,11.568165023023436,3.14,66.6211,5.3971271974795405,881,55.8481,17.49,14.7,13.21,3,3,Mast & Clow; 2008 | Control_1 | DOC | 2006,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,DOC,2007,0.6929703109584966,8.456819945675132e-5,122,0.10157421096776316,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Mast & Clow; 2008 | Control_1,1,Mast_Clow_2008_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Coal,4,96.4,115107,0.02580188,2.68800997056,1340.38651265,32.69,0,1.19,0.18,0.01,0.965669450606812,117.921326783617,11.568165023023436,3.14,66.6211,5.3971271974795405,881,55.8481,17.49,14.7,13.21,4,4,Mast & Clow; 2008 | Control_1 | DOC | 2007,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
