DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Zr90,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,FI,HIX,SUVA254,SUVA280,dD,d18O,SamplingNote
MST,,,,hr,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,mg/L,mg/L,nm/nm,nm/nm,L/(mg.cm),L/(mg.cm),‰,‰,
(Detection limit),,,,,,,,,0.00025,0.00028,0.00017,1.32,1.37,1.48,0.98,0.8,1.03,1.51,0.00381,0.1044,0.0262,0.0071,0.00452,2.0251,0.5926,0.0961,0.0318,0.0433,0.01077,0.00885,0.00429,0.0081,0.00702,0.00253,0.00411,0.02763,0.01954,0.02176,0.04128,0.48,0.0026,0.00145,0.00145,0.00145,0.00276,0.0037,0.41,0.35,0.32,2.46,2.8,0.42,1.41,0.23,0.87,0.21,0.45,0.41,0.52,0.22,0.02542,0.00141,0.23811,2.3811,0.01,0.01,,,,,0.4,0.1,
(Lab Method),,,,,,,PH_EC2,PH_EC2,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,WIA_LGR,WIA_LGR,
7/3/2014 10:45,RainColl_Burn_Low_OC,NM_P211,PrcpColl,408,Grab,Precipitation,6.71,-9999,-9999,28.91,37.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.65,4.28,0.03,0.02,-9999,-9999,"Sampled by: Kate | Field Note: collector set up on 6/16/2014 13:30 | Filtering: 50| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/3/2014 10:50,RainColl_Burn_Low_CC,NM_P213,PrcpColl,408,Grab,Precipitation,6.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sampled by: Kate | Field Note: collector set up on 6/16/2014 13:40 | Filtering: 5| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/3/2014 13:45,RainColl_MCZOB,NM_P214,PrcpColl,528,Grab,Precipitation,6.73,-9999,22.68,75.04,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00191,53.90101,2190.9275,2033.26262,55.94005,369.78603,5487.55672,26313.65351,18825.5957,2.87884,0.71403,0.84004,48.1593,235.88304,0.46313,3.10048,8.76808,169.00673,1.23305,1.03164,96.74638,251.88508,-9999,954.1535,0.03725,0.25777,0.08588,4.37425,344.2389,146.89793,157.16767,39.39368,164.44623,22.75009,76.55546,39.73764,6.20107,40.29208,8.71603,22.91574,3.36596,23.63129,3.40736,0.1118,0.10035,31.91546,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sampled by: Kate | Field Note: collector set up on 6/11/2014 13:15 | Filtering: 120| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/3/2014 13:50,RainColl_MCZOB_CC,NM_P216,PrcpColl,528,Grab,Precipitation,7.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sampled by: Kate | Field Note: collector set up on 6/11/2014 13:20 | Filtering: 20| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/9/2014 10:15,RainColl_MCZOB,NM_P217,PrcpColl,0.083333333,Grab,Precipitation,6.18,-9999,3.7,2.4,1.26,0.66,8.32,0.74,0.49,14.82,5.43,0.755,0.12641,2.46938,72.21518,145.54434,5.84556,184.42239,152.12242,471.88786,1838.31098,1.19643,0.07169,2.3596,16.49495,37.54586,0.0227,0.64717,0.52978,173.69654,0.07657,0.68694,9.56377,10.8333,-9999,642.79243,0.02047,0.11894,0.00991,7.43754,20.47548,16.55617,21.06974,2.74605,9.33384,0.19115,18.53444,1.40547,0.32605,2.44088,0.17713,1.69744,0.14203,1.24501,0.05908,0.08373,0.01252,0.74569,-9999,-9999,1.38,5.77,0.02,0.02,-74.18,-10.12,"Sampled by: Kate | Field Note:  | Filtering: 550| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/9/2014 10:50,RainColl_Burn_Low_CC,NM_P219,PrcpColl,144,Grab,Precipitation,5.4,-9999,5.15,24.94,17.69,0.66,115.89,0.74,0.49,10.88,15.12,54.17,0.00191,17.39017,470.28697,2359.43931,46.82007,494.43679,4616.2943,20567.43762,7531.6795,1.46214,0.11122,0.04911,870.44577,215.98806,0.53063,3.45929,2.39502,34.1963,0.43956,0.69827,33.40995,73.06369,-9999,680.44917,0.03655,0.16242,0.04232,0.13988,99.49145,73.83366,100.54025,16.34629,69.9539,12.15766,28.27872,12.58649,1.90568,11.25153,2.10665,6.64986,0.72391,6.45777,1.32402,0.11203,0.35634,4.50706,-9999,-9999,1.43,0.99,0.07,0.06,-78.67,-11.58,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/9/2014 12:35,RainColl_Burn_Low_CC,NM_P221,PrcpColl,1.75,Grab,Precipitation,5.75,-9999,4.04,44.44,2.01,11.92,57.7,0.74,0.49,0.4,9.09,17.79,0.25868,15.23279,561.22143,848.08201,144.44835,342.76438,691.91568,6411.4249,5048.66005,2.18407,0.39289,0.20258,285.71118,118.64559,0.33892,1.37081,1.10036,29.2249,3.66297,0.70054,31.55004,205.15446,-9999,720.05467,0.01533,0.2114,0.09111,0.26323,41.6723,163.70218,329.96085,44.70436,183.72512,41.69535,12.18855,31.61788,4.95243,36.52587,7.32114,21.72144,3.34693,19.90976,2.94604,0.09897,0.28397,16.66048,-9999,-9999,1.34,2.4,0.03,0.03,-64.39,-8.98,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/9/2014 12:30,RainColl_Burn_Low_OC,NM_P222,PrcpColl,145.75,Grab,Precipitation,5.84,-9999,2.79,2.66,1.08,0.66,4.83,3.87,0.49,7.76,6.19,7.92,0.00191,1.79604,98.66472,171.87121,4.80359,94.42044,283.26131,588.33656,860.18862,1.96435,0.03282,0.41062,39.25626,5.68049,0.0311,0.78652,0.80071,19.30505,0.99434,2.02717,4.71961,5.85194,-9999,704.14233,0.01796,0.12054,0.01795,0.06931,10.79794,8.90795,11.07428,1.30555,6.61945,0.06395,24.37581,1.31834,0.24709,0.96803,0.10647,0.75401,0.05577,0.39921,0.05587,0.08247,0.01113,0.20979,-9999,-9999,1.55,2.92,0.02,0.01,-64.84,-8.95,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/10/2014 12:20,RainColl_Burn_Low_OC,NM_P224,PrcpColl,23.83333333,Grab,Precipitation,5.4,-9999,0.84,1.39,1.17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00191,1.37542,210.8418,55.58638,2.38896,52.90861,146.57794,315.95318,669.42579,0.86066,0.04957,0.37325,13.64146,3.94941,0.00082,1.56398,2.47962,13.23695,0.06707,3.96664,2.64151,4.37662,-9999,406.54351,0.00797,0.13182,0.00216,0.0663,37.56613,5.54618,3.6868,0.80705,2.75502,0.05213,6.32398,0.77277,0.18833,0.60514,0.14239,0.2886,0.10922,0.00036,0.07498,0.0757,0.05212,0.04561,-9999,-9999,1.23,2.67,0.02,0.01,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: 150| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
