DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Ge74,As75,Se78,Sr88,Y89,Zr90,Nb93,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,FI,HIX,SUVA254,SUVA280,dD,d18O,Volume,SamplingNote
MST,,,,hr,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,nm/nm,nm/nm,L/(mg.cm),L/(mg.cm),‰,‰,mL,
(Detection limit),,,,,,,,,0.03,0.061,0.01,0.39,0.47,0.97,0.42,0.45,0.5,0.51,0.0038,0.1044,0.0262,0.0071,0.0045,2.0251,0.5926,0.0961,0.0318,0.0433,0.0108,0.0089,0.0043,0.0081,0.007,0.0025,0.0041,0.0276,0.08065,0.0195,0.0218,0.0413,0.48,0.0026,0.00067,0.0016,0.0015,0.0015,0.0015,0.0028,0.0037,0.41,0.35,0.32,2.46,2.8,0.42,1.41,0.23,0.87,0.21,0.45,0.41,0.52,0.22,0.0254,0.0014,2.3811,,,0.004,0.004,0.4,0.1,,
(Lab Method),,,,,,,PH_EC2,PH_EC2,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,WIA_LGR,WIA_LGR,,
5/10/2017 11:30,RainColl_Burn_Low_OC,NM_P482,PrcpColl,,Grab,Precipitation,4.42,-9999,6.66,132.09,1.17,187.47,59,0.49,0.21,0.23,18.78,5.8,0.002,12.27,1199.19,1246.35,112.52,237.14,144.56,7055.22,5264.64,1.23,0.47,0.46,278.77,157.98,0.67,17.25,0.43,28.8,0.1,1.48,6.15,34.02,111.99,0.21,0.06,0.15,0.12,0.05,0.02,0.03,27.03,91.98,234.08,31.98,116.12,27.1,6.9,36.48,3.46,18.12,3.56,16.48,2.33,12.25,3.83,0.06,0.28,197,1.33,2.74,0.0075,0.0057,-32.46,-6.8,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
5/10/2017 11:35,RainColl_Burn_Low_CC,NM_P483,PrcpColl,,Grab,Precipitation,6.53,-9999,7.05,3.64,4.5,1.67,21.06,2.46,0.21,5.04,23.87,17.79,0.002,2.68,545.4,367.16,10.29,88.73,601.97,1043.86,2624.09,1.56,0.25,0.01,33.41,15.73,0.23,13.77,1.68,14.25,0.09,0.47,4.89,16.19,26.78,0.03,0.04,0.17,0.06,0.05,0.04,0.03,12.35,25.78,46.9,7.52,24.62,11.56,3.73,18.67,1.12,3.91,2.17,6.92,0.56,4.33,1.1,0.07,0.17,195.37,1.25,4.05,0.0181,0.0132,-24.37,-4.24,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
5/20/2017 12:00,RainColl_Burn_Low_OC,NM_P484,PrcpColl,240.5,Grab,Precipitation,6.43,-9999,1.23,1.5,0.8,1.48,10,0.49,0.21,20.45,7.4,1.42,0.01,1.05,229.45,130.7,2.9,4.56,34.3,216.59,1035.65,0.11,0.16,1.03,11.63,9.93,0.03,0.2,0.33,9.58,0.1,0.01,0.16,6.25,8.15,0.001,0.04,0.05,0.04,0.01,0.07,0.05,5.13,7.56,12.72,3,9.25,4.28,1.58,10.94,0.36,0.44,0.57,5.84,0.51,2.53,0.96,0.08,0.21,191.72,1.58,1.97,0.02,0.014,-76.43,-8.56,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
5/20/2017 12:00,RainColl_Burn_Low_CC,NM_P485,PrcpColl,240.4,Grab,Precipitation,5.62,-9999,-9999,14.02,0.17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.01,5.35,419.74,426.48,14.96,267.56,76,3237.9,1838.58,0.12,0.14,0.74,158.63,8.73,0.13,1.03,1.78,15.34,0.06,0.28,4.15,17.07,14.78,0.02,0.03,0.05,0.12,0.001,0.04,0.001,27.7,13.8,18.25,3.27,12.22,4.98,1.12,19.25,0.59,1.41,0.58,3.31,0.21,2.65,0.87,0.07,0.13,200.19,1.3,3.14,0.0174,0.0133,-9999,-9999,500,Sampled by: Adam | Splits: cat; TOC | FM comment: RB
6/2/2017 15:03,RainColl_Burn_Low_OC,NM_P486,PrcpColl,315,Grab,Precipitation,6.01,-9999,-9999,5.5,0.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.01,3.21,229.43,269.29,6.69,78.45,0.85,1385.19,2242.29,0.39,0.13,1.12,1.66,0.32,0.14,22.6,1.04,14.57,0.06,1.78,1.71,10.23,10.49,0.06,0.03,0.01,0.02,0.001,0.1,0.03,18.89,11.39,15.37,3.65,11.11,5.12,2.28,11.88,0.64,2.8,0.3,2.97,0.21,3.01,0.79,0.08,0.21,198.5,1.43,2.44,0.0111,0.0078,-9999,-9999,500,Sampled by: Adam | Splits: cat; TOC | FM comment: RB
6/2/2017 15:04,RainColl_Burn_Low_CC,NM_P487,PrcpColl,315.1,Grab,Precipitation,4.62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.03,30.86,1433.74,1641.35,208.95,417.17,655.54,21415.73,7618.63,2.89,0.55,1.3,474.63,52.24,0.99,31.38,2.57,68.08,0.09,4.73,9.54,50.67,74.24,0.21,0.04,0.001,0.02,0.22,0.12,0.09,47.04,66.15,140.98,21.14,75.33,16.63,5.54,22.87,1.96,9.46,3.45,10.96,0.9,14.93,2.25,0.04,0.2,193.78,-9999,-9999,-9999,-9999,-9999,-9999,500,Sampled by: Adam | Splits: cat | FM comment: RB
6/12/2017 10:18,RainColl_MCZOB,NM_P488,PrcpColl,,Grab,Precipitation,6.12,-9999,2.98,7.71,2.48,2.44,10.72,4.01,0.21,21.97,15.42,5.87,0.01,5.36,271.16,202.06,5.86,116.56,148.85,1006.94,1838.73,0.8,0.57,0.61,17.86,16.41,0.15,21.33,1.05,20.41,0.03,1.8,8.19,6.72,11.04,0.01,0.02,0.04,0.03,0.03,0.04,0.12,22.13,8.67,13.77,3.3,11.28,5.6,2.32,10.85,1.09,1.08,0.63,2.44,0.21,2.67,0.79,0.08,0.18,192.73,1.43,3.26,0.0121,0.0079,-30.48,-3.91,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
6/12/2017 10:12,RainColl_MCZOB_CC,NM_P489,PrcpColl,,Grab,Precipitation,7.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,500,Sampled by: Adam | Splits: pH only
6/13/2017 10:01,RainColl_Burn_Low_OC,NM_P490,PrcpColl,259,Grab,Precipitation,6.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.01,18.67,1216.93,839.38,31.38,262.87,6.98,6946.72,6137.71,0.45,1.35,0.71,1.65,21.97,0.15,11.52,3.72,13.88,0.06,2.93,9.75,25.97,60.22,0.18,0.03,0.06,0.02,0.001,0.02,0.45,33.92,37.46,66.28,9.92,38.94,11.39,3.31,17.01,1.25,8.6,2.55,11.42,0.39,7.05,2.29,0.06,0.17,188.68,-9999,-9999,-9999,-9999,-9999,-9999,500,Sampled by: Adam
6/13/2017 10:03,RainColl_Burn_Low_CC,NM_P491,PrcpColl,259,Grab,Precipitation,5.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,500,Sampled by: Adam | Splits: pH only
