DateTime,SiteCode,SampleCode,SamplingMethod,SampleSize,SampleType,SampleMedium,Depth,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Zr90,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,FI,HIX,SUVA254,SUVA280,dD,d18O,SamplingNote
MST,,,,g,,,,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,mg/L,mg/L,nm/nm,nm/nm,L/(mg.cm),L/(mg.cm),‰,‰,
(Detection limit),,,,,,,,0.0002500,0.0002800,0.0001700,1.3200000,1.3700000,1.4800000,0.9800000,0.8000000,1.0300000,1.5100000,0.0038000,0.1044000,0.0262000,0.0071000,0.0045000,2.0251000,0.5926000,0.0961000,0.0318000,0.0433000,0.0108000,0.0089000,0.0043000,0.0081000,0.0070000,0.0025000,0.0041000,0.0276000,0.0195000,0.0218000,0.0413000,0.4800000,0.0026000,0.0016000,0.0015000,0.0015000,0.0015000,0.0028000,0.0037000,0.4100000,0.3500000,0.3200000,2.4600000,2.8000000,0.4200000,1.4100000,0.2300000,0.8700000,0.2100000,0.4500000,0.4100000,0.5200000,0.2200000,0.0254000,0.0014000,2.3811000,0.0100000,0.0100000,,,0.0040000,0.0040000,0.4000000,0.1000000,
(Lab Method),,,,,,,,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,WIA_LGR,WIA_LGR,
3/15/2015 8:00,UnburnedZOBPit1,NM_P353,Snow,165,Grab,snow,Layer 1,0.5500000,3.3300000,0.3900000,0.6600000,2.5800000,0.7400000,0.4900000,5.7900000,1.9600000,0.7600000,0.3020000,92.5540000,45.0470000,42.6190000,6.4380000,38.9650000,33.0550000,205.4020000,207.6170000,0.0720000,0.1040000,0.4720000,10.0610000,1.3220000,0.0260000,0.0730000,0.0260000,1.2920000,0.0400000,5.0040000,0.9780000,10.1100000,0.0400000,0.0920000,0.0130000,0.0430000,0.0370000,0.1510000,2.4870000,19.2910000,16.3710000,10.4570000,9.6300000,7.1630000,5.1710000,7.0730000,4.5570000,6.0680000,4.2360000,9.6780000,6.3910000,8.5160000,6.6680000,0.0720000,0.0130000,19.2320000,0.0690000,0.0050000,1.7420000,0.3050000,0.0320000,0.0200000,-89.0500000,-12.7300000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit1,NM_P354,Snow,168.9,Grab,snow,Layer 2,0.6000000,3.6500000,0.2200000,0.6600000,9.1500000,0.7400000,0.4900000,17.1100000,5.6200000,0.7600000,0.6160000,93.9070000,205.1380000,104.3020000,11.8920000,72.3510000,92.8090000,694.4790000,776.8070000,1.3810000,0.2820000,0.4000000,11.3430000,13.6900000,0.0470000,0.2620000,0.7310000,2.8230000,0.2540000,3.9370000,5.4280000,17.0010000,0.0500000,0.1140000,0.0210000,0.0110000,0.0280000,0.1750000,4.4330000,21.4910000,24.5270000,10.4390000,14.4700000,13.2700000,6.8490000,5.5090000,4.6750000,5.4160000,4.4450000,1.7520000,3.2010000,7.6170000,1.5920000,0.0350000,0.0210000,35.8460000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit1,NM_P355,Snow,190.7,Grab,snow,Layer 3,0.6400000,3.0100000,0.2200000,0.6600000,3.1800000,0.7400000,0.4900000,8.1900000,1.1500000,0.7600000,0.0150000,95.4080000,48.9460000,45.6540000,4.3280000,73.7930000,68.3640000,621.5310000,282.3370000,1.3910000,0.1010000,0.2380000,14.9280000,1.0500000,0.0150000,0.1340000,0.1360000,1.5680000,0.2030000,1.1500000,1.2230000,1.8360000,0.0800000,0.0760000,0.0160000,0.0650000,0.0360000,0.1380000,3.4640000,7.6050000,2.7540000,3.9970000,0.8780000,2.5630000,4.7660000,8.0930000,0.2350000,2.4300000,1.1180000,2.1320000,1.3040000,1.1200000,1.6970000,0.0270000,0.0150000,43.8940000,-9999.0000000,-9999.0000000,1.4820000,0.7670000,0.0310000,0.0200000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit2,NM_P356,Snow,164.2,Grab,snow,Layer 1,0.4600000,2.8900000,0.2400000,0.6600000,5.9100000,0.7400000,0.4900000,10.9100000,2.0600000,0.7600000,0.1970000,88.4410000,37.8690000,22.6440000,4.1170000,50.0360000,21.0570000,74.7600000,137.1550000,0.6140000,0.1870000,0.2880000,4.1280000,2.0700000,0.0240000,0.0510000,0.0180000,0.4060000,0.3040000,2.9030000,0.6040000,7.1030000,0.0100000,0.0850000,0.0110000,0.0200000,0.0520000,0.1320000,8.7500000,12.0420000,7.6790000,7.0340000,5.1780000,10.6260000,4.3670000,1.1770000,1.4020000,5.4100000,2.4320000,2.9010000,5.3780000,8.3070000,4.2240000,0.0280000,0.0100000,21.0570000,-9999.0000000,-9999.0000000,1.7370000,0.2290000,0.0260000,0.0180000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit2,NM_P357,Snow,197.4,Grab,snow,Layer 2,0.6000000,2.2600000,0.4000000,0.6600000,5.4900000,0.7400000,0.4900000,15.6500000,4.7700000,0.7600000,0.3040000,97.2740000,171.2680000,72.3220000,8.2700000,50.1510000,40.3630000,250.7130000,537.5360000,0.0360000,0.2630000,0.3460000,11.5760000,11.2990000,0.0350000,4.1360000,0.4230000,4.9100000,0.2910000,5.7480000,4.1360000,10.5900000,0.0400000,0.1390000,0.0150000,0.0420000,0.0750000,0.1470000,15.4740000,13.8710000,12.6160000,6.0240000,9.8200000,0.9030000,7.4180000,7.7920000,2.8800000,3.7760000,2.0620000,6.7220000,4.8370000,5.7910000,3.3800000,0.0390000,0.0750000,36.7710000,-9999.0000000,-9999.0000000,1.6870000,0.4590000,0.0220000,0.0140000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit2,NM_P358,Snow,217.8,Grab,snow,Layer 3,0.5400000,1.4100000,0.3000000,0.6600000,2.9500000,0.7400000,0.4900000,9.6000000,3.2700000,0.7600000,0.4060000,91.6820000,55.5830000,48.1400000,5.9740000,55.6280000,25.9670000,224.5630000,395.5430000,0.6420000,0.1000000,0.5200000,11.0590000,2.2010000,0.0150000,0.2420000,0.1730000,2.8970000,0.3310000,4.2900000,1.4890000,5.4310000,0.1000000,0.0520000,0.0040000,0.0250000,0.0500000,0.1460000,12.1360000,10.9760000,5.7430000,4.8440000,7.0220000,10.6770000,5.8350000,7.0150000,1.2210000,1.1640000,0.7670000,6.8360000,2.2390000,7.7160000,4.3750000,0.0360000,0.0090000,25.7370000,0.1450000,0.0080000,1.5310000,1.1200000,0.0420000,0.0280000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit3,NM_P359,Snow,150.5,Grab,snow,Layer 1,0.4600000,1.1500000,0.3200000,0.6600000,4.2900000,0.7400000,0.4900000,9.4700000,5.2800000,0.7600000,0.9530000,95.2920000,131.6860000,32.9070000,6.1810000,36.6270000,18.3650000,30.2610000,213.0280000,0.7190000,0.2530000,0.3480000,2.9630000,2.3680000,0.0090000,0.0940000,0.0600000,1.5190000,0.1930000,6.1690000,0.8510000,5.8560000,0.0200000,0.1020000,0.0120000,0.0230000,0.0480000,0.1530000,14.2140000,11.4100000,8.7490000,5.3190000,5.9580000,7.1460000,4.3050000,0.1390000,3.2100000,4.7450000,2.2320000,6.0100000,3.4600000,3.9550000,4.4620000,0.0550000,0.0170000,13.9780000,-9999.0000000,-9999.0000000,1.4220000,0.2540000,0.0540000,0.0430000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
