DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,dD,d18O,FI,HIX,UVA254,UVA280,SUVA254,SUVA280,Comments
MST,,,,hr,,,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,nm/nm,nm/nm,1/cm,1/cm,L/(mg.cm),L/(mg.cm),
(Detection limit),,,,,,,0.00023,0.00026,0.0002,2.37,0.82,3.34,1.9,0.51,0.84,1.45,0.004243,2.26495,0.75816,0.040305,0.004243,0.66,3.266833,0.14425,0.424264,0.010607,0.152735,0.123037,0.002121,0.17607,0.125158,0.006364,0.002121,0.014849,0.008485,0.271529,0.012728,0.763675,0.076368,0.012728,0.038184,0.178191,0.006364,0.019092,2.100107,4.5184,0.360624,0.678823,0.190919,0.975807,0.784889,0.042426,0.296885,0.042426,0.296885,0.0212,0.063,0.0212,0.065761,0.002121,0.136492,0.4,0.1,,,,,,,
(Lab Method),,,,,,,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,WIA_LGR,WIA_LGR,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,UV_Vis,UV_Vis,
3/12/2012 0:00,UnburnLowSnow12,JEMEZ_P82,Snow,,Grab,Snow,-9999,1.633,0.4381,1.185,0.41,1.67,0.95,13.96,0.42,0.725,0.0021215,1.132475,133.56,45.62,7.47,29.75,189.6,8.47,38.58,0.24,0.29,0.0615185,7.19,3.06,0.05,0.4,2.15,6.39,0.0042425,0.48,2.96,34.53,0.12,0.01,0.03,0.03,0.02,7.87,50.81,72.06,7.81,35.17,6.13,5.14,7.51,1.09,8.4,1.68,3.26,0.69,2.17,0.2,0.0328805,0.12,1.29,-103.25,-15.08,1.55,0.914,0.013,0.013,0.008,0.008,zip-lock bag; integrated old snow
3/13/2012 0:00,Tower_Vcm,JEMEZ_P83,Snow,,Grab,Snow,-9999,5.04,0.5223,1.185,0.41,1.67,0.95,18.41,0.42,0.725,0.0021215,1.132475,165.71,121.05,11.39,42.68,177.25,21.31,50.52,0.38,0.54,0.0615185,43.04,7.16,0.07,0.15,0.6,3.02,0.03,0.57,4.86,56.55,0.13,0.01,0.03,0.03,0.03,3.12,77.05,130.67,17.38,69.44,23.93,4.1,12.21,2.05,8.01,1.66,4,0.49,5.47,0.78,0.0328805,0.04,3.22,-86.43,-11.93,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; TP#1
3/13/2012 0:00,MC_SnowLys_SE,JEMEZ_P84,Snow,,Grab,Snow,-9999,0.6919,0.1139,1.185,0.41,1.67,0.95,0.255,0.42,0.725,0.0021215,1.132475,174.45,5.56,4.19,27.52,162.78,0.67,15.28,0.33,0.03,0.0615185,0.62,0.91,0.062579,0.68,4.05,8.09,0.0042425,0.22,0.25,0.78,0.09,0.01,0.01,0.05,0.003182,0.58,1.0500535,3.13,0.180312,7.74,4.99,0.4879035,0.3924445,0.021213,0.1,0.021213,0.1484425,0.0106,0.0315,0.59,0.0328805,0.9,0.1,-109.07,-16.2,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; NLYC#4
3/13/2012 0:00,MC_SnowLys_SE,JEMEZ_P85a,Snow,,Grab,Snow,-9999,0.7119,0.3513,1.185,0.41,1.67,0.95,10.04,0.42,0.725,0.0021215,1.132475,17.03,31.85,5.4,34.86,189.11,3.46,27.29,0.42,0.28,0.0615185,2.19,1.71,0.02,0.11,0.36,13.92,0.0042425,0.22,1.96,13.83,0.15,0.01,0.03,0.11,0.05,97.63,8.89,17.78,2.47,16.89,12.94,53.33,8.59,0.021213,3.16,0.49,1.28,0.3,0.69,0.3,0.0328805,0.02,1.19,-82.83,-12.52,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; NLYC #2; processing folks (David B. and Lauren) formed 2 splits
3/13/2012 0:00,MC_SnowLys_SE,JEMEZ_P85b,Snow,,Grab,Snow,-9999,0.8971,0.3361,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; NLYC #2; processing folks (David B. and Lauren) formed 2 splits
3/11/2012 0:00,BurnLowSnow12,JEMEZ_P86,Snow,,Grab,Snow,-9999,0.6632,0.1579,1.185,0.41,1.67,0.95,0.255,0.42,0.725,0.0021215,1.132475,201.09,21.13,5.73,30.32,179.26,2.1,23,0.27,0.22,0.0615185,4.12,2.24,0.03,0.08,0.26,1.71,0.0042425,0.19,1.37,7.66,0.1,0.04,0.02,0.01,0.01,1.84,7.76,10.94,0.89,12.43,14.42,2.09,3.78,0.021213,0.1484425,0.5,2.09,0.0106,0.0315,0.0106,0.0328805,0.05,0.4,-108.16,-15.26,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; 42 to ground; integrated grab
3/11/2012 0:00,BurnUpSnow12,JEMEZ_P87,Snow,,Grab,Snow,-9999,2.334,0.2951,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-118.01,-16.41,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; 0-46; integrated grab
3/11/2012 0:00,BurnLowSnow12,JEMEZ_P88,Snow,,Grab,Snow,-9999,0.9393,0.3748,1.185,0.41,1.67,0.95,10.46,10.04,0.725,0.0021215,1.132475,89.81,54.4,6.35,36.33,186,3.11,42,0.5,0.68,0.0615185,7.7,2.76,0.07,0.17,0.43,2.56,0.0042425,0.59,5.28,25.32,0.12,0.01,0.04,0.02,0.03,3.49,30.78,47.52,5.35,27.52,8.61,2.08,6.43,1.19,5.15,0.99,2.77,0.2,0.69,0.89,0.0328805,0.06,2.47,-75.91,-11.4,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; 
3/12/2012 0:00,UnburnUpSnow12,JEMEZ_P89,Snow,,Grab,Snow,-9999,-9999,-9999,1.185,0.41,1.67,0.95,10.14,0.42,0.725,0.0021215,1.132475,124.36,53.82,4.61,34.61,164.42,2.27,39.56,0.33,0.72,0.0615185,6.45,3.32,0.06,0.36,4.19,9.97,0.0042425,0.38,4.97,9.33,0.12,0.01,0.03,0.01,0.03,3.44,7.93,19.36,2.11,17.76,13.24,2.41,7.12,0.4,2.91,1.1,2.61,0.2,0.5,0.3,0.0328805,3.19,1.1,-71.27,-11.37,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; new
3/12/2012 0:00,UnburnUpSnow12,JEMEZ_P90,Snow,,Grab,Snow,-9999,0.7027,0.3178,1.185,0.41,1.67,0.95,11.55,0.42,0.725,0.0021215,1.132475,122.02,30.61,5.22,32.16,170.24,1.78,30.49,0.3,0.23,0.0615185,4.68,2,0.03,0.08,1.22,3.36,0.0042425,0.32,2.16,14.83,0.12,0.01,0.04,0.01,0.02,4.35,13.73,23.55,3.41,15.43,8.22,3.61,3.21,0.9,3.21,0.4,2.61,0.1,0.7,0.2,0.0328805,0.39,0.6,-106.23,-15.25,1.26,1.415,0.009,0.009,0.0128,0.0128,zip-lock bag; 0-65; new snow
3/12/2012 0:00,UnburnLowSnow12,JEMEZ_P91,Snow,,Grab,Snow,-9999,0.9595,0.405,1.185,0.41,1.67,0.95,12.04,11.19,0.725,0.0021215,1.132475,78.18,65.88,5.32,38.82,165.07,2.37,48.15,0.46,0.9,0.0615185,8.18,2.97,0.07,0.25,0.4,2.53,0.03,0.46,6.23,22.14,0.12,0.01,0.03,0.01,0.04,2.54,17.71,33.22,5.6,31.08,10.6,1,6,0.7,3.4,0.3,3.3,0.9,3.9,0.7,0.0328805,0.09,1.4,-64.31,-10.23,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; 
3/11/2012 0:00,BurnUpSnow12,JEMEZ_P92,Snow,,Grab,Snow,-9999,1.004,0.3942,1.185,0.41,1.67,0.95,0.255,0.42,0.725,0.0021215,1.132475,137.69,50.75,5.79,39.5,176.31,2.92,41.23,0.43,0.73,0.19,7.65,4.2,0.07,0.17,1.31,3.97,0.0042425,0.37,4.85,27.82,0.12,0.01,0.02,0.02,0.02,2.51,24.4,50.1,6.9,34.63,12.5,1.5,6,0.8,3.7,0.8,2.8,0.5,2.2,0.6,0.0328805,0.13,2.2,-71.68,-11.04,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; new snow
3/13/2012 0:00,Tower_Vcm,JEMEZ_P93,Snow,,Grab,Snow,-9999,9.407,0.3663,1.185,0.41,1.67,0.95,0.255,0.42,0.725,0.0021215,1.132475,109.64,127.28,9.19,27.16,93.51,32.16,32.06,0.5,0.23,0.0615185,119.94,4.92,0.04,0.19,0.55,4.02,0.04,0.34,3.35,44.27,0.03,0.01,0.02,0.02,0.03,7.37,58.49,87.04,12.43,39.77,19.9,5.37,13.53,1.69,5.77,1.29,4.08,0.0106,2.88,0.1,0.0328805,0.07,1.39,-101.85,-14.22,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; TP#2
3/13/2012 0:00,Tower_Vcm,JEMEZ_P94,Snow,,Grab,Snow,-9999,1.917,301.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0021215,1.132475,94.44,33.84,8.67,19.58,69.57,5.89,18.81,0.54,0.18,0.0615185,27.1,2.25,0.02,0.04,0.09,3.75,0.0042425,0.14,1.2,11.53,0.03,0.01,0.019092,0.0890955,0.02,1.41,12.03,31.1,4.57,18.49,4.97,0.99,3.18,0.6,2.39,0.021213,0.3,0.5,0.0315,0.3,0.0328805,0.0010605,0.3,-105.26,-14.47,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; TP#3
3/11/2012 0:00,BurnLowSnow12,JEMEZ_P95,Snow,,Grab,Snow,-9999,1.095,0.4201,1.185,0.41,1.67,0.95,0.255,10.01,0.725,0.0021215,1.132475,36.8,60.67,4.71,17.81,82.67,3.51,46.09,0.43,0.7,0.0615185,8.55,3.19,0.08,0.17,0.53,2.6,0.0042425,0.54,5.96,25.17,0.04,0.01,0.019092,0.05,0.01,5.96,37.01,65.15,7.77,28.57,12.89,3.74,12.4,1.08,6.89,1.08,3.84,0.69,0.49,0.59,0.0328805,0.04,1.48,-77.68,-11.93,-9999,-9999,-9999,-9999,-9999,-9999,zip-lock bag; fresh
5/3/2012 0:00,Bucket_ZOB5,JEMEZ_P96,Bucket5G,,Grab,Snow,-9999,0.8962,0.1853,1.185,0.41,1.67,0.95,0.255,0.42,0.725,0.0021215,1.132475,146.27,13.99,6.58,25.4,73.7,3.13,27.12,0.58,0.17,0.04,2.54,1.82,0.01,0.1,0.1,3.71,0.0042425,0.2,0.66,14.34,0.02,0.01,0.01,0.02,0.01,57.13,9.16,19.72,2.09,13.74,18.13,31.13,5.38,0.021213,1.39,0.1,1,0.3,1,0.5,0.0328805,0.0010605,0.7,-113.03,-16.28,-9999,-9999,-9999,-9999,-9999,-9999,Snow Lysimeter
5/3/2012 0:00,Bucket_ZOB3,JEMEZ_P97,Bucket5G,,Grab,Snow,-9999,3.142,0.8256,1.185,20.69,1.67,0.95,35.69,12.25,0.725,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-89.86,-12.98,-9999,-9999,-9999,-9999,-9999,-9999,Snow Lysimeter; Two 60mL bottles
7/16/2012 18:00,RainColl_HQ,JEMEZ_P98,PrcpColl_Auto,24,Automated,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.54,0.86,-9999,-9999,-9999,-9999,-9999,-9999,Isco
7/26/2012 18:00,RainColl_HQ,JEMEZ_P99,PrcpColl_Auto,24,Automated,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-37.44,-5.59,-9999,-9999,-9999,-9999,-9999,-9999,Isco
7/12/2012 18:00,RainISCO_JC,JEMEZ_P100,PrcpColl_Auto,24,Automated,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-39.56,-6.32,-9999,-9999,-9999,-9999,-9999,-9999,Isco
