DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F-,Cl-,NO2-,Br-,NO3-,SO4-,PO4-,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Ge74,As75,Se78,Sr88,Y89,Zr90,Nb93,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,FI,HIX,SUVA254,SUVA280,dD,d18O,Volume,SamplingNote
MST,,,,hr,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,nm/nm,nm/nm,L/(mg.cm),L/(mg.cm),‰,‰,mL,
(Detection limit),,,,,,,,,0.03,0.061,0.01,0.39,0.47,0.97,0.42,0.45,0.5,0.51,0.003,0.179,0.166,0.091,0.085,5.172,0.24,1.218,0.464,0.079,0.034,0.076,0.031,0.008,0.016,0.066,0.044,0.069,0.07,0.07,0.375,0.03,0.48,0.001,0.002,0.01,0.001,0.004,0.016,0.004,0.08,0.41,0.35,0.32,2.46,2.8,0.42,1.41,0.23,0.87,0.21,0.45,0.41,0.52,0.22,0.009,0.002,2.3811,,,0.004,0.004,0.4,0.1,,
(Lab Method),,,,,,,PH_EC2,PH_EC2,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,WIA_LGR,WIA_LGR,,
4/24/2018 10:09,RainColl_MCZOB_CC,NM_P516,PrcpColl,1080,Grab,Precipitation,6.99,-9999,19.52,37.05,41.29,11.16,100.16,0.49,0.21,0.23,9.93,9.3,0.002,20.74,1727,2536,56.47,782,1085.69,12295,12025,6.83,0.46,1.01,541.31,127.75,0.51,3.27,3.56,13.48,0.11,0.73,0.33,41.03,79.03,0.1,0.01,0.14,0.0005,0.12,0.02,0.05,120.69,88.08,180.78,19.49,86.71,6.72,3.19,22.61,2.87,14.79,2.97,3.61,1.34,6.92,1.59,0.01,0.28,12.13,1.45,1.05,0.03,0.03,-27.55,-5.15,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
4/24/2018 10:30,RainColl_MCZOB,NM_P517,PrcpColl,1080,Grab,Precipitation,7.14,-9999,10.36,8.01,21.92,0.2,7.58,0.49,0.21,0.23,10.13,0.26,0.01,7.43,243,721.99,11.42,534,324.46,1530.57,9064,0.7,0.63,0.04,292.74,7.7,0.27,0.33,0.81,8.34,0.06,0.5,0.19,27.64,22.63,0.01,0.01,0.18,0.0005,0.01,0.03,0.16,26.21,25.63,46.51,3,21.98,2.28,0.45,4.12,0.81,3.12,1.34,1.61,0.72,3.2,0.11,0.01,0.04,1.19,1.53,1.27,0.02,0.02,-18.12,-2.43,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/1/2018 12:32,RainColl_MCZOB_CC,NM_P518,PrcpColl,2378.4,Grab,Precipitation,5.12,-9999,15.99,45.3,40.41,39.63,23.9,0.49,0.21,0.23,29.03,59.4,0.002,16.25,226,2077,63.04,412,2941.83,12612,7190,10.23,0.02,0.28,583.02,146.29,0.37,1.6,4.35,30.66,0.16,0.46,0.4,27.52,94.96,0.07,0.01,0.07,0.0005,0.12,0.02,0.08,87.47,118.02,202.62,29.27,103.77,27.04,5.43,29.06,6.37,17.61,6.74,10.09,3.61,9.37,2.61,0.01,0.32,12.86,1.33,0.69,0.04,0.04,-65.75,-10.53,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/1/2018 12:40,RainColl_MCZOB,NM_P519,PrcpColl,2378.2,Grab,Precipitation,5.84,-9999,2.54,13.64,14.08,2.9,5.86,3.11,4.24,12.86,7.75,0.26,0.01,1.43,65,67,7.46,50,87.39,141,800,0.04,0.14,0.04,26.92,0.4,0.03,0.14,0.1,7.55,0.05,0.07,0.32,3.92,9.02,0.01,0.01,0.01,0.01,0.01,0.03,0.04,9.11,11.94,28.34,4.67,8.27,1.21,0.79,1.43,3.09,4.3,2.31,1.21,3.33,4,3.46,0.01,0.001,1.64,1.32,1.52,0.002,0.002,-57.91,-9.09,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/1/2018 14:22,RainColl_Burn_Low_CC,NM_P520,PrcpColl,,Grab,Precipitation,5.4,-9999,5.64,61.44,16.08,77.7,68.33,0.49,4.21,3.75,23.83,70.32,0.01,21.85,1231,2971,125.97,2341,3993.36,15874,15491,11.9,0.37,0.55,1220.52,386.08,0.74,1.3,2.16,36.64,0.44,3.61,0.3,119.68,141.9,0.07,0.03,0.05,0.0005,0.2,0.01,0.08,118.5,160.41,307.46,38.73,134.31,33.89,6.45,41.34,6.25,24.7,6.17,13.34,3.16,17.98,3.12,0.03,0.31,6.94,1.39,0.85,0.03,0.03,-8.88,0.81,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/1/2018 14:22,RainColl_Burn_Low_OC,NM_P521,PrcpColl,,Grab,Precipitation,7.41,-9999,-9999,53.21,71.22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.01,17.72,3674,4887,12.24,1753,20089.54,37640.09,11695,56.1,0.28,0.25,4.74,14.5,0.84,1.61,12.86,38.45,0.03,2.02,0.64,63.61,40.28,0.05,0.02,2.89,0.0005,0.1,0.01,0.37,23.68,66.27,98.65,11.12,46.85,6.09,2.82,5.53,3.1,13.32,2.5,4.03,1.44,5.36,2.53,0.01,0.12,6.92,2.07,5.68,0.02,0.01,-9999,-9999,75,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC | Fm comment: DB
8/7/2018 12:30,RainColl_MCZOB_CC,NM_P522,PrcpColl,144,Grab,Precipitation,7.19,-9999,34.62,27.73,81.77,3.1,26.84,0.49,0.21,0.23,60.92,84.43,0.01,10.25,125,897,20.26,221,3773.15,11104.37,2505,10.39,0.19,0.23,102.67,23.7,0.08,1.58,4,5.79,0.03,0.24,1.46,9.48,28.76,0.02,0.01,0.09,0.0005,0.02,0.01,0.05,28.23,28.49,50.34,4.81,34.93,3.63,1.44,4.72,1.99,6.27,1.83,4.04,1.72,5.89,1.69,0.01,0.12,2.64,1.42,0.66,0.03,0.02,-40.72,-5.99,475,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
