DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,Cond,pH,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,B,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,dD,d18O,NH4-N,Ortho-P,FI,HIX,SUVA254,SamplingNote
MST,,,,hr,,,pH,uS/cm,,meq/kg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,mg/L,mg/L,nm/nm,nm/nm,L/(mg.cm),
(Detection limit),,,,,,,,,,,0.00023,0.00026,0.0002,0.11,2.5,0.13,0.16,0.25,2.5,0.22,0.983,1.141,2.332,1.449,0.724,0.109,1.052,0.014,0.04,0.015,0.012,0.006,0.004,0.042,0.039,3.69,0.366,0.096,0.684,0.723,0.138,0.114,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.012,0.342,0.003,0.00029,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,0.4,0.1,0.01,0.01,,,,
(Lab Method),,,,,,,PH_EC1,PH_EC1,PH_EC2,GA_titration,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,
3/13/2011 0:00,MC_ZOB_LowTrans2,JEMEZ_P9,Snow,,Grab,Snow,-9999,-9999,6.14,-0.29,-9999,4.292,0.2504,0.359,0.239,-9999,0.239,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0344,0.0111,-9999,0.00349,0.000529,0.009,-9999,-9999,-9999,10.7,18.93,24.3,-9999,-9999,0.255,0.0962,0.0015,13.1,4.3,0.0197,0.1488,0.905,2.85,0.0686,0.0137,-9999,26,0.0135,0.0211,0.003,0.0741,0.02,6.33,29.7,50.1,7.21,12.7,7.42,1.83,8.55,0.974,4.32,0.967,2.25,0.1886,1.55,0.0285,0.005,0.0145,4.39,-113.1,-14.93,0.0523,0.0206,-9999,-9999,-9999,E-W ZOB lower transect; surface
3/13/2011 0:00,MC_ZOB_LowTrans3,JEMEZ_P10,Snow,,Grab,Snow,-9999,-9999,5.13,-0.78,-9999,0.9367,0.06052,0.266,0.317,0.381,0.265,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00967,0.0221,-9999,0.000628,0.000022,0.021,-9999,-9999,-9999,1.76,1.2,0.3615,-9999,-9999,0.0464,0.0224,0.0015,2.23,0.123,0.0007,0.1137,1.198,8.84,0.042,0.0831,-9999,4.01,0.053,1.89,0.001,0.073,0.013,1.6,4.63,9.14,1.393,2.9,1.301,0.441,3.29,0.12,0.683,0.09,0.225,0.114,0.114,0.0285,0.004,0.03754,0.879,-153.29,-20.87,0.0226,0.0244,-9999,-9999,-9999,E-W ZOB lower transect; integrated 5-35cm depth; Shaded sample
3/13/2011 0:00,MC_ZOB_LowTrans3,JEMEZ_P11,Snow,,Grab,Snow,-9999,-9999,6.25,-0.6,-9999,1.57,0.2653,0.399,0.807,0.739,0.411,0.066,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0618,0.0224,-9999,0.00576,0.001216,0.017,-9999,-9999,-9999,8.02,24.2,13.93,-9999,-9999,0.296,0.148,0.0015,11.4,3.41,0.025,0.119,0.514,1.065,0.0952,0.0787,-9999,20.9,0.0424,0.0527,0.001,0.075,0.031,5.04,24.6,48,6.48,13.3,5.45,1.7,7.72,0.712,4.31,0.75,2.097,0.1563,1.58,0.04,0.006,0.0199,4.16,-82.19,-11.43,0.067,0.0117,-9999,-9999,-9999,E-W ZOB lower transect; integrated 5-35cm depth; Shaded sample
3/13/2011 0:00,MC_ZOB_LowTrans4,JEMEZ_P12,Snow,,Grab,Snow,-9999,-9999,4.64,-0.7,-9999,1.562,0.09224,0.263,0.325,0.356,0.16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0149,0.0374,-9999,0.001118,0.000187,0.011,-9999,-9999,-9999,1.52,0.5,4.9,-9999,-9999,0.0549,0.0292,0.0015,4.73,2.71,0.0007,0.085,0.771,1.42,0.0497,0.0484,-9999,4.48,0.00379,0.11,0.003,0.0706,0.013,1.12,5.26,11,1.624,2.04,1.54,0.331,3.83,0.1,1.099,0.12,0.477,0.114,0.005,0.0285,0.005,0.0231,1.6,-144.96,-19.52,0.0292,0.008,-9999,-9999,-9999,E-W ZOB lower transect; integrated 5-35cm depth
3/13/2011 0:00,MC_ZOB_LowTrans4,JEMEZ_P13,Snow,,Grab,Snow,-9999,-9999,5.91,-0.8,-9999,1.397,0.2032,0.31,0.278,0.487,0.156,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.029,0.0125,-9999,0.00399,0.0003295,0.001,-9999,-9999,-9999,6.22,20.47,10.38,-9999,-9999,0.1594,0.0937,0.0015,7.2,2.55,0.00795,0.1388,1.67,1.65,0.0715,0.0285,-9999,20.3,0.0281,0.004,0.003,0.0799,0.021,3,25.9,44.8,6.13,10.2,4.86,1.519,7.4,0.707,3.54,0.69,1.684,0.125,1.54,0.0285,0.005,0.0293,2.25,-104.05,-14.05,0.0522,0.0098,-9999,-9999,-9999,E-W ZOB lower transect; surface
3/13/2011 0:00,MC_ZOB_LowTrans2,JEMEZ_P14,Snow,,Grab,Snow,-9999,-9999,4.84,-0.85,-9999,0.02258,0.1502,0.282,0.522,0.052,0.399,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.022,0.0576,-9999,0.0013828,0.0002078,0.014,-9999,-9999,-9999,2.18,1.6,4.16,-9999,-9999,0.0316,0.0372,0.0015,13.3,0.01,0.0007,0.1719,0.4349,1.92,0.0603,0.0346,-9999,6.81,0.0015,0.00015,0.003,0.0692,0.014,4.49,7.51,13.7,1.93,4.63,1.97,0.86,3.97,0.26,1.45,0.25,0.415,0.114,0.612,0.0285,0.003,0.0107,1.43,-138.85,-18.69,0.0312,0.0068,-9999,-9999,-9999,E-W ZOB lower transect; integrated 5-35cm depth
3/13/2011 0:00,MC_SnowLys_SE,JEMEZ_P15,Snow,,Grab,Snow,-9999,-9999,5.24,-0.49,-9999,2.379,0.1512,0.338,0.403,0.433,0.141,0.085,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0233,0.065,-9999,0.001715,0.0002839,0.012,-9999,-9999,-9999,1.83,2,10.48,-9999,-9999,0.0502,0.0404,0.0015,9.19,0.098,0.0007,0.1258,0.652,2.66,0.0554,0.00763,-9999,5.29,0.0206,0.0003,0.003,0.0697,0.012,4.29,6.4,12.5,1.774,2.73,1.466,0.886,3.9,0.18,1.52,0.27,0.637,0.114,0.3466,0.0285,0.003,0.0123,1.54,-143.34,-19.26,0.0307,0.009,-9999,-9999,-9999,integrated 5-35cm depth
3/13/2011 0:00,MC_SnowLys_SE,JEMEZ_P16,Snow,,Grab,Snow,-9999,-9999,5.86,-1.03,-9999,1.34,0.2641,0.612,0.407,0.506,0.238,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0545,0.0408,-9999,0.00414,0.000706,0.02,-9999,-9999,-9999,17.5,82.5,12.4,-9999,-9999,0.413,0.112,0.0015,13.5,42.55,0.0413,0.1427,6.42,3.94,0.115,0.00926,-9999,56.6,0.00463,8.2,0.003,0.0734,0.026,5.32,68.6,133,17.1,29.1,16.15,3.52,17,1.925,11.2,1.9339,5.55,0.588,4.84,0.43,0.005,0.181,5.66,-91.36,-12.26,0.0536,0.0082,-9999,-9999,-9999,integrated 4-34cm depth
3/13/2011 0:00,MC_SnowLys_SE,JEMEZ_P17,Snow,,Grab,Snow,-9999,-9999,4.29,-2.15,-9999,1.446,0.1335,0.726,0.352,0.452,0.118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-136.39,-18.63,0.0342,0.0072,-9999,-9999,-9999,integrated 43-73cm depth
3/13/2011 0:00,ZNF3,JEMEZ_P18,Snow,,Grab,Snow,-9999,-9999,5.69,-0.99,-9999,6.132,0.4431,0.417,0.422,0.678,0.186,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.123,0.013,-9999,0.00533,0.001291,0.02,-9999,-9999,-9999,12.2,28.7,42.7,-9999,-9999,0.363,0.128,0.0015,44.8,8.52,0.0214,0.1386,1.46,2.15,0.0982,0.0503,-9999,37,0.0206,0.331,0.001,0.0779,0.032,5.4,41.4,75.2,9.86,18.7,9.31,2.54,12,1.328,6.49,1.125,3.26,0.2628,2.66,0.12,0.006,0.0556,5.04,-107.79,-13.57,0.0557,0.0309,-9999,-9999,-9999,surface
