DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,FI,HIX,SUVA254,SUVA280,SamplingNote
MST,,,,hr,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,nm/nm,nm/nm,L/(mg.cm),L/(mg.cm),
(Detection limit),,,,,,,,,0.00021,0.00022875,0.00023625,4.17,6.16,3.34,1.9,0.51,0.84,1.45,0.037947,0.00068,0.072664,0.022583,0.037947,0.00242,0.00545,0.1113,0.5098,0.036742,0.028,0.0298,0.016432,0.0818,0.0309,0.012247,0.016432,0.035071,0.026833,0.0492,0.012247,0.773046,0.037947,0.016432,0.024495,0.0251,0.015492,0.012247,0.454841,0.33118,0.251476,0.75554,1.814186,0.429325,0.907502,0.296024,0.643894,0.302837,0.630833,0.330273,0.619605,0.162111,0.148997,0.012247,0.54,,,,,
(Lab Method),,,,,,,PH_EC2,PH_EC2,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,
3/15/2013 0:00,MC_Cen,JEMEZ_P160,Snow,,Grab,snow,-9999,-9999,0.24,5.91,0.32,2.085,17.72,1.67,0.95,0.255,0.42,0.725,0.23,7.87,73.66,87.01,58.41,15.99,137.8,1537.11,483.08,1.29,0.01,0.32,38.2,20.56,0.01,0.31,2.91,6.78,0.96,0.12,1.84,14.1,2.49,0.3,0.07,0.1,0.29,0.07,4.47,27.21,4,17.16,6,3.2,5.12,1.16,2.35,1.93,2.16,7.5,1.37,0.78,2.62,0.18,0.74,-9999,-9999,-9999,-9999,Sample description: open shaded; 0-20cm; 4 tubes
3/9/2013 0:00,Burn_Cen,JEMEZ_P161,Snow,,Grab,snow,-9999,-9999,1.46,1.33,0.25,2.085,3.08,1.67,0.95,0.255,0.42,0.725,0.51,9.26,588.79,113.3,117.51,12.97,212.43,304.01,1895.26,1.51,0.12,0.18,20.49,0.53,0.01545,0.28,0.66,3.97,1.1,0.25,12.26,34.4,14.21,0.25,0.06,0.05,0.24,0.06,12.85,30.7,7.4,28,11.28,3.6,9.86,1.81,9.09,1.95,3.48,7.7,4.22,0.73,2.23,0.21,6.31,-9999,-9999,-9999,-9999,Sample description: open unshaded; 0-17cm; 4 tubes
3/9/2013 0:00,Burn_Cen,JEMEZ_P162,Snow,,Grab,snow,-9999,-9999,0.31,2.12,0.32,2.085,49.19,1.67,0.95,0.255,0.42,0.725,0.06,6.68,63.29,39.55,19.66,6.9,171.31,430.59,625.27,1.46,0.014,0.2,17.38,6.69,0.01545,1.02,0.78,6.52,1.07,0.21,2.37,10.65,2.78,1.22,0.04,0.04,0.51,0.05,5.47,31.3,3.4,18.85,3.8,1.9,3.57,1.15,1.99,1.35,2.34,7.3,3.01,0.37,1.81,0.1,2.47,-9999,-9999,-9999,-9999,Sample description: open shaded; 0-17cm; 4 tubes
3/9/2013 0:00,Burn_Cen,JEMEZ_P163,Snow,,Grab,snow,-9999,-9999,0.47,1.36,0.34,2.085,3.08,1.67,0.95,0.255,0.42,0.725,0.11,7.48,171.92,78.2,18.02,8.7,146.95,221.77,849.8,1.19,0.13,0.18,13.26,10.24,0.04,0.21,1.05,6.5,0.96,0.14,6.53,10.64,7.61,0.16,0.05,0.45,0.18,0.06,6.53,27.72,3.6,14.9,5.7,2.9,6.42,1.62,3.39,1.16,2.05,7.2,2.12,0.54,1.5,0.08,2.17,-9999,-9999,-9999,-9999,Sample description: open shaded; 17-47cm; 4 tubes
3/9/2013 0:00,Burn_Cen,JEMEZ_P164,Snow,,Grab,snow,-9999,-9999,0.48,4.62,0.59,2.085,18.29,1.67,0.95,11.76,0.42,0.725,0.16,6.48,460.48,141.12,17.6,10.98,206,698.45,990.84,1.4,0.15,0.17,27.83,0.22,0.06,0.74,1.55,6.06,1.14,0.21,7.93,30.2,9.58,0.23,0.03,0.04,0.19,0.07,10.55,71.2,8.3,34,10.76,3.5,9.89,2.18,7.34,2.21,5.19,7.6,4.2,0.74,1.5,0.13,1.29,-9999,-9999,-9999,-9999,Sample description: under canopy; depth 31cm; 4 tubes
3/9/2013 0:00,Burn_Cen,JEMEZ_P165,Snow,,Grab,snow,-9999,-9999,1.86,1.14,0.24,2.085,3.08,1.67,0.95,0.255,0.42,0.725,0.1,24.29,122.77,148.13,62.67,5.28,237.43,170.37,2441.04,1.75,0.23,0.25,20.31,17.61,0.02,0.84,1.03,10.04,1.36,0.12,16.11,30,18.62,0.19,0.04,0.03,0.18,0.05,17.21,37.2,6.97,28.1,9.64,3.9,9.21,2.01,7.27,2.12,4.51,7.7,1.81,0.68,1.32,0.14,33.69,-9999,-9999,-9999,-9999,Sample description: open unshaded; 17-47cm; 3 tubes
3/15/2013 0:00,MC_Cen,JEMEZ_P166,Snow,,Grab,snow,-9999,-9999,0.21,1.17,0.24,2.085,3.08,1.67,0.95,0.255,0.42,0.725,0.22,8.54,325.73,16.34,12.61,65.41,128.37,437.85,363.38,1.21,0.01,0.32,5.1,12.15,0.01,4.48,4.39,44.34,1.13,0.12,1.03,0.27,1.55,0.15,0.03,0.06,0.2,0.11,2.62,4.1,0.9,5.7,3,1.3,3.45,0.6,0.1,0.81,0.42,7,0.6,0.14,1.22,0.87,2.11,-9999,-9999,-9999,-9999,Sample description: open unshaded; 0-18cm; 4 tubes
