Study_ID,DOI,Design_Control_Burn_Pre_Post,Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,9/19/70,Burn,0,Individual,,,,,0.00530329,mg_N_L,,,Figure_1,Data from Hampton meta_analysis
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,10/25/70,Burn,0,Individual,,,,,0.00115485,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,11/16/70,Burn,0,Individual,,,,,0.0015174,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,1/16/71,Burn,1,Individual,,,,,0.00081553,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,2/22/71,Burn,1,Individual,,,,,0.00768738,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,3/18/71,Burn,1,Individual,,,,,0.00610845,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,4/15/71,Burn,1,Individual,,,,,0.00032602,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,4/29/71,Burn,1,Individual,,,,,0.00051292,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,5/18/71,Burn,1,Individual,,,,,0.00038403,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,5/27/71,Burn,1,Individual,,,,,0.00023797,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,6/15/71,Burn,1,Individual,,,,,0.00010967,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,7/1/71,Burn,1,Individual,,,,,0.00273068,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,7/15/71,Burn,1,Individual,,,,,0.00275613,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,8/17/71,Burn,1,Individual,,,,,0.00427247,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,9/15/71,Burn,1,Individual,,,,,0.00464804,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,1/28/72,Burn,2,Individual,,,,,0.01250351,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,3/18/72,Burn,2,Individual,,,,,0.04305467,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,4/18/72,Burn,2,Individual,,,,,0.00389735,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,5/18/72,Burn,2,Individual,,,,,0.00281695,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,6/15/72,Burn,2,Individual,,,,,0.00059815,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.035327,-120.291846,680,ha,Site_1,Dsb,Camas Creek,7/20/72,Burn,2,Individual,,,,,0.00114642,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,9/19/70,Unburn,0,Individual,,,,,0.00546592,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,10/24/70,Unburn,0,Individual,,,,,0.00131452,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,11/16/70,Unburn,0,Individual,,,,,0.00038373,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,1/17/71,Unburn,1,Individual,,,,,0.01604879,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,2/23/71,Unburn,1,Individual,,,,,7.28E-05,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,3/18/71,Unburn,1,Individual,,,,,0.00205871,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,4/15/71,Unburn,1,Individual,,,,,1.35E-06,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,4/30/71,Unburn,1,Individual,,,,,0.00035147,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,5/19/71,Unburn,1,Individual,,,,,0.00022317,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,5/28/71,Unburn,1,Individual,,,,,0.00023975,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,6/16/71,Unburn,1,Individual,,,,,0.00027349,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,7/2/71,Unburn,1,Individual,,,,,0.00013927,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,7/15/71,Unburn,1,Individual,,,,,0.00016354,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,8/17/71,Unburn,1,Individual,,,,,0.00038418,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,9/15/71,Unburn,1,Individual,,,,,0.00205604,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,1/29/72,Unburn,2,Individual,,,,,0.00181025,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,3/16/72,Unburn,2,Individual,,,,,0.00173167,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,4/19/72,Unburn,2,Individual,,,,,0.00163001,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,5/18/72,Unburn,2,Individual,,,,,0.00103454,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,6/15/72,Unburn,2,Individual,,,,,0.00221793,mg_N_L,,,Figure_1,
"Tiedemann, 1997",https://www.fs.usda.gov/research/treesearch/25489,Control_Reference_vs_Impact,48.02142,-120.255581,2800,ha,Control,Dsb,Grade Creek,7/21/72,Unburn,2,Individual,,,,,0.00147108,mg_N_L,,,Figure_1,
