Time_Since_Fire,response_var,mean_effect,sd_effect,n_effect,Percent_Difference,se_effect,lower_ci_effect,upper_ci_effect
0,DOC_Interp,32.34675667501427,70.67653310496716,9,32.34675667501427,23.558844368322386,-21.980035858968527,86.67354920899706
0,NO3_Interp,126.33026589216097,243.9540845401987,16,126.33026589216097,60.98852113504967,-3.663689765503406,256.3242215498253
1,DOC_Interp,-29.233880536946046,33.07640812388597,16,-29.233880536946046,8.269102030971492,-46.85905430304764,-11.608706770844446
1,NO3_Interp,209.73471251602322,325.95427163717363,28,209.73471251602322,61.59956725222541,83.34284062592751,336.1265844061189
2,DOC_Interp,-43.768842374623304,30.956304722068097,9,-43.768842374623304,10.318768240689366,-67.5639646078664,-19.973720141380213
2,NO3_Interp,429.5780133792235,720.8537327834719,20,429.5780133792235,161.18779483383116,92.20808151498346,766.9479452434634
3,DOC_Interp,-39.8707946584027,9.664099386654675,8,-39.8707946584027,3.4167751051821376,-47.95018393435487,-31.791405382450534
3,NO3_Interp,298.3288300757612,234.6848937403845,15,298.3288300757612,60.59537900419776,168.36466783822382,428.29299231329856
4,DOC_Interp,-33.4657415842817,19.529342819571074,4,-33.4657415842817,9.764671409785537,-64.54128403466314,-2.390199133900264
4,NO3_Interp,191.22027012910607,301.69119847531664,9,191.22027012910607,100.56373282510555,-40.680113617154234,423.1206538753664
5,DOC_Interp,-41.5146466876099,10.351448065225815,3,-41.5146466876099,5.976411326960556,-67.22906919766234,-15.800224177557457
5,NO3_Interp,222.21341501771423,346.34689113143213,8,222.21341501771423,122.45211768095729,-67.33983210957098,511.76666214499943
>10,DOC_Interp,8.606291129732279,59.05689999637885,6,8.606291129732279,24.109878463616987,-53.37012450824071,70.58270676770526
>10,NO3_Interp,1226.5762381185364,1174.0049624645228,6,1226.5762381185364,479.28551892223317,-5.46641090648086,2458.6188871435534
