variable,plotted,skip_reason,n_rows,n_sites,n_studies,x_distinct,x_min,x_median,x_max,x_scale,spearman_r,spearman_p,plot_file
qe_ma,TRUE,NA,12291,38,8,31,0.016,9.062,1305.429,log10,-0.16171019761905464,8.632364647050986e-73,figures/scatter_DOC_vs_qe_ma.png
ve_ma,TRUE,NA,12231,35,8,29,0.3924,1.22334,2.28083,linear,-0.14802242007172636,7.17621217070683e-61,figures/scatter_DOC_vs_ve_ma.png
qa_01,TRUE,NA,12291,38,8,27,0,3.268,3286.856,linear,0.014720360175481256,0.10270224827407655,figures/scatter_DOC_vs_qa_01.png
va_01,TRUE,NA,12231,35,8,28,0.30839,0.81728,3.37122,linear,0.23751039358244205,1.9556435937091417e-156,figures/scatter_DOC_vs_va_01.png
qc_01,TRUE,NA,12291,38,8,28,0,3.967,2615.124,linear,0.003548373477795568,0.6940603420372511,figures/scatter_DOC_vs_qc_01.png
vc_01,TRUE,NA,12231,35,8,28,0.30839,0.82045,3.13296,linear,-0.1592669533538111,2.670316496732553e-70,figures/scatter_DOC_vs_vc_01.png
qe_01,TRUE,NA,12291,38,8,27,0,2.45,1915.384,linear,-0.09295995645659676,5.3029659942040035e-25,figures/scatter_DOC_vs_qe_01.png
ve_01,TRUE,NA,12231,35,8,28,0.30839,0.76522,2.76851,linear,-0.07250425314785498,9.885490469183273e-16,figures/scatter_DOC_vs_ve_01.png
qa_02,TRUE,NA,12291,38,8,31,0.008,3.047,4109.294,log10,0.04952127297261208,3.952145074321346e-8,figures/scatter_DOC_vs_qa_02.png
va_02,TRUE,NA,12231,35,8,29,0.37457,0.7937,3.75683,linear,0.2388515432341511,3.092401058640492e-158,figures/scatter_DOC_vs_va_02.png
qc_02,TRUE,NA,12291,38,8,31,0.252,4.035,3155.004,log10,0.02603191800911122,0.0038990139728955595,figures/scatter_DOC_vs_qc_02.png
vc_02,TRUE,NA,12231,35,8,29,0.44914,0.82494,3.42895,linear,-0.12838749485585127,4.087222810030685e-46,figures/scatter_DOC_vs_vc_02.png
qe_02,TRUE,NA,12291,38,8,31,0.252,2.478,2237.595,log10,-0.07062095002944437,4.5644185040073176e-15,figures/scatter_DOC_vs_qe_02.png
ve_02,TRUE,NA,12231,35,8,29,0.43331,0.76979,3.08529,linear,-0.03634088856920437,5.819916616959729e-5,figures/scatter_DOC_vs_ve_02.png
qa_03,TRUE,NA,12291,38,8,31,0.017,1.064,3858.022,log10,0.069873324241529,8.821661646390828e-15,figures/scatter_DOC_vs_qa_03.png
va_03,TRUE,NA,12231,35,8,28,0.40714,0.57183,3.58589,linear,-0.044871939119935256,6.885916592908841e-7,figures/scatter_DOC_vs_va_03.png
qc_03,TRUE,NA,12291,38,8,32,0.463,4.885,3137.186,log10,0.06833406316773037,3.3522636410598615e-14,figures/scatter_DOC_vs_qc_03.png
vc_03,TRUE,NA,12231,35,8,29,0.48847,0.80999,3.3612,linear,-0.06493326433953565,6.571258245357734e-13,figures/scatter_DOC_vs_vc_03.png
qe_03,TRUE,NA,12291,38,8,31,0.463,2.96,2316.551,log10,0.06681778078898035,1.213747337212862e-13,figures/scatter_DOC_vs_qe_03.png
ve_03,TRUE,NA,12231,35,8,29,0.49346,0.79035,3.27726,linear,0.07235528854018683,1.131020497448726e-15,figures/scatter_DOC_vs_ve_03.png
qa_04,TRUE,NA,12291,38,8,31,0.017,12.081,2904.463,log10,-0.054959739079387344,1.0801800269827005e-9,figures/scatter_DOC_vs_qa_04.png
va_04,TRUE,NA,12231,35,8,29,0.40714,1.46583,3.90238,linear,-0.02633274912398683,0.0035860848512230367,figures/scatter_DOC_vs_va_04.png
qc_04,TRUE,NA,12291,38,8,31,0.057,26.208,2868.67,log10,-0.06762128473359197,6.159431068926059e-14,figures/scatter_DOC_vs_qc_04.png
vc_04,TRUE,NA,12231,35,8,29,0.47332,1.73856,3.07047,linear,-0.06203629785040189,6.5682838599822025e-12,figures/scatter_DOC_vs_vc_04.png
qe_04,TRUE,NA,12291,38,8,32,0.057,21.016,1802.277,log10,-0.12766796803196062,7.871954127724398e-46,figures/scatter_DOC_vs_qe_04.png
ve_04,TRUE,NA,12231,35,8,29,0.47332,1.73856,2.64927,linear,-0.0575658114783813,1.8772933711669903e-10,figures/scatter_DOC_vs_ve_04.png
qa_05,TRUE,NA,12291,38,8,31,0.025,22.226,2053.627,log10,-0.03143605083056264,4.909284145372422e-4,figures/scatter_DOC_vs_qa_05.png
va_05,TRUE,NA,12231,35,8,29,0.42958,1.8804,3.87006,linear,0.09440189798272434,1.2832235145739015e-25,figures/scatter_DOC_vs_va_05.png
qc_05,TRUE,NA,12291,38,8,31,0.026,31.393,3363.361,log10,-0.022163421788201052,0.014002672230730996,figures/scatter_DOC_vs_qc_05.png
vc_05,TRUE,NA,12231,35,8,29,0.4171,1.83748,4.62422,linear,-0.025340897361110334,0.005067504917534947,figures/scatter_DOC_vs_vc_05.png
qe_05,TRUE,NA,12291,38,8,32,0.026,24.35,1573.13,log10,-0.06805657610477998,4.2512314906758054e-14,figures/scatter_DOC_vs_qe_05.png
ve_05,TRUE,NA,12231,35,8,29,0.4171,1.83748,3.15487,linear,-0.02825336718126555,0.0017783339928375153,figures/scatter_DOC_vs_ve_05.png
qa_06,TRUE,NA,12291,38,8,31,0.008,17.045,1406.947,log10,-0.03941893937295139,1.2343735261691386e-5,figures/scatter_DOC_vs_qa_06.png
va_06,TRUE,NA,12231,35,8,29,0.37457,1.74392,3.06151,linear,-0.17875214430270547,2.3472475039062516e-88,figures/scatter_DOC_vs_va_06.png
qc_06,TRUE,NA,12291,38,8,31,0.004,30.191,2507.272,log10,-0.04127087927146939,4.717553443731821e-6,figures/scatter_DOC_vs_qc_06.png
vc_06,TRUE,NA,12231,35,8,29,0.34863,1.87855,3.63102,linear,-0.1686616032321952,9.877166648344076e-79,figures/scatter_DOC_vs_vc_06.png
qe_06,TRUE,NA,12291,38,8,31,0.004,25.057,1188.041,log10,-0.16372902122053085,1.3485195312581793e-74,figures/scatter_DOC_vs_qe_06.png
ve_06,TRUE,NA,12231,35,8,29,0.34863,1.87855,2.96964,linear,-0.1451728734518503,1.3539440999847231e-58,figures/scatter_DOC_vs_ve_06.png
qa_07,TRUE,NA,12291,38,8,31,0.008,12.955,1044.73,log10,-0.039434568256964224,1.224602696002334e-5,figures/scatter_DOC_vs_qa_07.png
va_07,TRUE,NA,12231,35,8,29,0.37457,1.57366,3.17287,linear,-0.2189492940934326,1.1575346154384255e-132,figures/scatter_DOC_vs_va_07.png
qc_07,TRUE,NA,12291,38,8,31,0.006,21.281,758.815,log10,-0.026803027615235377,0.002961140050338235,figures/scatter_DOC_vs_qc_07.png
vc_07,TRUE,NA,12231,35,8,29,0.35829,1.63496,2.87212,linear,-0.2122813227803427,1.2161978488455155e-124,figures/scatter_DOC_vs_vc_07.png
qe_07,TRUE,NA,12291,38,8,31,0.006,18.241,799.583,log10,-0.16099691632583005,3.704249160300336e-72,figures/scatter_DOC_vs_qe_07.png
ve_07,TRUE,NA,12231,35,8,29,0.35829,1.63496,2.81153,linear,-0.20352656056220797,1.6104467653501411e-114,figures/scatter_DOC_vs_ve_07.png
qa_08,TRUE,NA,12291,38,8,30,0.008,7.899,689.42,log10,-0.04747133933770678,1.3993561732858005e-07,figures/scatter_DOC_vs_qa_08.png
va_08,TRUE,NA,12231,35,8,29,0.37457,1.25831,2.80976,linear,-0.23017747345388545,8.687363598591185e-147,figures/scatter_DOC_vs_va_08.png
qc_08,TRUE,NA,12291,38,8,31,0.009,8.647,323.877,log10,-0.06125002019992634,1.0744397693951467e-11,figures/scatter_DOC_vs_qc_08.png
vc_08,TRUE,NA,12231,35,8,29,0.37028,1.11755,1.93969,linear,-0.21832511473707258,6.697913547639502e-132,figures/scatter_DOC_vs_vc_08.png
qe_08,TRUE,NA,12291,38,8,31,0.009,7.19,761.983,log10,-0.16174171371683155,8.093051337694947e-73,figures/scatter_DOC_vs_qe_08.png
ve_08,TRUE,NA,12231,35,8,29,0.37028,1.11755,2.52047,linear,-0.2080340643212322,1.1307766015372235e-119,figures/scatter_DOC_vs_ve_08.png
qa_09,TRUE,NA,12291,38,8,31,0.017,4.847,460.611,log10,-0.05429775913856513,1.706422826267239e-9,figures/scatter_DOC_vs_qa_09.png
va_09,TRUE,NA,12231,35,8,29,0.40714,1.02015,2.32757,linear,-0.22524567589418795,1.7333020804197178e-140,figures/scatter_DOC_vs_va_09.png
qc_09,TRUE,NA,12291,38,8,31,0.042,7.829,606.156,log10,-0.051870823600774905,8.718910693061836e-9,figures/scatter_DOC_vs_qc_09.png
vc_09,TRUE,NA,12231,35,8,29,0.44863,1.10267,2.58387,linear,-0.252809343492504,1.1726025748353632e-177,figures/scatter_DOC_vs_vc_09.png
qe_09,TRUE,NA,12291,38,8,31,0.042,6.943,638.171,log10,-0.15818480805624915,1.0816912735325576e-69,figures/scatter_DOC_vs_qe_09.png
