Study_ID,response_var,Pair,year,meanConc,Latitude,Longitude,Area_watershed_km,Climate,Burn_Unburn,TempNorm
Murphy et al. 2018,NO3_Interp,Site_1,2013,0.09939471810779962,40.039046,-105.393878,37,Cfb,Burn,0.002686343733
Murphy et al. 2018,NO3_Interp,Site_1,2014,0.052348663468023346,40.039046,-105.393878,37,Cfb,Burn,0.001414828742
Murphy et al. 2018,NO3_Interp,Site_1,2015,0.06345806690285359,40.039046,-105.393878,37,Cfb,Burn,0.001715082889
Murphy et al. 2018,NO3_Interp,Site_2,2010,0.04485064583965844,40.041668,-105.364823,50,Cfb,Burn,8.97012917e-4
Murphy et al. 2018,NO3_Interp,Site_2,2011,0.0919349310869699,40.041668,-105.364823,50,Cfb,Burn,0.001838698622
Murphy et al. 2018,NO3_Interp,Site_2,2012,0.13115678371813408,40.041668,-105.364823,50,Cfb,Burn,0.002623135674
Murphy et al. 2018,NO3_Interp,Site_2,2013,0.20794621124097717,40.041668,-105.364823,50,Cfb,Burn,0.004158924225
Murphy et al. 2018,NO3_Interp,Site_2,2014,0.09211275499711014,40.041668,-105.364823,50,Cfb,Burn,0.0018422551
Murphy et al. 2018,NO3_Interp,Site_2,2015,0.1108697556465798,40.041668,-105.364823,50,Cfb,Burn,0.002217395113
Murphy et al. 2018,NO3_Interp,Site_3,2011,0.04162957421451612,40.0155,-105.324566,63.1,Cfb,Burn,6.59739686e-4
Murphy et al. 2018,NO3_Interp,Site_3,2012,0.11091967838957222,40.0155,-105.324566,63.1,Cfb,Burn,0.001757839594
Murphy et al. 2018,NO3_Interp,Site_3,2013,0.1704984887586678,40.0155,-105.324566,63.1,Cfb,Burn,0.002702036272
Murphy et al. 2018,NO3_Interp,Site_3,2014,0.07669836826480128,40.0155,-105.324566,63.1,Cfb,Burn,0.001215505044
Murphy et al. 2018,NO3_Interp,Site_3,2015,0.09400342465704908,40.0155,-105.324566,63.1,Cfb,Burn,0.001489753164
"Neary & Currier, 1982",NO3_Interp,Control,1978,3.6940361906589803,34.937946,-83.093596,3.66,Cfa,Unburn,1.009299505645
"Neary & Currier, 1982",NO3_Interp,Control,1979,5.489955783774945,34.937946,-83.093596,3.66,Cfa,Unburn,1.499987919064
"Neary & Currier, 1982",NO3_Interp,Site_1,1978,10.61755248090819,34.920959,-83.0922,2.18,Cfa,Burn,4.870436917848
"Neary & Currier, 1982",NO3_Interp,Site_1,1979,7.108640296277543,34.920959,-83.0922,2.18,Cfa,Burn,3.260844172604
Oliver et al. 2012,NO3_Interp,Control,2008,0.018598735691163274,38.868,-120.062,2.7135,Csb,Unburn,0.006854149877
Oliver et al. 2012,NO3_Interp,Control,2009,0.04166734842892023,38.868,-120.062,2.7135,Csb,Unburn,0.015355573403
Oliver et al. 2012,NO3_Interp,Site_1,2007,0.076153846175,38.88,-120.041,6.64,Csb,Burn,0.011468952737
Oliver et al. 2012,NO3_Interp,Site_1,2008,0.09299980843278689,38.88,-120.041,6.64,Csb,Burn,0.014005995246
Oliver et al. 2012,NO3_Interp,Site_1,2009,0.05944009300384615,38.88,-120.041,6.64,Csb,Burn,0.008951821236
Oliver et al. 2012,NO3_Interp,Site_2,2007,0.08632143899386303,38.879,-120.03,8.39,Csb,Burn,0.01028861013
Oliver et al. 2012,NO3_Interp,Site_2,2008,0.06408831222857216,38.879,-120.03,8.39,Csb,Burn,0.007638654616
Oliver et al. 2012,NO3_Interp,Site_2,2009,0.022016848995088583,38.879,-120.03,8.39,Csb,Burn,0.002624177473
Oliver et al. 2012,NO3_Interp,Site_3,2008,0.029323977407554422,38.873,-120.013,15.03,Csb,Burn,0.001951029768
Oliver et al. 2012,NO3_Interp,Site_3,2009,0.026353674044963145,38.873,-120.013,15.03,Csb,Burn,0.001753404793
Rhea et al. 2021,NO3_Interp,Control,2017,0.004947349549019608,40.26237,-105.590804,7.04,Dfc,Unburn,7.02748515e-4
Rhea et al. 2021,NO3_Interp,Site_1,2017,0.06623799727777778,NA,NA,3.25,Dfc,Burn,0.020380922239
"Tiedemann, 1997",NO3_Interp,Control,1970,0.004037362375930521,48.02142,-120.255581,28,Dsb,Unburn,1.44191513e-4
"Tiedemann, 1997",NO3_Interp,Control,1971,0.0023489931300330123,48.02142,-120.255581,28,Dsb,Unburn,8.3892612e-5
"Tiedemann, 1997",NO3_Interp,Control,1972,0.0016946691401043177,48.02142,-120.255581,28,Dsb,Unburn,6.0523898e-5
"Tiedemann, 1997",NO3_Interp,Site_1,1970,0.0019752484339533418,48.035327,-120.291846,6.8,Dsb,Burn,2.90477711e-4
"Tiedemann, 1997",NO3_Interp,Site_1,1971,0.004355564887311924,48.035327,-120.291846,6.8,Dsb,Burn,6.40524248e-4
"Tiedemann, 1997",NO3_Interp,Site_1,1972,0.012961342099009903,48.035327,-120.291846,6.8,Dsb,Burn,0.00190607972
Uzun et al. 2020,NO3_Interp,Control,2016,0.04765627050434783,38.451372,122.056381,78,Csa,Unburn,6.10977827e-4
Uzun et al. 2020,NO3_Interp,Control,2017,0.08798216978525981,38.451372,122.056381,78,Csa,Unburn,0.001127976536
Uzun et al. 2020,NO3_Interp,Site_1,2016,0.17687060782608696,38.923564,122.326478,3017,Csa,Burn,5.8624663e-5
Uzun et al. 2020,NO3_Interp,Site_1,2017,0.27282199026776244,38.923564,122.326478,3017,Csa,Burn,9.0428237e-5
Uzun et al. 2020,NO3_Interp,Site_2,2016,0.22384614720823798,38.512031,122.097228,1491.4917,Csa,Burn,1.5008206e-4
Uzun et al. 2020,NO3_Interp,Site_2,2017,0.2506659955959942,38.512031,122.097228,1491.4917,Csa,Burn,1.68063956e-4
Writer et al. 2014,NO3_Interp,Control,2012,0.021614099288433868,40.699423,-105.54509,618.46,Dfb,Unburn,3.4948257e-5
Writer et al. 2014,NO3_Interp,Control,2013,0.03911833935860323,40.699423,-105.54509,618.46,Dfb,Unburn,6.3251204e-5
Writer et al. 2014,NO3_Interp,Site_1,2012,0.035046205753232404,40.703249,-105.242396,1255.15,Dfb,Burn,2.7921926e-5
Writer et al. 2014,NO3_Interp,Site_1,2013,0.037971666816396764,40.703249,-105.242396,1255.15,Dfb,Burn,3.0252692e-5
Writer et al. 2014,NO3_Interp,Site_2,2012,0.028324983953846153,40.685031,-105.449096,963.26,Dfb,Burn,2.9405336e-5
Writer et al. 2014,NO3_Interp,Site_2,2013,0.11488904332651824,40.685031,-105.449096,963.26,Dfb,Burn,1.19271062e-4
Crandall et al. 2021,NO3_Interp,Control_1,2018,0.532876038186046,40.191035,-111.659939,324,Csa,Unburn,0.00164467913
Crandall et al. 2021,NO3_Interp,Control_2,2018,4.03871267944667,40.180647,-111.671664,30,Csa,Unburn,0.13462375598
Crandall et al. 2021,NO3_Interp,Control_3_4,2018,0.2125936284,40.234889,-111.724869,1769,Csa,Unburn,1.2017729e-4
Crandall et al. 2021,NO3_Interp,Site_1,2018,1.90107658651923,40.133514,-111.771241,319,Csa,Burn,0.00595948773
Crandall et al. 2021,NO3_Interp,Site_2,2018,0.10410301875,39.987804,-111.729891,54,Csa,Burn,0.00192783368
Crandall et al. 2021,NO3_Interp,Site_3,2018,0.295407144942308,40.162204,-111.732766,1712,Csa,Burn,1.725509e-4
Crandall et al. 2021,NO3_Interp,Site_4,2018,0.0719337433670886,40.071704,-111.57715,1650,Csa,Burn,4.359621e-5
Abbott et al. 2021,NO3_Interp,Site_1,2017,0.00539074539089123,68.932756,-150.7,16.01788092,Dwc,Burn,3.365455e-4
Abbott et al. 2021,NO3_Interp,Site_1,2018,0.0068042567171246,68.932756,-150.7,16.01788092,Dwc,Burn,4.247913e-4
Abbott et al. 2021,NO3_Interp,Control,2017,0.00389284085870953,68.9491428,-150.746,21.34597706,Dwc,Unburn,1.823688e-4
Abbott et al. 2021,NO3_Interp,Control,2018,0.00436738808431656,68.9491428,-150.746,21.34597706,Dwc,Unburn,2.046001e-4
Rhea et al. 2021,NO3_Interp,Control,2017,0.0165584421688312,40.26237,-105.590804,7.04,Dfc,Unburn,0.002352051
Rhea et al. 2021,NO3_Interp,Site_1,2017,0.0662379972777778,NA,NA,3.25,Dfc,Burn,0.020380922
Rhea et al. 2021,NO3_Interp,Site_2,2017,0.353240741057692,NA,NA,6.02,Dfc,Burn,0.058677864
Rhea et al. 2021,NO3_Interp,Site_3,2017,0.278935185423077,NA,NA,8.33,Dfc,Burn,0.033485616
