Study_ID,response_var,Pair,year,meanConc,Site,latitude,longitude,Area_watershed_km,Climate,Burn_Unburn,TempNorm,logTempNorm
Hauer & Spencer 1998,NO3_Interp,Control_2,1990,0.02305555385504167,Coal_Creek,48.688413,-114.199739,211.59,Dfc,Unburn,1.08963344e-4,-9.124499025872478
Hauer & Spencer 1998,NO3_Interp,Control_2,1991,0.027078697021195086,Coal_Creek,48.688413,-114.199739,211.59,Dfc,Unburn,1.27977206e-4,-8.963658388027449
Hauer & Spencer 1998,NO3_Interp,Control_2,1992,0.03458109496356052,Coal_Creek,48.688413,-114.199739,211.59,Dfc,Unburn,1.63434449e-4,-8.7190985715657
Hauer & Spencer 1998,NO3_Interp,Control_2,1993,0.029727693088513703,Coal_Creek,48.688413,-114.199739,211.59,Dfc,Unburn,1.40496683e-4,-8.870326678010086
Hauer & Spencer 1998,NO3_Interp,Control_3_4_5,1989,0.006308173909403079,Logging_Creek,48.701412,-114.185106,238.08,Dfc,Unburn,2.6496026e-5,-10.538515798481713
Hauer & Spencer 1998,NO3_Interp,Control_3_4_5,1990,0.005870201355685387,Logging_Creek,48.701412,-114.185106,238.08,Dfc,Unburn,2.4656424e-5,-10.610473082908806
Hauer & Spencer 1998,NO3_Interp,Control_3_4_5,1991,0.013859651610164907,Logging_Creek,48.701412,-114.185106,238.08,Dfc,Unburn,5.8214262e-5,-9.751380181700716
Hauer & Spencer 1998,NO3_Interp,Control_3_4_5,1992,0.018710057096718993,Logging_Creek,48.701412,-114.185106,238.08,Dfc,Unburn,7.8587269e-5,-9.451300843658174
Hauer & Spencer 1998,NO3_Interp,Control_3_4_5,1993,0.012771628298934322,Logging_Creek,48.701412,-114.185106,238.08,Dfc,Unburn,5.3644272e-5,-9.83313586066389
Hauer & Spencer 1998,NO3_Interp,Site_1,1989,0.18627450382770672,Red_Bench_Creek,48.81409,-114.39971,1.83,Dfc,Burn,0.101789346354,-2.28484983305339
Hauer & Spencer 1998,NO3_Interp,Site_1,1990,0.1949005027683938,Red_Bench_Creek,48.81409,-114.39971,1.83,Dfc,Burn,0.106503006977,-2.2395820597054223
Hauer & Spencer 1998,NO3_Interp,Site_1,1991,0.19632161853374472,Red_Bench_Creek,48.81409,-114.39971,1.83,Dfc,Burn,0.107279572969,-2.2323170205442278
Hauer & Spencer 1998,NO3_Interp,Site_1,1992,0.10854945082243067,Red_Bench_Creek,48.81409,-114.39971,1.83,Dfc,Burn,0.059316639794,-2.8248654087315175
Hauer & Spencer 1998,NO3_Interp,Site_1,1993,0.10349102092519749,Red_Bench_Creek,48.81409,-114.39971,1.83,Dfc,Burn,0.056552470451,-2.8725863912380563
Hauer & Spencer 1998,NO3_Interp,Site_2,1989,0.05387099993488354,Red_Meadow_Creek,48.802772,-114.32894,64,Dfc,Burn,8.41734374e-4,-7.080046063801961
Hauer & Spencer 1998,NO3_Interp,Site_2,1990,0.041899332979666665,Red_Meadow_Creek,48.802772,-114.32894,64,Dfc,Burn,6.54677078e-4,-7.331368454585772
Hauer & Spencer 1998,NO3_Interp,Site_2,1991,0.06845779974882589,Red_Meadow_Creek,48.802772,-114.32894,64,Dfc,Burn,0.001069653121,-6.840420869049265
Hauer & Spencer 1998,NO3_Interp,Site_2,1992,0.11033033587577798,Red_Meadow_Creek,48.802772,-114.32894,64,Dfc,Burn,0.001723911498,-6.363159443325157
Hauer & Spencer 1998,NO3_Interp,Site_2,1993,0.1024585298676591,Red_Meadow_Creek,48.802772,-114.32894,64,Dfc,Burn,0.001600914529,-6.437180232401388
Hauer & Spencer 1998,NO3_Interp,Site_3,1989,0.02892246412580243,Akokala_Creek,48.797378,-114.286749,105.98,Dfc,Burn,2.72904927e-4,-8.206387076180638
Hauer & Spencer 1998,NO3_Interp,Site_3,1990,0.025123614675459663,Akokala_Creek,48.797378,-114.286749,105.98,Dfc,Burn,2.37059961e-4,-8.347197448828245
Hauer & Spencer 1998,NO3_Interp,Site_3,1991,0.02041937848580503,Akokala_Creek,48.797378,-114.286749,105.98,Dfc,Burn,1.92671999e-4,-8.554521301872404
Hauer & Spencer 1998,NO3_Interp,Site_3,1992,0.026147281854908534,Akokala_Creek,48.797378,-114.286749,105.98,Dfc,Burn,2.46719021e-4,-8.307260435658142
Hauer & Spencer 1998,NO3_Interp,Site_3,1993,0.024581739559095567,Akokala_Creek,48.797378,-114.286749,105.98,Dfc,Burn,2.31946967e-4,-8.369001802946
Hauer & Spencer 1998,NO3_Interp,Site_4,1991,0.027366900546045257,Bowman_Creek,48.790458,-114.274616,130.13,Dfc,Burn,2.10304315e-4,-8.466954957158936
Hauer & Spencer 1998,NO3_Interp,Site_4,1992,0.01750709038869122,Bowman_Creek,48.790458,-114.274616,130.13,Dfc,Burn,1.34535391e-4,-8.913683263423513
Hauer & Spencer 1998,NO3_Interp,Site_4,1993,0.01596900211919826,Bowman_Creek,48.790458,-114.274616,130.13,Dfc,Burn,1.22715762e-4,-9.005639754839942
Hauer & Spencer 1998,NO3_Interp,Site_5,1989,0.04107861656307791,Quartz_Creek,48.72261,-114.225834,136.29,Dfc,Burn,3.01405947e-4,-8.10705254071239
Hauer & Spencer 1998,NO3_Interp,Site_5,1990,0.030196995296179675,Quartz_Creek,48.72261,-114.225834,136.29,Dfc,Burn,2.21564277e-4,-8.414797820959693
