Study_ID,Site,Sampling_Date,latitude,longitude,Area_watershed_km,Pair,Climate,Burn_Unburn,Time_Since_Fire,DOC_mg_C_L,NO3_mg_N_L,NO3_Interp,DOC_Interp
Rhea et al. 2021,B1,2017-06-15,NA,NA,3.25,Site_1,Dfc,Burn,5,3.419117647,0.144444444,0.144444444,3.419117647
Rhea et al. 2021,B1,2017-06-16,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.1398148144090909,3.409090909045455
Rhea et al. 2021,B1,2017-06-17,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.13518518481818181,3.399064171090909
Rhea et al. 2021,B1,2017-06-18,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.13055555522727275,3.3890374331363637
Rhea et al. 2021,B1,2017-06-19,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.12592592563636365,3.3790106951818184
Rhea et al. 2021,B1,2017-06-20,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.12129629604545455,3.368983957227273
Rhea et al. 2021,B1,2017-06-21,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.11666666645454546,3.3589572192727273
Rhea et al. 2021,B1,2017-06-22,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.11203703686363636,3.348930481318182
Rhea et al. 2021,B1,2017-06-23,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.10740740727272727,3.3389037433636366
Rhea et al. 2021,B1,2017-06-24,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.10277777768181817,3.3288770054090913
Rhea et al. 2021,B1,2017-06-25,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.0981481480909091,3.3188502674545455
Rhea et al. 2021,B1,2017-06-26,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.09351851850000001,3.3088235295
Rhea et al. 2021,B1,2017-06-27,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.08888888890909091,3.298796791545455
Rhea et al. 2021,B1,2017-06-28,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.08425925931818182,3.288770053590909
Rhea et al. 2021,B1,2017-06-29,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.07962962972727274,3.2787433156363637
Rhea et al. 2021,B1,2017-06-30,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.07500000013636364,3.2687165776818183
Rhea et al. 2021,B1,2017-07-01,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.07037037054545454,3.258689839727273
Rhea et al. 2021,B1,2017-07-02,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.06574074095454546,3.248663101772727
Rhea et al. 2021,B1,2017-07-03,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.06111111136363635,3.238636363818182
Rhea et al. 2021,B1,2017-07-04,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.05648148177272727,3.2286096258636365
Rhea et al. 2021,B1,2017-07-05,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.05185185218181819,3.218582887909091
Rhea et al. 2021,B1,2017-07-06,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.04722222259090908,3.2085561499545454
Rhea et al. 2021,B1,2017-07-07,NA,NA,3.25,Site_1,Dfc,Burn,5,3.198529412,0.042592593,0.042592593,3.198529412
Rhea et al. 2021,B1,2017-07-08,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.044907407749999996,3.179227941375
Rhea et al. 2021,B1,2017-07-09,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.0472222225,3.1599264707500003
Rhea et al. 2021,B1,2017-07-10,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.04953703725,3.140625000125
Rhea et al. 2021,B1,2017-07-11,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.051851852000000004,3.1213235295
Rhea et al. 2021,B1,2017-07-12,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.05416666675,3.1020220588750003
Rhea et al. 2021,B1,2017-07-13,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.0564814815,3.08272058825
Rhea et al. 2021,B1,2017-07-14,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.058796296250000005,3.063419117625
Rhea et al. 2021,B1,2017-07-15,NA,NA,3.25,Site_1,Dfc,Burn,5,3.044117647,0.061111111,0.061111111,3.044117647
Rhea et al. 2021,B1,2017-07-16,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.057592592500000005,3.0110294117
Rhea et al. 2021,B1,2017-07-17,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.054074074,2.9779411764000003
Rhea et al. 2021,B1,2017-07-18,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.0505555555,2.9448529411
Rhea et al. 2021,B1,2017-07-19,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.047037037,2.9117647058
Rhea et al. 2021,B1,2017-07-20,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.0435185185,2.8786764705000003
Rhea et al. 2021,B1,2017-07-21,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.039999999999999994,2.8455882352
Rhea et al. 2021,B1,2017-07-22,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.036481481499999996,2.8124999999
Rhea et al. 2021,B1,2017-07-23,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.032962963,2.7794117646
Rhea et al. 2021,B1,2017-07-24,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.029444444499999993,2.7463235293
Rhea et al. 2021,B1,2017-07-25,NA,NA,3.25,Site_1,Dfc,Burn,5,2.713235294,0.025925926,0.025925926,2.713235294
Rhea et al. 2021,B1,2017-07-26,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.029365079428571427,2.7794117645714285
Rhea et al. 2021,B1,2017-07-27,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.03280423285714286,2.845588235142857
Rhea et al. 2021,B1,2017-07-28,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.03624338628571429,2.9117647057142855
Rhea et al. 2021,B1,2017-07-29,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.03968253971428572,2.9779411762857144
Rhea et al. 2021,B1,2017-07-30,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.043121693142857145,3.044117646857143
Rhea et al. 2021,B1,2017-07-31,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.046560846571428574,3.1102941174285714
Rhea et al. 2021,B1,2017-08-01,NA,NA,3.25,Site_1,Dfc,Burn,5,3.176470588,0.05,0.05,3.176470588
Rhea et al. 2021,B1,2017-08-02,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.050308642,3.113970588
Rhea et al. 2021,B1,2017-08-03,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.050617284,3.051470588
Rhea et al. 2021,B1,2017-08-04,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.050925925999999996,2.988970588
Rhea et al. 2021,B1,2017-08-05,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.051234568,2.926470588
Rhea et al. 2021,B1,2017-08-06,NA,NA,3.25,Site_1,Dfc,Burn,5,NA,NA,0.05154321,2.863970588
Rhea et al. 2021,B1,2017-08-07,NA,NA,3.25,Site_1,Dfc,Burn,5,2.801470588,0.051851852,0.051851852,2.801470588
Rhea et al. 2021,B2,2017-06-25,NA,NA,6.02,Site_2,Dfc,Burn,15,0.970588235,0.47592593,0.47592593,0.970588235
Rhea et al. 2021,B2,2017-06-26,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.4662037075,1.0091911761666668
Rhea et al. 2021,B2,2017-06-27,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.456481485,1.0477941173333334
Rhea et al. 2021,B2,2017-06-28,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.4467592625,1.0863970585
Rhea et al. 2021,B2,2017-06-29,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.43703704,1.1249999996666666
Rhea et al. 2021,B2,2017-06-30,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.4273148175,1.1636029408333335
Rhea et al. 2021,B2,2017-07-01,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.417592595,1.2022058820000001
Rhea et al. 2021,B2,2017-07-02,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.4078703725,1.2408088231666667
Rhea et al. 2021,B2,2017-07-03,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.39814815000000003,1.2794117643333334
Rhea et al. 2021,B2,2017-07-04,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.38842592750000005,1.3180147055
Rhea et al. 2021,B2,2017-07-05,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.378703705,1.3566176466666668
Rhea et al. 2021,B2,2017-07-06,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.3689814825,1.3952205878333335
Rhea et al. 2021,B2,2017-07-07,NA,NA,6.02,Site_2,Dfc,Burn,15,1.433823529,0.35925926,0.35925926,1.433823529
Rhea et al. 2021,B2,2017-07-08,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.355349795,1.4374999996111113
Rhea et al. 2021,B2,2017-07-09,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.35144033,1.4411764702222223
Rhea et al. 2021,B2,2017-07-10,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.347530865,1.4448529408333335
Rhea et al. 2021,B2,2017-07-11,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.3436214,1.4485294114444445
Rhea et al. 2021,B2,2017-07-12,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.339711935,1.4522058820555557
Rhea et al. 2021,B2,2017-07-13,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.33580247,1.4558823526666667
Rhea et al. 2021,B2,2017-07-14,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.331893005,1.4595588232777779
Rhea et al. 2021,B2,2017-07-15,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.32798354,1.4632352938888888
Rhea et al. 2021,B2,2017-07-16,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.324074075,1.4669117645
Rhea et al. 2021,B2,2017-07-17,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.32016461,1.4705882351111113
Rhea et al. 2021,B2,2017-07-18,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.316255145,1.4742647057222222
Rhea et al. 2021,B2,2017-07-19,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.31234568,1.4779411763333334
Rhea et al. 2021,B2,2017-07-20,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.308436215,1.4816176469444444
Rhea et al. 2021,B2,2017-07-21,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.30452675,1.4852941175555556
