Var1,Freq
Anaktuvuk River wildfire (2007),1
Angora Fire (2007),1
Boundary Fire (2004),1
Caldor Fire(2021)_Mosquito Fire (2002),1
Camp Branch Fire (2016)_Tellico Fire (2016),1
Clover-Mist Wildfire (1988),1
Fern Lake (2012),1
Fourmile Canyon Fire (2010),3
Gaviota Fire (2004),1
Hayman Fire (2002),4
Hayman Fire (2002)_High Park Fire (2012),1
Hewlett Gulch_High Park fire,2
High Park Fire (2012),2
Historic Fires,1
Jesusita Fire,1
Lost Creek Wildfire (2003),1
No name given (2002),1
No name given (2007),1
Northwest Territories Fire (2013),1
Rampage Fire (2003)_Others in Glacier NP,1
Red Bench Fire (1988),1
Rocky Fire (2015)_Wragg Fire (2015),1
Thompson Ridge Wildfire (2013),1
Yosemite NP Fire,1
