Column_or_Row_Name,Unit,Definition,Data_Type,header_count,files
Effect_size_pair,N/A,Indicates which watershed pair was used for the effect size calculation.,text,20,"Fire_name_Lat_Long.csv, Crandall_effect_size.csv, Abbott_effect_size.csv, Rhea_effect_size.csv, Climate_ES_Fig_data.csv, Effect_Size.csv, Effect_Size_10days.csv, Effect_Size_20days.csv, Effect_Size_30days.csv, Effect_Size_40days.csv, Effect_Size_UPDATED.csv, Percent_Difference.csv, TSF_ES_Fig_data.csv, TSF_PD_DOC_Fig_data.csv, TSF_PD_NO3_Fig_data.csv, Burn_percentage_ES_fig_data.csv, severity_clip.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv, Burn_severity_ES_fig_data.csv"
Exact_Date_Extracted,N/A,Designates if the publication reported exact dates associated with their water sampling or not. Results that are included in a figure with coarse time-frames would be designated as no.,text,1,Sites_meta_data.csv
Exclusion,N/A,Explains why a publication was not included in the final analysis.,text,1,Sites_meta_data.csv
File_Description,N/A,A brief description of the files in the data package.,text,1,Cavaiani_2024_Metaanalysis_flmd.csv
File_Name,N/A,Name of files in the data package.,text,1,Cavaiani_2024_Metaanalysis_flmd.csv
File_Path,N/A,File path within the data package.,text,1,Cavaiani_2024_Metaanalysis_flmd.csv
Fire_N/Ame,,,text,1,Fire_name_Lat_Long.csv
Fire_name,N/A,The name of the fire that was investigated in each publication.,text,5,"Map_input.csv, Sites_meta_data.csv, Watershed_area.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv"
Fire_year,YYYY,The year the fire occurred that was investigated in each publication.,text,4,"Fire_name_Lat_Long.csv, Sites_meta_data.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv"
Forest,,,numeric,2,"doc_meta_random_forest.csv, no3_meta_random_forest.csv"
Grassland,,,numeric,2,"doc_meta_random_forest.csv, no3_meta_random_forest.csv"
Have_HUC,N/A,Denotes if the watershed that is being monitored in the publication has an associated hydrologic unit code (HUC).,text,1,Fire_name_Lat_Long.csv
High_Severity,,,numeric,1,severity_clip.csv
In_git_studies_folder,N/A,Denotes if the publication was used and exported into the final publication analysis.,text,1,Sites_meta_data.csv
Included,N/A,Indicates whether a study was incorporated in the final analysis or not.,logical,1,Sites_meta_data.csv
InorgNWetDep_2008Ws,,,numeric,5,"NWetdep_2008.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
Large_Gap_Flag,,,logical,1,gap_fill_take_two.csv
Low_Severity,,,numeric,1,severity_clip.csv
MAST_2008,,,numeric,5,"random_forest_data.csv, random_forest_data_new.csv, stream_temp.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
MAST_2009,,,numeric,5,"random_forest_data.csv, random_forest_data_new.csv, stream_temp.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
MAST_2013,,,numeric,5,"random_forest_data.csv, random_forest_data_new.csv, stream_temp.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
MAST_2014,,,numeric,5,"random_forest_data.csv, random_forest_data_new.csv, stream_temp.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
MSST_2008,,,numeric,5,"random_forest_data.csv, random_forest_data_new.csv, stream_temp.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
MSST_2009,,,numeric,5,"random_forest_data.csv, random_forest_data_new.csv, stream_temp.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
MSST_2013,,,numeric,5,"random_forest_data.csv, random_forest_data_new.csv, stream_temp.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
MSST_2014,,,numeric,5,"random_forest_data.csv, random_forest_data_new.csv, stream_temp.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
MTBS_1986Ws,percentage,Monitoring trends in burn severity for a watershed in 1986.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1987Ws,percentage,Monitoring trends in burn severity for a watershed in 1987.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1988Ws,percentage,Monitoring trends in burn severity for a watershed in 1988.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1989Ws,percentage,Monitoring trends in burn severity for a watershed in 1989.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1990Ws,percentage,Monitoring trends in burn severity for a watershed in 1990.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1991Ws,percentage,Monitoring trends in burn severity for a watershed in 1991.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1992Ws,percentage,Monitoring trends in burn severity for a watershed in 1992.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1993Ws,percentage,Monitoring trends in burn severity for a watershed in 1993.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1994Ws,percentage,Monitoring trends in burn severity for a watershed in 1994.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1995Ws,percentage,Monitoring trends in burn severity for a watershed in 1995.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1996Ws,percentage,Monitoring trends in burn severity for a watershed in 1996.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1997Ws,percentage,Monitoring trends in burn severity for a watershed in 1997.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1998Ws,percentage,Monitoring trends in burn severity for a watershed in 1998.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_1999Ws,percentage,Monitoring trends in burn severity for a watershed in 1999.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_2000Ws,percentage,Monitoring trends in burn severity for a watershed in 2000.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_2001Ws,percentage,Monitoring trends in burn severity for a watershed in 2001.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_2002Ws,percentage,Monitoring trends in burn severity for a watershed in 2002.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_2003Ws,percentage,Monitoring trends in burn severity for a watershed in 2003.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_2004Ws,percentage,Monitoring trends in burn severity for a watershed in 2004.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_2005Ws,percentage,Monitoring trends in burn severity for a watershed in 2005.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_2006Ws,percentage,Monitoring trends in burn severity for a watershed in 2006.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
MTBS_2007Ws,percentage,Monitoring trends in burn severity for a watershed in 2007.,numeric,4,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv"
