response_var,model,n,n_studies,RMSE,MAE,R2
DOC,intercept_only,39,9,0.364883396956893,0.24575899811516091,-0.32263823689217874
DOC,lasso,39,9,0.24899439531568424,0.1898966383292184,0.3840974359405056
DOC,time_only,39,9,0.35729658566283073,0.2555725587324618,-0.26820832923383464
DOC,time_plus_fire,39,9,0.4375986318902089,0.3092185766550508,-0.9023252835632112
NO3,intercept_only,81,14,1.080439305615011,0.7661241937728713,-0.03402258593288221
NO3,lasso,81,14,1.080439305615011,0.7661241937728716,-0.03402258593288221
NO3,time_only,81,14,1.1238657915686894,0.792642648608533,-0.11881473987816717
NO3,time_plus_fire,81,14,1.1544516116941608,0.8241365514196407,-0.18054010001784349
