response_var,scenario,predictor,completed_iterations,selection_frequency,median_coefficient,coefficient_q025,coefficient_q975,positive_frequency,negative_frequency,stability_class
DOC,elastic_net_family_balanced,Area_watershed_km,100,0.34,0,0,0.08200694575018158,0.32,0.02,weak
DOC,elastic_net_family_balanced,burn_percent_fire_year,100,0.18,0,-0.006093024833352825,0.2560275099420394,0.13,0.05,weak
DOC,elastic_net_family_balanced,burn_sev_high,100,0.32,0,-0.2708386643907609,0.005521753598220199,0.03,0.29,weak
DOC,elastic_net_family_balanced,forest_cover,100,0.41,0,-0.0645595264338247,0.07862494813280418,0.27,0.14,conditional
DOC,elastic_net_family_balanced,omws,100,0.97,0.1329324171747623,0,0.22834894516664428,0.96,0.01,stable
DOC,elastic_net_family_balanced,post_fire_year,100,0.29,0,-0.08789506790843994,0.01840588219882036,0.04,0.25,weak
DOC,elastic_net_family_balanced,runoffws,100,0.75,0.029283371751648295,-0.010259986603173465,0.16722406173104132,0.72,0.03,stable
DOC,lasso_family_balanced,Area_watershed_km,100,0.35,0,-0.005587551154069822,0.11880181191178467,0.32,0.03,weak
DOC,lasso_family_balanced,burn_percent_fire_year,100,0.14,0,-0.010890834332151864,0.12945744945381243,0.09,0.05,weak
DOC,lasso_family_balanced,burn_sev_high,100,0.06,0,-0.041007167151626465,0.007463439222045654,0.03,0.03,weak
DOC,lasso_family_balanced,forest_cover,100,0.23,0,-0.06421363645675689,0.04858467207396959,0.11,0.12,weak
DOC,lasso_family_balanced,omws,100,0.94,0.14099389839821305,0,0.2673234492266573,0.94,0,stable
DOC,lasso_family_balanced,post_fire_year,100,0.22,0,-0.10390896217720039,0.04448773725873564,0.05,0.17,weak
DOC,lasso_family_balanced,runoffws,100,0.53,0.0035490236362266136,0,0.1138534502184374,0.51,0.02,conditional
DOC,lasso_unweighted,Area_watershed_km,100,0.39,0,0,0.08361423115729807,0.37,0.02,weak
DOC,lasso_unweighted,burn_percent_fire_year,100,0.14,0,-0.03756891518803946,0.13381958438552324,0.1,0.04,weak
DOC,lasso_unweighted,burn_sev_high,100,0.09,0,-0.11825037255163273,0,0.01,0.08,weak
DOC,lasso_unweighted,forest_cover,100,0.29,0,-0.06540901604930086,0.07735949272145659,0.15,0.14,weak
DOC,lasso_unweighted,omws,100,0.94,0.14746889093068188,0,0.2710487558144699,0.94,0,stable
DOC,lasso_unweighted,post_fire_year,100,0.23,0,-0.0430814930443876,0,0.02,0.21,weak
DOC,lasso_unweighted,runoffws,100,0.5,0,0,0.12310326182431003,0.48,0.02,conditional
NO3,elastic_net_family_balanced,Area_watershed_km,100,0.08,0,-0.029903999232293484,0.01877961824341091,0.03,0.05,weak
NO3,elastic_net_family_balanced,burn_percent_fire_year,100,0.08,0,0,0.06504760520090959,0.06,0.02,weak
NO3,elastic_net_family_balanced,burn_sev_high,100,0.06,0,0,0.036804406098285544,0.05,0.01,weak
NO3,elastic_net_family_balanced,forest_cover,100,0.03,0,0,0,0.02,0.01,weak
NO3,elastic_net_family_balanced,omws,100,0.16,0,-0.29518520196665127,0,0,0.16,weak
NO3,elastic_net_family_balanced,post_fire_year,100,0.18,0,0,0.19636789673824823,0.18,0,weak
NO3,elastic_net_family_balanced,runoffws,100,0.1,0,-0.14308546818587056,0,0.02,0.08,weak
NO3,lasso_family_balanced,Area_watershed_km,100,0.05,0,-0.053888695659065164,0,0.01,0.04,weak
NO3,lasso_family_balanced,burn_percent_fire_year,100,0.04,0,0,0.057385175542909825,0.04,0,weak
NO3,lasso_family_balanced,burn_sev_high,100,0.03,0,0,0,0.02,0.01,weak
NO3,lasso_family_balanced,forest_cover,100,0.03,0,0,0,0.01,0.02,weak
NO3,lasso_family_balanced,omws,100,0.09,0,-0.28328773707659316,0,0,0.09,weak
NO3,lasso_family_balanced,post_fire_year,100,0.07,0,0,0.20779475645956996,0.07,0,weak
NO3,lasso_family_balanced,runoffws,100,0.06,0,-0.11094205666919116,0,0,0.06,weak
NO3,lasso_unweighted,Area_watershed_km,100,0.03,0,0,0.11089255701356002,0.03,0,weak
NO3,lasso_unweighted,burn_percent_fire_year,100,0.07,0,0,0.1916042051405729,0.07,0,weak
NO3,lasso_unweighted,burn_sev_high,100,0.08,0,-0.24862258733827497,0,0,0.08,weak
NO3,lasso_unweighted,forest_cover,100,0.04,0,0,8.154204972701779e-5,0.03,0.01,weak
NO3,lasso_unweighted,omws,100,0.22,0,-0.3526840291710016,0,0.01,0.21,weak
NO3,lasso_unweighted,post_fire_year,100,0.15,0,0,0.18899976051073467,0.15,0,weak
NO3,lasso_unweighted,runoffws,100,0.07,0,-0.04751387534071576,0.019127051804411217,0.04,0.03,weak
