response_var,scenario,iteration,predictor,coefficient,lambda
DOC,lasso_family_balanced,11,runoffws,0.05412328233847478,0.03043919359735242
DOC,lasso_family_balanced,11,forest_cover,0,0.03043919359735242
DOC,lasso_family_balanced,11,omws,0.2276253136024945,0.03043919359735242
DOC,lasso_family_balanced,12,post_fire_year,0,0.14054797613616052
DOC,lasso_family_balanced,12,burn_percent_fire_year,0,0.14054797613616052
DOC,lasso_family_balanced,12,burn_sev_high,0,0.14054797613616052
DOC,lasso_family_balanced,12,Area_watershed_km,0,0.14054797613616052
DOC,lasso_family_balanced,12,runoffws,0.026281531447040013,0.14054797613616052
DOC,lasso_family_balanced,12,forest_cover,0,0.14054797613616052
DOC,lasso_family_balanced,12,omws,0.15539702107831968,0.14054797613616052
DOC,lasso_family_balanced,13,post_fire_year,-0.02979558118167767,0.12124175770731714
DOC,lasso_family_balanced,13,burn_percent_fire_year,0,0.12124175770731714
DOC,lasso_family_balanced,13,burn_sev_high,0,0.12124175770731714
DOC,lasso_family_balanced,13,Area_watershed_km,0,0.12124175770731714
DOC,lasso_family_balanced,13,runoffws,0,0.12124175770731714
DOC,lasso_family_balanced,13,forest_cover,0,0.12124175770731714
DOC,lasso_family_balanced,13,omws,0.10871430416873105,0.12124175770731714
DOC,lasso_family_balanced,14,post_fire_year,0,0.13424485557267093
DOC,lasso_family_balanced,14,burn_percent_fire_year,0,0.13424485557267093
DOC,lasso_family_balanced,14,burn_sev_high,0,0.13424485557267093
DOC,lasso_family_balanced,14,Area_watershed_km,0,0.13424485557267093
DOC,lasso_family_balanced,14,runoffws,0,0.13424485557267093
DOC,lasso_family_balanced,14,forest_cover,0,0.13424485557267093
DOC,lasso_family_balanced,14,omws,0.2044368524001691,0.13424485557267093
DOC,lasso_family_balanced,15,post_fire_year,0,0.05218956749056032
DOC,lasso_family_balanced,15,burn_percent_fire_year,0,0.05218956749056032
DOC,lasso_family_balanced,15,burn_sev_high,0,0.05218956749056032
DOC,lasso_family_balanced,15,Area_watershed_km,0.01944805443269743,0.05218956749056032
DOC,lasso_family_balanced,15,runoffws,0.08657330942101897,0.05218956749056032
DOC,lasso_family_balanced,15,forest_cover,0,0.05218956749056032
DOC,lasso_family_balanced,15,omws,0.1116686946267186,0.05218956749056032
DOC,lasso_family_balanced,16,post_fire_year,0,0.09988541638938124
DOC,lasso_family_balanced,16,burn_percent_fire_year,0,0.09988541638938124
DOC,lasso_family_balanced,16,burn_sev_high,0,0.09988541638938124
DOC,lasso_family_balanced,16,Area_watershed_km,0.0255597127720911,0.09988541638938124
DOC,lasso_family_balanced,16,runoffws,0.05481907044005042,0.09988541638938124
DOC,lasso_family_balanced,16,forest_cover,0,0.09988541638938124
DOC,lasso_family_balanced,16,omws,0.13369570823591495,0.09988541638938124
DOC,lasso_family_balanced,17,post_fire_year,0,0.1331429018765206
DOC,lasso_family_balanced,17,burn_percent_fire_year,0,0.1331429018765206
DOC,lasso_family_balanced,17,burn_sev_high,0,0.1331429018765206
DOC,lasso_family_balanced,17,Area_watershed_km,0,0.1331429018765206
DOC,lasso_family_balanced,17,runoffws,0.031426524996720995,0.1331429018765206
DOC,lasso_family_balanced,17,forest_cover,0,0.1331429018765206
DOC,lasso_family_balanced,17,omws,0.10625998655818325,0.1331429018765206
DOC,lasso_family_balanced,18,post_fire_year,0,0.046437374422160324
DOC,lasso_family_balanced,18,burn_percent_fire_year,0,0.046437374422160324
DOC,lasso_family_balanced,18,burn_sev_high,0,0.046437374422160324
DOC,lasso_family_balanced,18,Area_watershed_km,0.009210780318244285,0.046437374422160324
DOC,lasso_family_balanced,18,runoffws,0.12277772926540607,0.046437374422160324
DOC,lasso_family_balanced,18,forest_cover,0,0.046437374422160324
DOC,lasso_family_balanced,18,omws,0.11265252611039865,0.046437374422160324
DOC,lasso_family_balanced,19,post_fire_year,0,0.09261257080106863
DOC,lasso_family_balanced,19,burn_percent_fire_year,0,0.09261257080106863
DOC,lasso_family_balanced,19,burn_sev_high,0,0.09261257080106863
DOC,lasso_family_balanced,19,Area_watershed_km,0,0.09261257080106863
DOC,lasso_family_balanced,19,runoffws,0.035977285597212645,0.09261257080106863
DOC,lasso_family_balanced,19,forest_cover,0,0.09261257080106863
DOC,lasso_family_balanced,19,omws,0.15314917629367408,0.09261257080106863
DOC,lasso_family_balanced,20,post_fire_year,0,0.20124986103312276
DOC,lasso_family_balanced,20,burn_percent_fire_year,0,0.20124986103312276
DOC,lasso_family_balanced,20,burn_sev_high,0,0.20124986103312276
DOC,lasso_family_balanced,20,Area_watershed_km,0,0.20124986103312276
DOC,lasso_family_balanced,20,runoffws,0,0.20124986103312276
DOC,lasso_family_balanced,20,forest_cover,0,0.20124986103312276
DOC,lasso_family_balanced,20,omws,0.11651218845719456,0.20124986103312276
DOC,lasso_family_balanced,21,post_fire_year,0,0.1871141831158568
DOC,lasso_family_balanced,21,burn_percent_fire_year,0,0.1871141831158568
DOC,lasso_family_balanced,21,burn_sev_high,0,0.1871141831158568
DOC,lasso_family_balanced,21,Area_watershed_km,0,0.1871141831158568
DOC,lasso_family_balanced,21,runoffws,0,0.1871141831158568
DOC,lasso_family_balanced,21,forest_cover,0,0.1871141831158568
DOC,lasso_family_balanced,21,omws,0.09888841887037549,0.1871141831158568
DOC,lasso_family_balanced,22,post_fire_year,0,0.31391314736129494
DOC,lasso_family_balanced,22,burn_percent_fire_year,0,0.31391314736129494
DOC,lasso_family_balanced,22,burn_sev_high,0,0.31391314736129494
DOC,lasso_family_balanced,22,Area_watershed_km,0,0.31391314736129494
DOC,lasso_family_balanced,22,runoffws,0,0.31391314736129494
DOC,lasso_family_balanced,22,forest_cover,0,0.31391314736129494
DOC,lasso_family_balanced,22,omws,0,0.31391314736129494
DOC,lasso_family_balanced,23,post_fire_year,0,0.018948518226059228
DOC,lasso_family_balanced,23,burn_percent_fire_year,0,0.018948518226059228
DOC,lasso_family_balanced,23,burn_sev_high,0,0.018948518226059228
DOC,lasso_family_balanced,23,Area_watershed_km,0.05789161137918425,0.018948518226059228
DOC,lasso_family_balanced,23,runoffws,0.034008546434448256,0.018948518226059228
DOC,lasso_family_balanced,23,forest_cover,0,0.018948518226059228
DOC,lasso_family_balanced,23,omws,0.20204892234580013,0.018948518226059228
DOC,lasso_family_balanced,24,post_fire_year,0,0.16316244664584909
DOC,lasso_family_balanced,24,burn_percent_fire_year,0,0.16316244664584909
DOC,lasso_family_balanced,24,burn_sev_high,0,0.16316244664584909
DOC,lasso_family_balanced,24,Area_watershed_km,0,0.16316244664584909
DOC,lasso_family_balanced,24,runoffws,0,0.16316244664584909
DOC,lasso_family_balanced,24,forest_cover,0,0.16316244664584909
DOC,lasso_family_balanced,24,omws,0.1651407515809046,0.16316244664584909
DOC,lasso_family_balanced,25,post_fire_year,0,0.06586589817975545
DOC,lasso_family_balanced,25,burn_percent_fire_year,0,0.06586589817975545
DOC,lasso_family_balanced,25,burn_sev_high,0,0.06586589817975545
DOC,lasso_family_balanced,25,Area_watershed_km,0.0660985033505541,0.06586589817975545
DOC,lasso_family_balanced,25,runoffws,0.08682713290158961,0.06586589817975545
DOC,lasso_family_balanced,25,forest_cover,0,0.06586589817975545
DOC,lasso_family_balanced,25,omws,0.14104286500262037,0.06586589817975545
DOC,lasso_family_balanced,26,post_fire_year,0,0.2324250838368918
DOC,lasso_family_balanced,26,burn_percent_fire_year,0,0.2324250838368918
DOC,lasso_family_balanced,26,burn_sev_high,0,0.2324250838368918
DOC,lasso_family_balanced,26,Area_watershed_km,0,0.2324250838368918
DOC,lasso_family_balanced,26,runoffws,0,0.2324250838368918
DOC,lasso_family_balanced,26,forest_cover,0,0.2324250838368918
DOC,lasso_family_balanced,26,omws,0.020836333880027313,0.2324250838368918
DOC,lasso_family_balanced,27,post_fire_year,-0.05524847798819119,0.0018766857725860662
DOC,lasso_family_balanced,27,burn_percent_fire_year,-0.07105229402652281,0.0018766857725860662
DOC,lasso_family_balanced,27,burn_sev_high,0,0.0018766857725860662
DOC,lasso_family_balanced,27,Area_watershed_km,-0.044746579480580174,0.0018766857725860662
DOC,lasso_family_balanced,27,runoffws,0.014601189187285537,0.0018766857725860662
DOC,lasso_family_balanced,27,forest_cover,-0.09652743384680554,0.0018766857725860662
DOC,lasso_family_balanced,27,omws,0.23756456065305337,0.0018766857725860662
DOC,lasso_family_balanced,28,post_fire_year,-0.12218905129973545,0.07503517978205018
DOC,lasso_family_balanced,28,burn_percent_fire_year,0,0.07503517978205018
DOC,lasso_family_balanced,28,burn_sev_high,0,0.07503517978205018
DOC,lasso_family_balanced,28,Area_watershed_km,0,0.07503517978205018
DOC,lasso_family_balanced,28,runoffws,0,0.07503517978205018
DOC,lasso_family_balanced,28,forest_cover,0,0.07503517978205018
DOC,lasso_family_balanced,28,omws,0.14094493179380574,0.07503517978205018
DOC,lasso_family_balanced,29,post_fire_year,0,0.05795337661616976
DOC,lasso_family_balanced,29,burn_percent_fire_year,0,0.05795337661616976
DOC,lasso_family_balanced,29,burn_sev_high,0,0.05795337661616976
DOC,lasso_family_balanced,29,Area_watershed_km,0,0.05795337661616976
DOC,lasso_family_balanced,29,runoffws,0.059849891107186186,0.05795337661616976
DOC,lasso_family_balanced,29,forest_cover,0,0.05795337661616976
DOC,lasso_family_balanced,29,omws,0.1746991743526218,0.05795337661616976
DOC,lasso_family_balanced,30,post_fire_year,0,0.0825194941938734
DOC,lasso_family_balanced,30,burn_percent_fire_year,0,0.0825194941938734
DOC,lasso_family_balanced,30,burn_sev_high,0,0.0825194941938734
DOC,lasso_family_balanced,30,Area_watershed_km,0,0.0825194941938734
DOC,lasso_family_balanced,30,runoffws,0.0806560202010109,0.0825194941938734
DOC,lasso_family_balanced,30,forest_cover,0,0.0825194941938734
DOC,lasso_family_balanced,30,omws,0.191099744327901,0.0825194941938734
DOC,lasso_family_balanced,31,post_fire_year,0,0.15381905180612926
DOC,lasso_family_balanced,31,burn_percent_fire_year,0,0.15381905180612926
DOC,lasso_family_balanced,31,burn_sev_high,0,0.15381905180612926
DOC,lasso_family_balanced,31,Area_watershed_km,0,0.15381905180612926
DOC,lasso_family_balanced,31,runoffws,0,0.15381905180612926
DOC,lasso_family_balanced,31,forest_cover,0,0.15381905180612926
DOC,lasso_family_balanced,31,omws,0.19566800263680137,0.15381905180612926
DOC,lasso_family_balanced,32,post_fire_year,0,0.02320728930135815
DOC,lasso_family_balanced,32,burn_percent_fire_year,0,0.02320728930135815
DOC,lasso_family_balanced,32,burn_sev_high,0,0.02320728930135815
DOC,lasso_family_balanced,32,Area_watershed_km,0.03420128599275743,0.02320728930135815
DOC,lasso_family_balanced,32,runoffws,0,0.02320728930135815
DOC,lasso_family_balanced,32,forest_cover,0,0.02320728930135815
DOC,lasso_family_balanced,32,omws,0.18832342570924754,0.02320728930135815
DOC,lasso_family_balanced,33,post_fire_year,-0.013802527429901129,0.007368267403599088
DOC,lasso_family_balanced,33,burn_percent_fire_year,0.0020196248342683677,0.007368267403599088
DOC,lasso_family_balanced,33,burn_sev_high,0.02470150752307922,0.007368267403599088
DOC,lasso_family_balanced,33,Area_watershed_km,0.024014186034125196,0.007368267403599088
DOC,lasso_family_balanced,33,runoffws,0.008223213861504949,0.007368267403599088
DOC,lasso_family_balanced,33,forest_cover,-0.057038712482208986,0.007368267403599088
DOC,lasso_family_balanced,33,omws,0.12670198677059732,0.007368267403599088
DOC,lasso_family_balanced,34,post_fire_year,0.050149249528504164,9.933548574159576e-4
DOC,lasso_family_balanced,34,burn_percent_fire_year,-0.2237213261985825,9.933548574159576e-4
DOC,lasso_family_balanced,34,burn_sev_high,0.043260605093886476,9.933548574159576e-4
DOC,lasso_family_balanced,34,Area_watershed_km,0.06681914813472514,9.933548574159576e-4
DOC,lasso_family_balanced,34,runoffws,0.07996210037581762,9.933548574159576e-4
DOC,lasso_family_balanced,34,forest_cover,-0.18595289977768,9.933548574159576e-4
DOC,lasso_family_balanced,34,omws,0.2589981204994336,9.933548574159576e-4
DOC,lasso_family_balanced,35,post_fire_year,0,0.054641151560766425
DOC,lasso_family_balanced,35,burn_percent_fire_year,0,0.054641151560766425
DOC,lasso_family_balanced,35,burn_sev_high,0,0.054641151560766425
DOC,lasso_family_balanced,35,Area_watershed_km,0.05214698923950216,0.054641151560766425
DOC,lasso_family_balanced,35,runoffws,0.06651682137617031,0.054641151560766425
DOC,lasso_family_balanced,35,forest_cover,0,0.054641151560766425
DOC,lasso_family_balanced,35,omws,0.1525583014421639,0.054641151560766425
DOC,lasso_family_balanced,36,post_fire_year,-0.04633684061277715,0.007857017095868994
DOC,lasso_family_balanced,36,burn_percent_fire_year,0.05895860245398151,0.007857017095868994
DOC,lasso_family_balanced,36,burn_sev_high,0,0.007857017095868994
DOC,lasso_family_balanced,36,Area_watershed_km,0.08420223336850706,0.007857017095868994
DOC,lasso_family_balanced,36,runoffws,0.06725966243732434,0.007857017095868994
DOC,lasso_family_balanced,36,forest_cover,0,0.007857017095868994
DOC,lasso_family_balanced,36,omws,0.14624809875009925,0.007857017095868994
DOC,lasso_family_balanced,37,post_fire_year,0,0.08032200663013239
DOC,lasso_family_balanced,37,burn_percent_fire_year,0,0.08032200663013239
DOC,lasso_family_balanced,37,burn_sev_high,0,0.08032200663013239
DOC,lasso_family_balanced,37,Area_watershed_km,0.03044911051079728,0.08032200663013239
DOC,lasso_family_balanced,37,runoffws,0.06943682178628464,0.08032200663013239
DOC,lasso_family_balanced,37,forest_cover,0,0.08032200663013239
DOC,lasso_family_balanced,37,omws,0.14889670871890304,0.08032200663013239
DOC,lasso_family_balanced,38,post_fire_year,0,0.06599568533478456
DOC,lasso_family_balanced,38,burn_percent_fire_year,0,0.06599568533478456
DOC,lasso_family_balanced,38,burn_sev_high,0,0.06599568533478456
DOC,lasso_family_balanced,38,Area_watershed_km,0,0.06599568533478456
DOC,lasso_family_balanced,38,runoffws,0.01634794890674764,0.06599568533478456
DOC,lasso_family_balanced,38,forest_cover,0,0.06599568533478456
DOC,lasso_family_balanced,38,omws,0.06588200950082317,0.06599568533478456
DOC,lasso_family_balanced,39,post_fire_year,0,0.13178812919520186
DOC,lasso_family_balanced,39,burn_percent_fire_year,0,0.13178812919520186
DOC,lasso_family_balanced,39,burn_sev_high,0,0.13178812919520186
DOC,lasso_family_balanced,39,Area_watershed_km,0,0.13178812919520186
DOC,lasso_family_balanced,39,runoffws,0.03189615561476683,0.13178812919520186
DOC,lasso_family_balanced,39,forest_cover,0,0.13178812919520186
DOC,lasso_family_balanced,39,omws,0.12033568185270382,0.13178812919520186
DOC,lasso_family_balanced,40,post_fire_year,0,0.16655205261796804
DOC,lasso_family_balanced,40,burn_percent_fire_year,0,0.16655205261796804
DOC,lasso_family_balanced,40,burn_sev_high,0,0.16655205261796804
DOC,lasso_family_balanced,40,Area_watershed_km,0,0.16655205261796804
DOC,lasso_family_balanced,40,runoffws,0,0.16655205261796804
DOC,lasso_family_balanced,40,forest_cover,0,0.16655205261796804
DOC,lasso_family_balanced,40,omws,0.13727700647943591,0.16655205261796804
DOC,lasso_family_balanced,41,post_fire_year,0,0.12248644999009793
DOC,lasso_family_balanced,41,burn_percent_fire_year,0,0.12248644999009793
DOC,lasso_family_balanced,41,burn_sev_high,0,0.12248644999009793
DOC,lasso_family_balanced,41,Area_watershed_km,0,0.12248644999009793
DOC,lasso_family_balanced,41,runoffws,0.01278179789909196,0.12248644999009793
DOC,lasso_family_balanced,41,forest_cover,0,0.12248644999009793
DOC,lasso_family_balanced,41,omws,0.14289517977383726,0.12248644999009793
DOC,lasso_family_balanced,42,post_fire_year,-0.007036060621007321,0.02142337953481785
DOC,lasso_family_balanced,42,burn_percent_fire_year,0,0.02142337953481785
DOC,lasso_family_balanced,42,burn_sev_high,0,0.02142337953481785
DOC,lasso_family_balanced,42,Area_watershed_km,0.006238371856542992,0.02142337953481785
DOC,lasso_family_balanced,42,runoffws,0.0402116581225249,0.02142337953481785
DOC,lasso_family_balanced,42,forest_cover,0,0.02142337953481785
DOC,lasso_family_balanced,42,omws,0.1115332854989617,0.02142337953481785
DOC,lasso_family_balanced,43,post_fire_year,0,0.1474396913742697
DOC,lasso_family_balanced,43,burn_percent_fire_year,0,0.1474396913742697
DOC,lasso_family_balanced,43,burn_sev_high,0,0.1474396913742697
DOC,lasso_family_balanced,43,Area_watershed_km,0,0.1474396913742697
DOC,lasso_family_balanced,43,runoffws,0.020299167985143696,0.1474396913742697
DOC,lasso_family_balanced,43,forest_cover,0,0.1474396913742697
DOC,lasso_family_balanced,43,omws,0.1342665110917993,0.1474396913742697
DOC,lasso_family_balanced,44,post_fire_year,0,0.13445661323730165
DOC,lasso_family_balanced,44,burn_percent_fire_year,0,0.13445661323730165
DOC,lasso_family_balanced,44,burn_sev_high,0,0.13445661323730165
DOC,lasso_family_balanced,44,Area_watershed_km,0,0.13445661323730165
DOC,lasso_family_balanced,44,runoffws,0.003614942863037449,0.13445661323730165
DOC,lasso_family_balanced,44,forest_cover,0,0.13445661323730165
DOC,lasso_family_balanced,44,omws,0.13154271563819822,0.13445661323730165
DOC,lasso_family_balanced,45,post_fire_year,0,0.17635481272476183
DOC,lasso_family_balanced,45,burn_percent_fire_year,0,0.17635481272476183
DOC,lasso_family_balanced,45,burn_sev_high,0,0.17635481272476183
DOC,lasso_family_balanced,45,Area_watershed_km,0,0.17635481272476183
DOC,lasso_family_balanced,45,runoffws,0,0.17635481272476183
DOC,lasso_family_balanced,45,forest_cover,0,0.17635481272476183
DOC,lasso_family_balanced,45,omws,0.1389331235957969,0.17635481272476183
DOC,lasso_family_balanced,46,post_fire_year,0,0.018712687721034862
DOC,lasso_family_balanced,46,burn_percent_fire_year,0,0.018712687721034862
DOC,lasso_family_balanced,46,burn_sev_high,0,0.018712687721034862
DOC,lasso_family_balanced,46,Area_watershed_km,-0.010642954579180615,0.018712687721034862
DOC,lasso_family_balanced,46,runoffws,0.16789308995200977,0.018712687721034862
DOC,lasso_family_balanced,46,forest_cover,0.09909308823856394,0.018712687721034862
DOC,lasso_family_balanced,46,omws,0.09984354236615592,0.018712687721034862
DOC,lasso_family_balanced,47,post_fire_year,0.005049323036004861,0.0026530166824866655
DOC,lasso_family_balanced,47,burn_percent_fire_year,0.12592598827927945,0.0026530166824866655
DOC,lasso_family_balanced,47,burn_sev_high,0,0.0026530166824866655
DOC,lasso_family_balanced,47,Area_watershed_km,0.22918996934289698,0.0026530166824866655
DOC,lasso_family_balanced,47,runoffws,-0.1751938558491381,0.0026530166824866655
DOC,lasso_family_balanced,47,forest_cover,0.06516142708251844,0.0026530166824866655
DOC,lasso_family_balanced,47,omws,0.3903016651951404,0.0026530166824866655
DOC,lasso_family_balanced,48,post_fire_year,-0.1733262311527126,0.022513066921357176
DOC,lasso_family_balanced,48,burn_percent_fire_year,0.1432668811692291,0.022513066921357176
DOC,lasso_family_balanced,48,burn_sev_high,0,0.022513066921357176
