response_var,n_rows,n_studies,n_comparisons,n_pairs,n_shared_control_families,n_calendar_years,n_pending_pair_rows,pairing_status
DOC,39,9,20,20,13,13,39,Provisional: co-author confirmation pending
NO3,81,14,33,33,20,29,81,Provisional: co-author confirmation pending
