Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-02,Burn,0,Individual,76.685,mg_C_L,,,0.013253878,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-04,Burn,0,Individual,,mg_C_L,,,0.019688234,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-05,Burn,0,Individual,,mg_C_L,,,0.00641895,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-06,Burn,0,Individual,18.132,mg_C_L,,,2.695044324,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-07,Burn,0,Individual,10.759,mg_C_L,,,2.293150558,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-08,Burn,0,Individual,10.474,mg_C_L,,,2.71326613,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-10,Burn,0,Individual,10.237,mg_C_L,,,2.064121645,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-12,Burn,0,Individual,,mg_C_L,,,3.331173034,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-16,Burn,0,Individual,1.375,mg_C_L,,,0.090321893,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-16,Burn,0,Individual,5.811,mg_C_L,,,4.43441725,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-19,Burn,0,Individual,,mg_C_L,,,3.419532686,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,Csa,Benjamin Slough,2018-10-26,Burn,0,Individual,73.618,mg_C_L,,,0,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-02,Unburn,0,Individual,7.769,mg_C_L,,,4.021011953,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-04,Unburn,0,Individual,,mg_C_L,,,3.060652746,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-05,Unburn,0,Individual,,mg_C_L,,,1.978669638,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-06,Unburn,0,Individual,15.092,mg_C_L,,,3.924418173,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-07,Unburn,0,Individual,3.051,mg_C_L,,,3.565195086,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-08,Unburn,0,Individual,2.312,mg_C_L,,,2.87428891,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-10,Unburn,0,Individual,,mg_C_L,,,3.241101849,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-12,Unburn,0,Individual,5.071,mg_C_L,,,2.941551325,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-16,Unburn,0,Individual,1.215,mg_C_L,,,3.229483872,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-19,Unburn,0,Individual,0.75,mg_C_L,,,0,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control_2,Csa,Dry Creek,2018-10-26,Unburn,0,Individual,74.003,mg_C_L,,,0,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-02,Unburn,0,Individual,,mg_C_L,,,0.16975272,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-03,Unburn,0,Individual,28.469,mg_C_L,,,0.174080574,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-04,Unburn,0,Individual,6.338,mg_C_L,,,0.357655815,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-05,Unburn,0,Individual,4.923,mg_C_L,,,0.418063693,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-06,Unburn,0,Individual,8.354,mg_C_L,,,0.276762762,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-07,Unburn,0,Individual,,mg_C_L,,,0.409912201,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-08,Unburn,0,Individual,6.051,mg_C_L,,,0.561633597,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-10,Unburn,0,Individual,6.502,mg_C_L,,,0.565395609,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-12,Unburn,0,Individual,,mg_C_L,,,1.290054844,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-16,Unburn,0,Individual,,mg_C_L,,,1.651576315,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-19,Unburn,0,Individual,,mg_C_L,,,1.593473825,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control_1,Csa,Hobble Creek Lower,2018-10-26,Unburn,0,Individual,37.859,mg_C_L,,,0,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-02,Unburn,0,Individual,6.441,mg_C_L,,,0.091754707,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-03,Unburn,0,Individual,4.353,mg_C_L,,,0.095259008,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-04,Unburn,0,Individual,,mg_C_L,,,0.052068706,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-05,Unburn,0,Individual,4.35,mg_C_L,,,0.059889656,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-06,Unburn,0,Individual,6.332,mg_C_L,,,0.070160256,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-07,Unburn,0,Individual,,mg_C_L,,,0.072797586,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-08,Unburn,0,Individual,3,mg_C_L,,,0.073056697,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-10,Unburn,0,Individual,3.893,mg_C_L,,,0.088791037,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-16,Unburn,0,Individual,3.08,mg_C_L,,,0.097048975,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control_1,Csa,Hobble Creek Upper,2018-10-19,Unburn,0,Individual,,mg_C_L,,,0.086375002,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-02,Unburn,0,Individual,44.054,mg_C_L,,,10.60752674,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-03,Unburn,0,Individual,,mg_C_L,,,7.79221429,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-04,Unburn,0,Individual,,mg_C_L,,,7.626276804,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-05,Unburn,0,Individual,6.261,mg_C_L,,,8.220111596,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-06,Unburn,0,Individual,9.616,mg_C_L,,,6.648316258,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-07,Unburn,0,Individual,10.738,mg_C_L,,,8.817970311,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-08,Unburn,0,Individual,10.255,mg_C_L,,,8.442982071,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-10,Unburn,0,Individual,6.033,mg_C_L,,,11.45002265,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-12,Unburn,0,Individual,,mg_C_L,,,9.006527487,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-16,Unburn,0,Individual,,mg_C_L,,,9.840908325,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-19,Unburn,0,Individual,49.983,mg_C_L,,,11.5458461,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control_2,Csa,Mill Race,2018-10-26,Unburn,0,Individual,49.661,mg_C_L,,,0,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control_2,Csa,Mitsubishi Race,2018-10-02,Unburn,0,Individual,,mg_C_L,,,1.681788658,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control_2,Csa,Mitsubishi Race,2018-10-03,Unburn,0,Individual,,mg_C_L,,,1.621040434,mg_N_L,,,Supplemental,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control_2,Csa,Mitsubishi Race,2018-10-04,Unburn,0,Individual,,mg_C_L,,,1.728462252,mg_N_L,,,Supplemental,
