agency_cd,site_no,dateTime,X_00060_00000,X_00060_00000_cd,tz_cd
USGS,11451800,2016-01-01T08:00:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T08:15:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T08:30:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T08:45:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T09:00:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T09:15:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T09:30:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T09:45:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T10:00:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T10:15:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T10:30:00Z,52,A,UTC
USGS,11451800,2016-01-01T10:45:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T11:00:00Z,52,A,UTC
USGS,11451800,2016-01-01T11:15:00Z,52,A,UTC
USGS,11451800,2016-01-01T11:30:00Z,52,A,UTC
USGS,11451800,2016-01-01T11:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T12:00:00Z,52,A,UTC
USGS,11451800,2016-01-01T12:15:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T12:30:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T12:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T13:00:00Z,52,A,UTC
USGS,11451800,2016-01-01T13:15:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T13:30:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T13:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T14:00:00Z,52,A,UTC
USGS,11451800,2016-01-01T14:15:00Z,52,A,UTC
USGS,11451800,2016-01-01T14:30:00Z,52,A,UTC
USGS,11451800,2016-01-01T14:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T15:00:00Z,52,A,UTC
USGS,11451800,2016-01-01T15:15:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T15:30:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T15:45:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T16:00:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T16:15:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T16:30:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T16:45:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T17:00:00Z,53.9,A,UTC
USGS,11451800,2016-01-01T17:15:00Z,52,A,UTC
USGS,11451800,2016-01-01T17:30:00Z,52,A,UTC
USGS,11451800,2016-01-01T17:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T18:00:00Z,52,A,UTC
USGS,11451800,2016-01-01T18:15:00Z,52,A,UTC
USGS,11451800,2016-01-01T18:30:00Z,52,A,UTC
USGS,11451800,2016-01-01T18:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T19:00:00Z,52,A,UTC
USGS,11451800,2016-01-01T19:15:00Z,52,A,UTC
USGS,11451800,2016-01-01T19:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T20:00:00Z,52,A,UTC
USGS,11451800,2016-01-01T20:15:00Z,52,A,UTC
USGS,11451800,2016-01-01T20:30:00Z,52,A,UTC
USGS,11451800,2016-01-01T20:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T21:00:00Z,50.1,A,UTC
USGS,11451800,2016-01-01T21:15:00Z,50.1,A,UTC
USGS,11451800,2016-01-01T21:30:00Z,52,A,UTC
USGS,11451800,2016-01-01T21:45:00Z,52,A,UTC
USGS,11451800,2016-01-01T22:00:00Z,52,A,UTC
