agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,11451800,2016-01-01,52.4,A
USGS,11451800,2016-01-02,52,A
USGS,11451800,2016-01-03,51.3,A
USGS,11451800,2016-01-04,57.9,A
USGS,11451800,2016-01-05,171,A
USGS,11451800,2016-01-06,510,A
USGS,11451800,2016-01-07,403,A
USGS,11451800,2016-01-08,172,A
USGS,11451800,2016-01-09,119,A
USGS,11451800,2016-01-10,119,A
USGS,11451800,2016-01-11,112,A
USGS,11451800,2016-01-12,93.7,A
USGS,11451800,2016-01-13,166,A
USGS,11451800,2016-01-14,251,A
USGS,11451800,2016-01-15,262,A
USGS,11451800,2016-01-16,348,A
USGS,11451800,2016-01-17,428,A
USGS,11451800,2016-01-18,1360,A
USGS,11451800,2016-01-19,1050,A
USGS,11451800,2016-01-20,750,A
USGS,11451800,2016-01-21,364,A
USGS,11451800,2016-01-22,276,A
USGS,11451800,2016-01-23,302,A
USGS,11451800,2016-01-24,262,A
USGS,11451800,2016-01-25,214,A
USGS,11451800,2016-01-26,181,A
USGS,11451800,2016-01-27,154,A
USGS,11451800,2016-01-28,135,A
USGS,11451800,2016-01-29,130,A
USGS,11451800,2016-01-30,152,A
USGS,11451800,2016-01-31,142,A
USGS,11451800,2016-02-01,127,A
USGS,11451800,2016-02-02,113,A
USGS,11451800,2016-02-03,105,A
USGS,11451800,2016-02-04,98.9,A
USGS,11451800,2016-02-05,93.3,A
USGS,11451800,2016-02-06,87.5,A
USGS,11451800,2016-02-07,82.4,A
USGS,11451800,2016-02-08,78.7,A
USGS,11451800,2016-02-09,74.6,A
USGS,11451800,2016-02-10,72.2,A
USGS,11451800,2016-02-11,70.1,A
USGS,11451800,2016-02-12,68.3,A
USGS,11451800,2016-02-13,65.9,A
USGS,11451800,2016-02-14,63.5,A
USGS,11451800,2016-02-15,61.6,A
USGS,11451800,2016-02-16,60.4,A
USGS,11451800,2016-02-17,61.2,A
USGS,11451800,2016-02-18,81.4,A
USGS,11451800,2016-02-19,86,A
USGS,11451800,2016-02-20,113,A
USGS,11451800,2016-02-21,106,A
USGS,11451800,2016-02-22,89.1,A
USGS,11451800,2016-02-23,80.6,A
USGS,11451800,2016-02-24,75.3,A
USGS,11451800,2016-02-25,71.4,A
USGS,11451800,2016-02-26,68.8,A
USGS,11451800,2016-02-27,66.1,A
USGS,11451800,2016-02-28,64.4,A
USGS,11451800,2016-02-29,62.5,A
USGS,11451800,2016-03-01,60.1,A
USGS,11451800,2016-03-02,59,A
USGS,11451800,2016-03-03,58.9,A
USGS,11451800,2016-03-04,60.5,A
USGS,11451800,2016-03-05,201,A
USGS,11451800,2016-03-06,2190,A
USGS,11451800,2016-03-07,2940,A
USGS,11451800,2016-03-08,840,A
USGS,11451800,2016-03-09,556,A
USGS,11451800,2016-03-10,1580,A
USGS,11451800,2016-03-11,3980,A
USGS,11451800,2016-03-12,3360,A
USGS,11451800,2016-03-13,2870,A
USGS,11451800,2016-03-14,2520,A
USGS,11451800,2016-03-15,1780,A
USGS,11451800,2016-03-16,3090,A
USGS,11451800,2016-03-17,3040,A
USGS,11451800,2016-03-18,2880,A
USGS,11451800,2016-03-19,1010,A
USGS,11451800,2016-03-20,1320,A
USGS,11451800,2016-03-21,1110,A
USGS,11451800,2016-03-22,1110,A
USGS,11451800,2016-03-23,964,A
USGS,11451800,2016-03-24,878,A
USGS,11451800,2016-03-25,947,A
USGS,11451800,2016-03-26,1090,A
USGS,11451800,2016-03-27,1060,A
USGS,11451800,2016-03-28,1040,A
USGS,11451800,2016-03-29,1020,A
USGS,11451800,2016-03-30,1010,A
USGS,11451800,2016-03-31,978,A
USGS,11451800,2016-04-01,617,A
USGS,11451800,2016-04-02,597,A
USGS,11451800,2016-04-03,582,A
USGS,11451800,2016-04-04,555,A
USGS,11451800,2016-04-05,463,A
USGS,11451800,2016-04-06,360,A
USGS,11451800,2016-04-07,354,A
USGS,11451800,2016-04-08,352,A
USGS,11451800,2016-04-09,350,A
USGS,11451800,2016-04-10,307,A
USGS,11451800,2016-04-11,300,A
USGS,11451800,2016-04-12,288,A
USGS,11451800,2016-04-13,278,A
USGS,11451800,2016-04-14,285,A
USGS,11451800,2016-04-15,282,A
USGS,11451800,2016-04-16,263,A
USGS,11451800,2016-04-17,257,A
USGS,11451800,2016-04-18,240,A
USGS,11451800,2016-04-19,270,A
USGS,11451800,2016-04-20,343,A
USGS,11451800,2016-04-21,404,A
USGS,11451800,2016-04-22,418,A
USGS,11451800,2016-04-23,394,A
USGS,11451800,2016-04-24,384,A
USGS,11451800,2016-04-25,385,A
USGS,11451800,2016-04-26,397,A
USGS,11451800,2016-04-27,477,A
USGS,11451800,2016-04-28,486,A
USGS,11451800,2016-04-29,479,A
USGS,11451800,2016-04-30,509,A
USGS,11451800,2016-05-01,503,A
USGS,11451800,2016-05-02,529,A
USGS,11451800,2016-05-03,557,A
USGS,11451800,2016-05-04,594,A
USGS,11451800,2016-05-05,621,A
USGS,11451800,2016-05-06,664,A
USGS,11451800,2016-05-07,642,A
USGS,11451800,2016-05-08,594,A
USGS,11451800,2016-05-09,564,A
USGS,11451800,2016-05-10,520,A
USGS,11451800,2016-05-11,510,A
USGS,11451800,2016-05-12,507,A
USGS,11451800,2016-05-13,548,A
USGS,11451800,2016-05-14,609,A
USGS,11451800,2016-05-15,606,A
USGS,11451800,2016-05-16,605,A
USGS,11451800,2016-05-17,639,A
USGS,11451800,2016-05-18,633,A
USGS,11451800,2016-05-19,678,A
USGS,11451800,2016-05-20,717,A
USGS,11451800,2016-05-21,718,A
USGS,11451800,2016-05-22,729,A
USGS,11451800,2016-05-23,733,A
USGS,11451800,2016-05-24,722,A
USGS,11451800,2016-05-25,720,A
USGS,11451800,2016-05-26,710,A
USGS,11451800,2016-05-27,699,A
USGS,11451800,2016-05-28,686,A
USGS,11451800,2016-05-29,693,A
USGS,11451800,2016-05-30,732,A
USGS,11451800,2016-05-31,722,A
USGS,11451800,2016-06-01,738,A
USGS,11451800,2016-06-02,757,A
USGS,11451800,2016-06-03,757,A
USGS,11451800,2016-06-04,749,A
USGS,11451800,2016-06-05,737,A
USGS,11451800,2016-06-06,755,A
USGS,11451800,2016-06-07,766,A
USGS,11451800,2016-06-08,777,A
USGS,11451800,2016-06-09,774,A
USGS,11451800,2016-06-10,729,A
USGS,11451800,2016-06-11,704,A
USGS,11451800,2016-06-12,701,A
USGS,11451800,2016-06-13,702,A
USGS,11451800,2016-06-14,702,A
USGS,11451800,2016-06-15,689,A
USGS,11451800,2016-06-16,696,A
USGS,11451800,2016-06-17,673,A
USGS,11451800,2016-06-18,682,A
USGS,11451800,2016-06-19,680,A
USGS,11451800,2016-06-20,687,A
USGS,11451800,2016-06-21,630,A
USGS,11451800,2016-06-22,608,A
USGS,11451800,2016-06-23,686,A
USGS,11451800,2016-06-24,683,A
USGS,11451800,2016-06-25,667,A
USGS,11451800,2016-06-26,712,A
USGS,11451800,2016-06-27,707,A
USGS,11451800,2016-06-28,708,A
USGS,11451800,2016-06-29,717,A
USGS,11451800,2016-06-30,714,A
USGS,11451800,2016-07-01,701,A
USGS,11451800,2016-07-02,705,A
USGS,11451800,2016-07-03,696,A
USGS,11451800,2016-07-04,727,A
USGS,11451800,2016-07-05,731,A
USGS,11451800,2016-07-06,724,A
USGS,11451800,2016-07-07,705,A
USGS,11451800,2016-07-08,697,A
USGS,11451800,2016-07-09,670,A
USGS,11451800,2016-07-10,641,A
USGS,11451800,2016-07-11,630,A
USGS,11451800,2016-07-12,618,A
USGS,11451800,2016-07-13,625,A
USGS,11451800,2016-07-14,636,A
USGS,11451800,2016-07-15,636,A
USGS,11451800,2016-07-16,659,A
USGS,11451800,2016-07-17,708,A
USGS,11451800,2016-07-18,715,A
USGS,11451800,2016-07-19,710,A
USGS,11451800,2016-07-20,708,A
USGS,11451800,2016-07-21,705,A
USGS,11451800,2016-07-22,688,A
USGS,11451800,2016-07-23,673,A
USGS,11451800,2016-07-24,660,A
USGS,11451800,2016-07-25,669,A
USGS,11451800,2016-07-26,646,A
USGS,11451800,2016-07-27,633,A
USGS,11451800,2016-07-28,645,A
USGS,11451800,2016-07-29,650,A
USGS,11451800,2016-07-30,655,A
USGS,11451800,2016-07-31,655,A
USGS,11451800,2016-08-01,646,A
USGS,11451800,2016-08-02,633,A
USGS,11451800,2016-08-03,621,A
USGS,11451800,2016-08-04,617,A
USGS,11451800,2016-08-05,628,A
USGS,11451800,2016-08-06,606,A
USGS,11451800,2016-08-07,555,A
USGS,11451800,2016-08-08,567,A
USGS,11451800,2016-08-09,516,A
USGS,11451800,2016-08-10,514,A
USGS,11451800,2016-08-11,541,A
USGS,11451800,2016-08-12,600,A
USGS,11451800,2016-08-13,634,A
USGS,11451800,2016-08-14,622,A
USGS,11451800,2016-08-15,531,A
USGS,11451800,2016-08-16,455,A
USGS,11451800,2016-08-17,537,A
USGS,11451800,2016-08-18,557,A
USGS,11451800,2016-08-19,519,A
USGS,11451800,2016-08-20,488,A
USGS,11451800,2016-08-21,487,A
USGS,11451800,2016-08-22,488,A
USGS,11451800,2016-08-23,494,A
USGS,11451800,2016-08-24,515,A
USGS,11451800,2016-08-25,492,A
USGS,11451800,2016-08-26,482,A
USGS,11451800,2016-08-27,474,A
USGS,11451800,2016-08-28,458,A
USGS,11451800,2016-08-29,475,A
USGS,11451800,2016-08-30,467,A
USGS,11451800,2016-08-31,465,A
USGS,11451800,2016-09-01,465,A
USGS,11451800,2016-09-02,478,A
USGS,11451800,2016-09-03,456,A
USGS,11451800,2016-09-04,434,A
USGS,11451800,2016-09-05,405,A
USGS,11451800,2016-09-06,399,A
USGS,11451800,2016-09-07,377,A
USGS,11451800,2016-09-08,385,A
USGS,11451800,2016-09-09,394,A
USGS,11451800,2016-09-10,385,A
USGS,11451800,2016-09-11,370,A
USGS,11451800,2016-09-12,369,A
USGS,11451800,2016-09-13,366,A
USGS,11451800,2016-09-14,351,A
USGS,11451800,2016-09-15,336,A
USGS,11451800,2016-09-16,327,A
USGS,11451800,2016-09-17,294,A
USGS,11451800,2016-09-18,269,A
USGS,11451800,2016-09-19,296,A
USGS,11451800,2016-09-20,311,A
USGS,11451800,2016-09-21,306,A
USGS,11451800,2016-09-22,312,A
USGS,11451800,2016-09-23,311,A
USGS,11451800,2016-09-24,309,A
USGS,11451800,2016-09-25,329,A
USGS,11451800,2016-09-26,325,A
USGS,11451800,2016-09-27,292,A
USGS,11451800,2016-09-28,267,A
