response_var,burn_percentage_group,mean_effect,sd_effect,n_effect,Effect_size,se_effect,lower_ci_effect,upper_ci_effect
DOC_Interp,1,-0.4278652385118058,0.0318973733970923,3,-0.4278652385118058,0.01841595711725325,-0.5071027066733045,-0.34862777035030706
DOC_Interp,2,-0.9640016850443117,1.2820838312048919,11,-0.9640016850443117,0.3865628198079975,-1.8253173225918802,-0.10268604749674326
DOC_Interp,3,-0.31579354240490615,0.49830020276785425,13,-0.31579354240490615,0.13820361012720012,-0.6169133412563774,-0.014673743553434815
DOC_Interp,6,-0.148428583731521,0.11777424751992689,20,-0.148428583731521,0.026335122345344252,-0.2035486282761123,-0.09330853918692972
DOC_Interp,7,0.988069231426104,-9999,1,0.988069231426104,-9999,-9999,-9999
DOC_Interp,8,-2.8215582732635838,0.05679624567385047,2,-2.8215582732635838,0.04016101046191678,-3.331852294604352,-2.3112642519228155
DOC_Interp,9,-0.6543495845478623,0.21654030495906895,2,-0.6543495845478623,0.15311711803676062,-2.5998870349359695,1.2911878658402447
NO3_Interp,1,1.2660042617042047,0.8811924882706998,7,1.2660042617042047,0.3330594544489247,0.4510371354772529,2.0809713879311564
NO3_Interp,2,-0.3703905342161301,1.1735935453815969,17,-0.3703905342161301,0.2846382440677316,-0.973796656176347,0.23301558774408682
NO3_Interp,3,1.1256269613456682,1.0674667461426661,25,1.1256269613456682,0.21349334922853322,0.6849983449557489,1.5662555777355875
NO3_Interp,4,1.6189725873384637,0.47601236208715264,6,1.6189725873384637,0.19433123306174543,1.1194282495331338,2.1185169251437936
NO3_Interp,5,-0.8291718964813972,1.3258805054863039,2,-0.8291718964813972,0.9375390964724128,-12.741735604428111,11.083391811465315
NO3_Interp,6,0.4076164864153188,0.8041360510245921,18,0.4076164864153188,0.18953668489202022,0.007729036059249905,0.8075039367713877
NO3_Interp,7,1.4661797341705565,-9999,1,1.4661797341705565,-9999,-9999,-9999
NO3_Interp,8,-0.7831762014402872,1.1465739683275082,4,-0.7831762014402872,0.5732869841637541,-2.6076312460594657,1.0412788431788915
NO3_Interp,9,-4.246086967895374,-9999,1,-4.246086967895374,-9999,-9999,-9999
NO3_Interp,10,0.8967674484863444,0.781366317686934,12,0.8967674484863444,0.225561026926129,0.40031097552690387,1.3932239214457849
