Study_ID,Site,response_var,Climate,year,Biome,Effect_size_pair,Effect_size,Time_Since_Fire,burn_percentage,grouped_percentage,burn_percentage_group
Burd et al 2018,Notawohka Creek,DOC_Interp,Dfc,MTBS_2013Ws,Cold,lnR1,-0.8074667025846229,3,90,9,9
Coombs & Melack; 2013,Arroyo Hondo,NO3_Interp,BSk,MTBS_2004Ws,Arid,lnR3,-0.2030079720285851,0,18,2,2
Coombs & Melack; 2013,Arroyo Hondo,NO3_Interp,BSk,MTBS_2004Ws,Arid,lnR3,0.17335251790747283,1,18,2,2
Coombs & Melack; 2013,Gaviota,NO3_Interp,BSk,MTBS_2004Ws,Arid,lnR2,-2.0473966314124756,0,12,2,2
Coombs & Melack; 2013,Gaviota,NO3_Interp,BSk,MTBS_2004Ws,Arid,lnR2,-1.8565999926447945,1,12,2,2
Coombs & Melack; 2013,San Onofre,NO3_Interp,BSk,MTBS_2004Ws,Arid,lnR1,1.75295228052377,0,98.9419,10,10
Coombs & Melack; 2013,San Onofre,NO3_Interp,BSk,MTBS_2004Ws,Arid,lnR1,1.702459542946486,1,98.9419,10,10
Crandall et al. 2021,Benjamin Slough,DOC_Interp,Csa,MTBS_2008Ws,Temperate,lnR1,0.8093287157961165,0,67,7,7
Crandall et al. 2021,Benjamin Slough,NO3_Interp,Csa,MTBS_2008Ws,Temperate,lnR1,1.28743921860061,0,67,7,7
Crandall et al. 2021,Payson,DOC_Interp,Csa,MTBS_2008Ws,Temperate,lnR2,-0.5012324665111016,0,90,9,9
Crandall et al. 2021,Payson,NO3_Interp,Csa,MTBS_2008Ws,Temperate,lnR2,-4.246086967895374,0,90,9,9
Crandall et al. 2021,Spanish Fork Lower,DOC_Interp,Csa,MTBS_2008Ws,Temperate,lnR3,0.6279152172921498,0,24,3,3
Crandall et al. 2021,Spanish Fork Lower,NO3_Interp,Csa,MTBS_2008Ws,Temperate,lnR3,0.3617241962673968,0,24,3,3
Crandall et al. 2021,Spanish Fork Upper,DOC_Interp,Csa,MTBS_2008Ws,Temperate,lnR4,0.8028695220357438,0,25,3,3
Crandall et al. 2021,Spanish Fork Upper,NO3_Interp,Csa,MTBS_2008Ws,Temperate,lnR4,-1.0139978491713204,0,25,3,3
Gerla & Galloway; 1998,Jones Creek,NO3_Interp,Dfc,MTBS_1988Ws,Cold,lnR1,-0.9404498708553406,1,96.1969,10,10
Gerla & Galloway; 1998,Jones Creek,NO3_Interp,Dfc,MTBS_1988Ws,Cold,lnR1,0.8469826044301482,2,96.1969,10,10
Gerla & Galloway; 1998,Jones Creek,NO3_Interp,Dfc,MTBS_1988Ws,Cold,lnR1,0.9767219657876396,3,96.1969,10,10
Gerla & Galloway; 1998,Jones Creek,NO3_Interp,Dfc,MTBS_1988Ws,Cold,lnR1,1.3512432699490873,4,96.1969,10,10
Gerla & Galloway; 1998,Jones Creek,NO3_Interp,Dfc,MTBS_1988Ws,Cold,lnR1,0.8936477010811649,5,96.1969,10,10
