Study_ID,Site,Sampling_Date,latitude,longitude,Area_watershed_km,Pair,Climate,Burn_Unburn,Time_Since_Fire,DOC_mg_C_L,NO3_mg_N_L,NO3_Interp,DOC_Interp
Abbott et al. 2021,BS.10,2017-07-30,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,19.108886244860003,8.642319e-4,8.642319e-4,19.108886244860003
Abbott et al. 2021,BS.10,2017-07-31,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,8.73993028125e-4,19.03139076168719
Abbott et al. 2021,BS.10,2017-08-01,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,8.8375415625e-4,18.953895278514377
Abbott et al. 2021,BS.10,2017-08-02,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,8.93515284375e-4,18.876399795341566
Abbott et al. 2021,BS.10,2017-08-03,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.032764125e-4,18.79890431216875
Abbott et al. 2021,BS.10,2017-08-04,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.130375406250001e-4,18.72140882899594
Abbott et al. 2021,BS.10,2017-08-05,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.2279866875e-4,18.643913345823126
Abbott et al. 2021,BS.10,2017-08-06,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.32559796875e-4,18.566417862650315
Abbott et al. 2021,BS.10,2017-08-07,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.423209250000001e-4,18.4889223794775
Abbott et al. 2021,BS.10,2017-08-08,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.52082053125e-4,18.41142689630469
Abbott et al. 2021,BS.10,2017-08-09,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.6184318125e-4,18.33393141313188
Abbott et al. 2021,BS.10,2017-08-10,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.716043093750001e-4,18.256435929959064
Abbott et al. 2021,BS.10,2017-08-11,68.932756,-150.7,16.01788092,Site_1,Dwc,Burn,10,-9999,-9999,9.813654375e-4,18.178940446786253
