"Site","year","n_days","P_annual","PET_annual","AI"
"Akokala_Creek",2020,366,1296.87940571969,876.216591703119,1.48008998916457
"Akokala_Creek",2021,365,1226.08917152475,933.561777848128,1.31334551244258
"Akokala_Creek",2022,365,1237.84117634172,863.938633949725,1.4327883112283
"Akokala_Creek",2023,365,878.461278476102,902.48717743183,0.97337812707312
"Akokala_Creek",2024,366,1148.94414576302,870.817941026529,1.31938501911046
"Arroyo Hondo",2020,366,334.852217682607,1616.30514426866,0.207171411209064
"Arroyo Hondo",2021,365,551.05626269376,1614.63200737889,0.341289074027658
"Arroyo Hondo",2022,365,359.223045954028,1691.06045635384,0.212424721188598
"Arroyo Hondo",2023,365,1028.5107313086,1420.36116289612,0.72411915939145
"Arroyo Hondo",2024,366,656.463645217643,1453.37150700649,0.451683304683578
"B1",2020,366,417.861200874527,1176.06554221093,0.355304348164962
"B1",2021,365,536.647817562112,1128.95527835371,0.475349048675051
"B1",2022,365,479.966339969038,1132.34276739107,0.423870186476208
"B1",2023,365,659.08677532266,1069.36790372079,0.616333044062213
"B1",2024,366,459.603113454142,1154.65179848214,0.398044773375244
"B2",2020,366,324.452652597309,1403.59736772048,0.231157923247062
"B2",2021,365,438.835448363357,1319.92383571171,0.332470280852784
"B2",2022,365,479.27503244888,1305.00145425502,0.367260151999205
"B2",2023,365,617.011938163296,1258.30544863761,0.49035147931001
"B2",2024,366,476.076260301025,1349.81175649355,0.352698261821148
"B3",2020,366,318.650521143237,1370.217112535,0.232554766852757
"B3",2021,365,427.572222512127,1259.53593848921,0.339468060772439
"B3",2022,365,457.043227350621,1242.47076975146,0.367850285477577
"B3",2023,365,586.303412579781,1209.47240274149,0.484759644991334
"B3",2024,366,438.361561947978,1284.52290443459,0.34126410703508
"Benjamin Slough",2020,366,239.031337665595,1382.30905819023,0.17292177624774
"Benjamin Slough",2021,365,496.303227981608,1306.58646252894,0.379847214260124
"Benjamin Slough",2022,365,423.79897356555,1266.52052829289,0.334616742562221
"Benjamin Slough",2023,365,581.663930743651,1243.3414311725,0.467823170820528
"Benjamin Slough",2024,366,507.721529425162,1316.76706937287,0.385581885539537
"Bowman_Creek",2020,366,1625.6843472002,836.244501669178,1.94402993855896
"Bowman_Creek",2021,365,1616.2846739283,897.783634328319,1.8003053432106
"Bowman_Creek",2022,365,1595.12811831068,827.145825679607,1.92847266925403
"Bowman_Creek",2023,365,1137.21309860445,867.582192610063,1.31078427875891
"Bowman_Creek",2024,366,1443.21392691384,835.441771493623,1.72748595552462
"Coal_Creek",2020,366,1200.74720251917,882.318200887958,1.36090041133771
