"Site","AI_longterm","P_mean","PET_mean","n_years"
"Akokala_Creek",1.30379739180381,1157.64303556506,889.404424391866,5
"Arroyo Hondo",0.38733753410007,586.021180571328,1559.1460555808,5
"B1",0.453780280150736,510.633049436496,1132.27665803173,5
"B2",0.354787619446042,467.130266374774,1327.32797256367,5
"B3",0.353179373025837,445.586189106749,1273.24382559035,5
"Benjamin Slough",0.34815815788603,449.703799876313,1303.10490991149,5
"Bowman_Creek",1.74221563706142,1483.5048329915,852.839585156158,5
"Coal_Creek",1.22075114114633,1105.40217487753,907.751424172302,5
"Coal",1.346514894193,1234.83343463051,919.463529443827,5
"Cold_Creek",0.722457392520758,834.081113787747,1167.83306853849,5
"Crow Creek",0.842070044063119,849.359337834017,1011.93204700812,5
"Dry Creek",0.302668497291897,395.900916618519,1319.11627367973,5
"DS1",0.42686213152179,520.646978265228,1227.0367373686,5
"DS2",0.398493727581948,508.618328426915,1284.14089165558,5
"DS3",0.398434894782645,508.589720672544,1284.25910923343,5
"Hobble Creek Lower",0.482361219856281,566.565847402822,1182.18398837408,5
"Hobble Creek Upper",0.57388438098257,648.281431151944,1137.26059716443,5
"Jones Creek",0.916629393226437,901.710347055506,986.828667447607,5
"Logging_Creek",1.43994896479073,1297.30884795045,902.272456107376,5
"Middle_Fork_American",1.03848859078435,1366.14193251407,1329.15014373638,5
"Mill Race",0.414665325834148,499.132599408724,1211.22216361592,5
"Mitsubishi Race",0.487374988096966,571.248857426071,1179.67140997968,5
"North_Fork_American",0.970905256357949,1331.32809721507,1386.26790685115,5
"Payson",0.349465188566653,449.831351779671,1299.42198331005,5
"PBR",0.704730287931393,710.660943806582,1011.23922296219,5
"Pinchot",1.40712155595139,1257.81042371011,896.918702154064,5
"PNF",0.550939554198524,596.447033540684,1086.63838472186,5
"Provo River",0.558430279655918,626.667324613896,1131.85565070538,5
"PSF",0.653221725200764,672.952146963854,1033.21118090551,5
"Quartz_Creek",1.50589178476756,1328.86329160134,883.607440333383,5
"Rattlesnake",0.358458266006817,499.649412327263,1422.80609964719,5
"Red_Bench_Creek",0.805018636947729,761.396451620378,947.858455216651,5
"Red_Meadow_Creek",1.2792091998179,1126.7367999081,882.842963861923,5
"Reference First Rainy Season",0.430660010231771,668.030150922268,1594.73927962153,5
"Reference Second Rainy Season",0.430660010231771,668.030150922268,1594.73927962153,5
"Reference Subsequent Flush",0.430660010231771,668.030150922268,1594.73927962153,5
"Rocky Fire First Rainy Season Initial Flush",0.512393507721094,799.635754511131,1596.65789036909,5
"Rocky Fire First Rainy Season Subsequent Flush",0.512393507721094,799.635754511131,1596.65789036909,5
"Rocky Fire Second Rainy Season",0.512393507721094,799.635754511131,1596.65789036909,5
"San Onofre",0.404246871817881,545.578519849874,1409.04143943875,5
"Site_1",1.04937974066169,1226.66000294089,1179.03999774456,5
"Site_2",0.975097320610707,1142.70480584862,1182.35067635439,5
"Site_3",0.975097320610707,1142.70480584862,1182.35067635439,5
"Site_4",1.02291907440008,1152.95919505064,1141.42049471065,5
"Spanish Fork Lower",0.460848445440468,560.338087326011,1225.57083402462,5
"Spanish Fork Upper",0.444787818050873,546.525876346277,1238.79990987145,5
"Trout_Creek",0.794929936726252,920.276382750569,1171.78350289942,5
"U1",0.314550823510271,376.100980266609,1201.19886767756,5
"U2",0.504810859935481,540.461370239386,1078.42152343875,5
"U3",0.43921866843821,548.896189346354,1260.0993771934,5
"US1",0.447995962160107,531.826002172285,1193.96118238025,5
"Wally_Creek",1.19916377513996,1080.31328176889,902.643950869253,5
"Wragg Fire First Rainy Season Initial Flush",0.451056543466796,673.210449117553,1538.96847927409,5
"Wragg Fire First Rainy Season Subsequent Flush",0.451056543466796,673.210449117553,1538.96847927409,5
"Wragg Fire Second Rainy Season",0.451056543466796,673.210449117553,1538.96847927409,5
