"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Hampton T.B.; Lin S.; Basu N.B.","Hampton, Tyler B. (57203039121); Lin, Simon (57222192998); Basu, Nandita B. (8711549200)","57203039121; 57222192998; 8711549200","Forest fire effects on stream water quality at continental scales: A meta-analysis","2022","Environmental Research Letters","17","6","064003","","","","5","10.1088/1748-9326/ac6a6c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130542821&doi=10.1088%2f1748-9326%2fac6a6c&partnerID=40&md5=9f9c0869f296b2b4c4553546e37f240b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85130542821"
"Dietrich J.P.; Myers M.S.; Strickland S.A.; Van Gaest A.; Arkoosh M.R.","Dietrich, Joseph P. (7102567561); Myers, Mark S. (7402143239); Strickland, Stacy A. (50162543200); Van Gaest, Ahna (16033562200); Arkoosh, Mary R. (6603602625)","7102567561; 7402143239; 50162543200; 16033562200; 6603602625","Toxicity of forest fire retardant chemicals to stream-type chinook salmon undergoing parr-smolt transformation","2013","Environmental Toxicology and Chemistry","32","1","","236","247","11","14","10.1002/etc.2052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871275751&doi=10.1002%2fetc.2052&partnerID=40&md5=ddee1a2456049b35d2d4b57832317c0f","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84871275751"
"Larsen A.S.; Rupp D.L.; Swanson D.K.; Hill K.R.","Larsen, Amy S. (9041738300); Rupp, Danielle L. (58499869600); Swanson, David K. (7201858276); Hill, Kenneth R. (57205303351)","9041738300; 58499869600; 7201858276; 57205303351","Cascading effects of climate change and wildfire on a subarctic lake: A 20-year case study of watershed change","2023","Ecosphere","14","7","e4558","","","","0","10.1002/ecs2.4558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165484198&doi=10.1002%2fecs2.4558&partnerID=40&md5=03ff3d5db3f839295de8d3b1bba1fef8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85165484198"
"Marques N.; Miranda F.; Gomes L.; Lenti F.; Costa L.; Bustamante M.","Marques, Nubia (57190001703); Miranda, Fabio (57579180000); Gomes, Leticia (54954875100); Lenti, Felipe (57211538338); Costa, Lucas (57629615200); Bustamante, Mercedes (35549140200)","57190001703; 57579180000; 54954875100; 57211538338; 57629615200; 35549140200","Fire effects on riparian vegetation recovery and nutrient fluxes in Brazilian Cerrado","2022","Austral Ecology","47","6","","1168","1183","15","0","10.1111/aec.13175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128426623&doi=10.1111%2faec.13175&partnerID=40&md5=a9d6fb210092cc4b4a9eac5d48a0cc8e","Article","Final","","Scopus","2-s2.0-85128426623"
"Aguilera R.; Melack J.M.","Aguilera, Rosana (55367049700); Melack, John M. (7006392633)","55367049700; 7006392633","Relationships Among Nutrient and Sediment Fluxes, Hydrological Variability, Fire, and Land Cover in Coastal California Catchments","2018","Journal of Geophysical Research: Biogeosciences","123","8","","2568","2589","21","14","10.1029/2017JG004119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052802675&doi=10.1029%2f2017JG004119&partnerID=40&md5=baf4f49b2ce3cf8881c9229b07fc2f41","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85052802675"
"Wei X.; Hayes D.J.; Fernandez I.","Wei, Xinyuan (57204763198); Hayes, Daniel J (36788174700); Fernandez, Ivan (7101615738)","57204763198; 36788174700; 7101615738","Fire reduces riverine DOC concentration draining a watershed and alters post-fire DOC recovery patterns","2021","Environmental Research Letters","16","2","024022","","","","10","10.1088/1748-9326/abd7ae","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100444437&doi=10.1088%2f1748-9326%2fabd7ae&partnerID=40&md5=ef0662ea242ed69852d45062acd67562","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85100444437"
"Hickenbottom K.; Pagilla K.; Hanigan D.","Hickenbottom, Kenneth (58544309300); Pagilla, Krishna (6701808912); Hanigan, David (55489064800)","58544309300; 6701808912; 55489064800","Wildfire impact on disinfection byproduct precursor loading in mountain streams and rivers","2023","Water Research","244","","120474","","","","0","10.1016/j.watres.2023.120474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168472480&doi=10.1016%2fj.watres.2023.120474&partnerID=40&md5=2b5d1aca4d81b1b35b35f7241c6d0727","Article","Final","","Scopus","2-s2.0-85168472480"
"Elliott K.J.; Miniat C.F.","Elliott, Katherine J. (24461403500); Miniat, Chelcy Ford (57212333225)","24461403500; 57212333225","Removing riparian Rhododendron maximum in post-Tsuga canadensis riparian forests does not degrade water quality in southern Appalachian streams","2021","Science of the Total Environment","761","","143270","","","","2","10.1016/j.scitotenv.2020.143270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095591042&doi=10.1016%2fj.scitotenv.2020.143270&partnerID=40&md5=360ec9267c1de1910e10a32b39bc790d","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85095591042"
"Parham L.M.; Prokushkin A.S.; Pokrovsky O.S.; Titov S.V.; Grekova E.; Shirokova L.S.; McDowell W.H.","Parham, Lucy M. (55883474600); Prokushkin, Anatoly S. (6505580906); Pokrovsky, Oleg S. (35280747200); Titov, Sergey V. (14039741100); Grekova, Ekaterina (55882513700); Shirokova, Liudmila S. (6701785699); McDowell, William H. (7006465552)","55883474600; 6505580906; 35280747200; 14039741100; 55882513700; 6701785699; 7006465552","Permafrost and fire as regulators of stream chemistry in basins of the Central Siberian Plateau","2013","Biogeochemistry","116","1-3","","55","68","13","25","10.1007/s10533-013-9922-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889663458&doi=10.1007%2fs10533-013-9922-5&partnerID=40&md5=2440de9f544b097da3b92a76f82ddb5e","Article","Final","","Scopus","2-s2.0-84889663458"
"Myers-Pigg A.N.; Louchouarn P.; Amon R.M.W.; Prokushkin A.; Pierce K.; Rubtsov A.","Myers-Pigg, Allison N. (56518225100); Louchouarn, Patrick (57203303374); Amon, Rainer M. W. (7004551298); Prokushkin, Anatoly (6505580906); Pierce, Kayce (56517735900); Rubtsov, Alexey (54888718800)","56518225100; 57203303374; 7004551298; 6505580906; 56517735900; 54888718800","Labile pyrogenic dissolved organic carbon in major Siberian Arctic rivers: Implications for wildfire-stream metabolic linkages","2015","Geophysical Research Letters","42","2","","377","385","8","50","10.1002/2014GL062762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923544835&doi=10.1002%2f2014GL062762&partnerID=40&md5=3577e7b394192fa66ead0555b8715bb6","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84923544835"
"Murphy S.F.; Writer J.H.; McCleskey R.B.; Martin D.A.","Murphy, Sheila F. (7402778680); Writer, Jeffrey H. (6602831651); McCleskey, R. Blaine (55557128200); Martin, Deborah A. (55476539800)","7402778680; 6602831651; 55557128200; 55476539800","The role of precipitation type, intensity, and spatial distribution in source water quality after wildfire","2015","Environmental Research Letters","10","8","084007","","","","80","10.1088/1748-9326/10/8/084007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948419769&doi=10.1088%2f1748-9326%2f10%2f8%2f084007&partnerID=40&md5=3724646d200f5de2063e52d2098870f5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84948419769"
"Ludwig S.M.; Natali S.M.; Mann P.J.; Schade J.D.; Holmes R.M.; Powell M.; Fiske G.; Commane R.","Ludwig, Sarah M. (56579821300); Natali, Susan M. (18437730700); Mann, Paul J. (55075027900); Schade, John D. (7007162059); Holmes, Robert M. (7402013152); Powell, Margaret (57215024014); Fiske, Greg (8882733900); Commane, Roisin (18042021400)","56579821300; 18437730700; 55075027900; 7007162059; 7402013152; 57215024014; 8882733900; 18042021400","Using Machine Learning to Predict Inland Aquatic CO2 and CH4 Concentrations and the Effects of Wildfires in the Yukon-Kuskokwim Delta, Alaska","2022","Global Biogeochemical Cycles","36","4","e2021GB007146","","","","6","10.1029/2021GB007146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128723141&doi=10.1029%2f2021GB007146&partnerID=40&md5=88f7e919611af9529d0fb96ac4c6ddff","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85128723141"
