site,latitude,longitude,comid
BS.10,68.932756,-150.7,
BS.10,68.932756,-150.7,
BS.10,68.932756,-150.7,
BS.10,68.932756,-150.7,
BS.10,68.932756,-150.7,
BS.11,68.9491428,-150.746,
BS.11,68.9491428,-150.746,
BS.11,68.9491428,-150.746,
BS.11,68.9491428,-150.746,
BS.11,68.9491428,-150.746,
BS.11,68.9491428,-150.746,
BS.12,68.96492768,-150.732,
BS.12,68.96492768,-150.732,
BS.12,68.96492768,-150.732,
BS.12,68.96492768,-150.732,
BS.12,68.96492768,-150.732,
BS.12,68.96492768,-150.732,
BS.14,68.98182057,-150.821,
BS.14,68.98182057,-150.821,
BS.14,68.98182057,-150.821,
BS.14,68.98182057,-150.821,
BS.14,68.98182057,-150.821,
BS.14,68.98182057,-150.821,
BS.15,68.99096849,-150.832,
BS.15,68.99096849,-150.832,
BS.15,68.99096849,-150.832,
BS.15,68.99096849,-150.832,
BS.15,68.99096849,-150.832,
BS.15,68.99096849,-150.832,
BS.16,68.993103,-150.844,
BS.16,68.993103,-150.844,
BS.16,68.993103,-150.844,
BS.16,68.993103,-150.844,
BS.16,68.993103,-150.844,
BS.19,69.09786483,-150.807,
BS.19,69.09786483,-150.807,
BS.19,69.09786483,-150.807,
BS.19,69.09786483,-150.807,
BS.19,69.09786483,-150.807,
BS.19,69.09786483,-150.807,
BS.2,68.788693,-150.629,
BS.2,68.788693,-150.629,
BS.2,68.788693,-150.629,
BS.2,68.788693,-150.629,
BS.2,68.788693,-150.629,
BS.20,69.10971014,-150.863,
BS.20,69.10971014,-150.863,
BS.20,69.10971014,-150.863,
BS.20,69.10971014,-150.863,
BS.20,69.10971014,-150.863,
BS.21,69.11102593,-150.856,
BS.21,69.11102593,-150.856,
BS.21,69.11102593,-150.856,
BS.21,69.11102593,-150.856,
BS.21,69.11102593,-150.856,
BS.22,69.12400656,-150.803,
BS.22,69.140172,-150.816,
BS.22,69.140172,-150.816,
BS.22,69.140172,-150.816,
BS.22,69.140172,-150.816,
BS.24,69.21417841,-150.894,
BS.24,69.21417841,-150.894,
BS.24,69.21417841,-150.894,
BS.24,69.21417841,-150.894,
BS.24,69.21417841,-150.894,
BS.25,69.22634558,-150.913,
BS.25,69.22634558,-150.913,
BS.25,69.22634558,-150.913,
BS.25,69.22634558,-150.913,
