Study_ID,Fire_name,latitude,longitude,number_of_sites,number_of_reference,number_of_burn,number_of_pairs,group,State
Abbott et al. 2021,Anaktuvuk River,69.047,-150.837,2,1,1,1,1,AK
Burd et al. 2018,Northwest Territroies Fire,61.133333,-120.28333,2,1,1,1,-9999,CAD
"Coombs & Melack, 2013",Gaviota Fire ,34.472966,-120.187279,4,1,3,3,4,California
Crandall et al. 2021,Pole Creek Fire Complex ,40.133514,-111.771241,10,6,4,4,51,Utah
"Gerla & Galloway, 1998",Clover-Mist Wildfire,44.51295,-109.984156,2,1,1,1,63,Wyoming
"Gluns & Toews, 1989",Matt fire,49.677328,-116.006124,3,1,2,2,,BC
Hauer & Spencer 1998,Red Bench Fire ,48.763,-114.226,8,3,5,5,28,Montana
Hickenbottom et al. 2023,Caldor Fire,38.898689,-119.948785,2,1,1,1,4,California
Hickenbottom et al. 2023,Mosquito Fire,38.958701,-120.920501,2,1,1,1,4,California
"Mast & Clow, 2008",Rampage Fire,48.789,-113.796,2,1,1,1,28,Montana
Murphy et al. 2015,Fourmile Canyon Fire,40.033333,-105.416667,5,2,3,3,5,Colorado
"Neary & Currier, 1982",Jumping Branch Wildfire,36.095349,-82.265,2,1,1,1,39,South Carolina
Oliver et al. 2012,Angora Fire,38.896382,-120.04163,4,1,3,3,4,California
Rhea et al. 2021,Hayman Fire,40.26237,-105.5908,3,1,2,2,5,Colorado
Tiedemann 1973,Safety Harbor Fire,48.102675,-120.35232,2,1,1,1,60,Washington
Uzun et al. 2020,Wragg Fire,38.512031,-122.097228,3,1,2,1,4,California
Uzun et al. 2020,Rocky Fire,38.923564,-122.326478,3,1,2,1,4,California
Wagner et al. 2015,High Park Fire,40.716,-105.233,6,2,4,4,5,Colorado
Writer et al. 2014,Hewlett Gulch Fire,40.685031,-105.4491,3,1,2,2,5,Colorado
